{'descr': '非常好的酒店', 'star': 5}
{'descr': '网络差的要命，房也很一般', 'star': 3}
{'descr': '经常住这家店，交通便利，出门不远就是高架，离高铁站，机场都是不到二十分钟时间的样子，很方便，唯一不足是停车！', 'star': 5}
{'descr': '房间特别冷，坐着写东西一会儿冻僵了。只能开空调，但又好干。不知道是楼的问题还是老暖气片的问题。住这两天门口就一十元苹果的大喇叭整天不段的放，完全没法写东西。保洁阿姨人到蛮好。网速不稳定，看电影还可以，刷网页很慢！', 'star': 4}
{'descr': '环境差，差评', 'star': 1}
{'descr': '位置不错 距离北美天美很近 步行十分钟左右九可以到达 房间环境属于中等水平 符合出差的标准 选择这里的关键因素在于位置', 'star': 5}
{'descr': '家门口给朋友订了一晚。OK的', 'star': 5}
{'descr': '一般', 'star': 4}
{'descr': '很棒的酒店，交通便利，干净卫生', 'star': 5}
{'descr': '房间有点小 好吧 其他的还行 比较干净 如果不是报销额度和离分公司比较近 我肯定住稍微大一点房间了。但是还是不错的', 'star': 5}
{'descr': '想要开发票竟然说没有，开不了，摆明就是不想给开偷税漏税', 'star': 2}
{'descr': '酒店地段好交通便利，周边吃饭选择多，离商场也不远。位置非常方便，周边繁华商业圈，门童服务好，还送果盘，房间大，床很软超舒适，卫生间设施完善。总之是很好！', 'star': 5}
{'descr': '房间卫生清洁安静，总体满意', 'star': 5}
{'descr': '还行吧，习惯好评', 'star': 5}
{'descr': '服务好，价格实惠！', 'star': 4}
{'descr': '非常好', 'star': 5}
{'descr': '还可以', 'star': 5}
{'descr': '这个地方位置不错，就在长风街最热闹的地段，酒店卫生等方面都还是不错的，我在燕莎办事。非常方便。', 'star': 5}
{'descr': '卫生干净，交通便利，性价比相当的高！推荐入住！', 'star': 5}
{'descr': '入住本酒店让我感觉很好，房间干净早餐味道不错', 'star': 5}
{'descr': '条件不错，服务态度很好。这家店在平阳路和长风街交叉口，交通方便，距离购物中心很近，大型商场和超市都有，购物方便，很满意！', 'star': 5}
{'descr': '简洁大方干净整洁，周围购物挺方便，商旅人士的最佳选择', 'star': 5}
{'descr': '性价比还可以，值得推荐！！！！！！！！！！！！！！', 'star': 5}
{'descr': '大厅宽敞明亮很干净，前台办理手续非常快，早餐也不错哦！！！', 'star': 5}
{'descr': '感觉很好.一走进大厅就感觉非常干净，服务也很周到', 'star': 5}
{'descr': '前台服务很热情 送东西挺速度 感觉还不错', 'star': 5}
{'descr': '交通特别方便，房间干净舒适。服务员都非常热情，下次来太原还住这！', 'star': 5}
{'descr': '不错！房间挺干净的，网络也还可以，下回还住这儿！', 'star': 5}
{'descr': '房间宽敞明亮，卫生干净，服务态度好，交通便利。', 'star': 5}
{'descr': '房间很干净，服务也很好，交通非常方便。下次还会入住。', 'star': 5}
{'descr': '房间很干净，早餐很丰盛，值得推荐', 'star': 3}
{'descr': '卫生很干净，交通便利。朋友非常满意！！！！！！！！！！', 'star': 5}
{'descr': '已入住，朋友田爱军', 'star': 3}
{'descr': '房间卫生很干净，服务很热情，值得推荐!!11!!1!!1', 'star': 5}
{'descr': '不错，比较干净。周围有小吃。早晨不好打车，要早点出发。', 'star': 5}
{'descr': '出差来到太原第一次入住这个酒店，个人感觉房间卫生很干净，方便快捷就是停车不方便，有停车场就更好了.', 'star': 3}
{'descr': '非常好，服务很棒，尤其是餐厅的师傅，昨天到店比较晚，去吃饭时已经10点以后了，但是单独为了煎了鸡蛋。非常温暖的酒店。', 'star': 5}
{'descr': '非常舒适，非常满意，还会继续光顾的！祝生意兴隆！', 'star': 5}
{'descr': '真的很差，服务差，房内设施，', 'star': 3}
{'descr': '酒店服务态度较好！环境也不错！下次还会提前预定!', 'star': 5}
{'descr': '环境挺好，价格也行，网络还行，就是没有停车位', 'star': 5}
{'descr': '还行吧，这个价格还不错了，因公出差住这儿挺方便的，推荐。', 'star': 5}
{'descr': '没早餐。用纸杯。不环保。房间小', 'star': 3}
{'descr': '我已入住酒店！', 'star': 3}
{'descr': '服务员ggmm的态度灰常好，房间很干净，早餐也很好吃，推荐煎鸡蛋，呵呵。\n附近有很多可以逛的地方，沃尔玛还有百盛什么的，枣子和醋不错。', 'star': 5}
{'descr': '干净！ 服务好！！ 交通便利！！！！！！！！！！！！！！！！！！', 'star': 5}
{'descr': '环境很好，很安静，接待人员很热情，房间打扫的很干净，不错···', 'star': 5}
{'descr': '感觉不错，主要是房间很干净，而且服务态度很好，下次还会选择金广。', 'star': 5}
{'descr': '房间虽小但却干净，就是枕头有点高，枕着不舒服，夜里只好把浴巾叠了当枕头用；楼道里有点儿气味，不过可以忍受', 'star': 1}
{'descr': '交通便利，只是有点吵，服务生态度不错网络还可以，早餐不太丰富。总体性价比不错。值得推荐', 'star': 5}
{'descr': '房间很小，靠近消防站，是不是传来狗吠。估计早上还有出操的声音，昏暗、小、简陋、感觉更象火车站附近那种小店。绝对不推荐。', 'star': 3}
{'descr': '我住的好像挨的楼梯，一直有人上下楼太吵了。还有空调不太好，晚上有点冷。\n其它都很好，房间大小合适，干净。', 'star': 5}
{'descr': '房间比较小，但装修还可以，大床房都不到20平米', 'star': 5}
{'descr': '蚊子多得十分恐怖！\r\n早餐很差！\r\n噪音问题严重！\r\n房间小、老、旧。', 'star': 1}
{'descr': '没车位，总的讲太一般。', 'star': 1}
{'descr': '后面有个消防队,别住的接近的一面就好,否则早上有些吵', 'star': 5}
{'descr': '服务很热情~~  洗澡的时候发现热水不热~~很长时间也没有达到温度~~', 'star': 5}
{'descr': '总体不错，经济舒适，我住的一个房子噪音比较大，发出“呼呼”的声音，不知道别的房间有没有。值得推荐', 'star': 5}
{'descr': '无中餐提供', 'star': 1}
{'descr': '非常舒适~~下次还去啊', 'star': 5}
{'descr': '酒店是比较干净的，服务挺好，房间里的设施也还不错，位置也挺好的，比较方便，总的来说还不错。', 'star': 5}
{'descr': '酒店蛮经济的，环境也还可以，就是房间有点小，上次去的时候酒店周边正在修路呢，有点不太方便', 'star': 5}
