{'descr': '怎么没信息联系我呢', 'star': 5}
{'descr': '非常好  99分   老板人也很亲切。 环境没的说', 'star': 5}
{'descr': '这家酒店还行、就是服务员服务意识不够、地理位置还行', 'star': 5}
{'descr': '这家酒店还行、就是服务员服务意识不够、地理位置还行', 'star': 5}
{'descr': '酒店不错，但服务员地理位置不知道，电话问他们到达酒店说不清楚，', 'star': 5}
{'descr': '酒店不错，但服务员地理位置不知道，电话问他们到达酒店说不清楚，', 'star': 5}
{'descr': '感觉还还可以，          下次有机会还会考虑。     ', 'star': 5}
{'descr': '感觉还还可以，          下次有机会还会考虑。     ', 'star': 5}
{'descr': '我觉得这家店挺好的，服务态度也好，房间很大。跟如家的差不多，还比如家便宜。', 'star': 5}
{'descr': '我觉得这家店挺好的，服务态度也好，房间很大。跟如家的差不多，还比如家便宜。', 'star': 5}
{'descr': '环境特别好 房间住的特别舒适 很喜欢 希望大家多多的光临此店 会享受很好的服务', 'star': 5}
{'descr': '环境特别好 房间住的特别舒适 很喜欢 希望大家多多的光临此店 会享受很好的服务', 'star': 5}
{'descr': '酒店的感觉很好，服务也不错。没有在预定的时间到还给留了很感谢！', 'star': 3}
{'descr': '酒店的感觉很好，服务也不错。没有在预定的时间到还给留了很感谢！', 'star': 3}
{'descr': '酒店设施很新，干净。\n楼下有超市和驴肉火烧店，吃饭购物方便\n总体来说感觉还行。', 'star': 5}
{'descr': '酒店设施很新，干净。\n楼下有超市和驴肉火烧店，吃饭购物方便\n总体来说感觉还行。', 'star': 5}
{'descr': '不错，味道大', 'star': 3}
{'descr': '不错，味道大', 'star': 3}
{'descr': '酒店整体环境不错，干净整洁舒适，地理位置较偏', 'star': 5}
{'descr': '酒店整体环境不错，干净整洁舒适，地理位置较偏', 'star': 5}
