{'短评内容': '感觉很不错 ', '短评打分': 5}
{'短评内容': '厕所能用门隔开更好', '短评打分': 5}
{'短评内容': '酒店地理环境很好，距离地铁站很近！', '短评打分': 5}
{'短评内容': '246元的房间，只能说有些差！空间小，窗户也就比笔记本电脑大一点而已，地毯也很脏，应该不会再住了', '短评打分': 3}
{'短评内容': '房间环境很好', '短评打分': 5}
{'短评内容': '性价比高', '短评打分': 5}
{'短评内容': '千万别相信这家标注的房间面积！我定的都市大床房，标20-25，实际内部算上卫生间只有10平方。服务员态度一般，不热情，也不算没礼貌。', '短评打分': 3}
{'短评内容': '房间很大，服务很热情，卫生很干净，性价比高。房间很大，服务很热情，卫生很干净，性价比高。房间很大，服务很热情，卫生很干净，性价比高。', '短评打分': 5}
{'短评内容': '房间很大，服务很热情，卫生很干净，性价比高。房间很大，服务很热情，卫生很干净，性价比高。房间很大，服务很热情，卫生很干净，性价比高。', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '尚可', '短评打分': 5}
{'短评内容': '整体还不错，毕竟价格在那边摆着呢', '短评打分': 3}
{'短评内容': '房间很不错哦，很干净，床超级舒服！！布置的也很温馨，而且电视也很大，还可以连网看！', '短评打分': 5}
{'短评内容': '房间很大，环境很好，通风优良，干净舒适', '短评打分': 5}
{'短评内容': '房间大，通风良好，干净舒适，价格实惠', '短评打分': 5}
{'短评内容': '房间大，服务好，卫生干净', '短评打分': 5}
{'短评内容': '内部设施一般，周边交通方便', '短评打分': 3}
{'短评内容': '房间都没有卡的，睡的不舒服，环境一般', '短评打分': 4}
{'短评内容': '房间都没有卡的，睡的不舒服，环境一般', '短评打分': 4}
{'短评内容': '周边环境热闹', '短评打分': 3}
{'短评内容': '房间不隔音，隔壁说话听的很清楚，周边交通方便呢', '短评打分': 3}
