{'descr': '垃圾 前台接待 有一个挺胖的女人 挂实习生牌 服务态度贼次、拉拉个脸 像他么的谁欠你钱是的，事事得 欠欠的 真不知道管理层是怎么干的 这样的垃圾接待也用•', 'star': 1}
{'descr': '干净 服务态度好', 'star': 5}
{'descr': '还可以吧，价格便宜', 'star': 4}
{'descr': '还可以 他家最便宜', 'star': 4}
{'descr': '没有早餐，酒店位置距离市中心需要15分钟步行', 'star': 3}
{'descr': '位置不错，服务员很好。', 'star': 5}
{'descr': '不怎么样，7天优品是7天内的稍高端酒店，我是7天金卡会员，这酒店外观还可以，内部硬件是我住过最差的', 'star': 2}
{'descr': '很好 很方便 也很干净 交通便利 适合出行', 'star': 5}
{'descr': '很好 很方便 也很干净 交通便利 适合出行', 'star': 5}
{'descr': '不错哦', 'star': 5}
{'descr': '挺好。很方便', 'star': 4}
{'descr': '公务出行，一个人，还可以。', 'star': 4}
{'descr': '还可以', 'star': 3}
{'descr': '非常好，环境舒适，干净，服务周到', 'star': 5}
{'descr': '房间很小，价格很贵，设施陈旧，环境很乱，外边是菜市场', 'star': 3}
{'descr': '环境不错，朋友家庭出游，住的挺好。关键是地理位置方便，去街里，去车站都很近，价格还可以，下次会推荐给朋友。', 'star': 5}
{'descr': '价格合理，房间很大，干净。希望下次再来', 'star': 5}
{'descr': '出差喜欢啦 去哪都不远 周围市场也方便', 'star': 4}
{'descr': '方便快捷 周围就是市场车站 出差好选择', 'star': 4}
{'descr': '交通便利，干净卫生，服务态度好', 'star': 5}
{'descr': '设施比七天确实稍好一些，离水产市场很近，买大闸蟹，你懂的，哈哈。买了几个回去酒店厨房帮忙蒸一下，爽！', 'star': 5}
