{'短评内容': '都还OK的', '短评打分': 5}
{'短评内容': '服务是比较热情，但整体卫生不好，房间有味道，卫生间也是小的可怜，毛巾、浴巾也没有，拖鞋鞋底都穿了。但普陀整体酒店都很贵，这边便宜所以咯设施也不好，有个睡的地方就行', '短评打分': 4}
{'短评内容': '房间可以住一家三口，一个大床房，加一个一米小床。酒店位置距离海滩很近，环境好。我们没开车，估计商家会提供停车位的。早餐可以和老板提前说好，会准备的。', '短评打分': 5}
{'短评内容': '店家老板很好兴隆，在他家吃得便宜又合口，祝老板生意', '短评打分': 5}
{'短评内容': '老板热情 房间比较干净 烧的海鲜非常好吃', '短评打分': 5}
{'短评内容': '不错，还挺好的。非常好，靠近海边，店主也很热情，询问什么都能解答。下次来还可以考虑住这里，喜欢这里的。', '短评打分': 4}
{'短评内容': '房间干净整洁，明宿，就是设施差点，价格小贵', '短评打分': 4}
{'短评内容': '非常好的农家乐。', '短评打分': 5}
{'短评内容': '位置不错在村委会旁边，离紫竹林南海观音很近，尤其马老板人特热情！看我带老妈定的是普间公卫，免费升级了标准间！谢谢老板！菜做的也可口赞一个！', '短评打分': 5}
{'短评内容': '订的开心阁，住的另外一家，叫海之阁的，说是老板的亲戚开的，干净蛮干净的，就是隔音差点，隔壁几个阿姨唧唧喳喳到半夜，没睡好', '短评打分': 5}
{'短评内容': '本来是安排顶楼的房间，但老板后来说另外有人预定了顶楼，所以换了房，换的房间比顶楼小，本来不想换的，但看在老板人还蛮客气的情况下就换了，主要是换房的2个女人太叽喳，实在是坍上海人的塌。最后说一下，老板的手艺不错，晚饭吃的很饱。', '短评打分': 4}
{'短评内容': '人很热情，客气，风景也不错', '短评打分': 5}
{'短评内容': '店家服务周到人很好  而且房间很舒服很干净！！！', '短评打分': 5}
{'短评内容': '距离紫竹林非常近，到南海观音也步行10分钟可到，地理位置优越，最大的亮点，在普陀性价比很高。设施方面稍有欠缺，但可以忍受，毕竟岛上，不能太挑剔。老板热情，晚饭手艺不错，值得推荐！', '短评打分': 4}
{'短评内容': '不错，管接送，老板手艺不错，值得推荐', '短评打分': 5}
