{'短评内容': '还可以我朋友说就是暖气不好', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '满意好评', '短评打分': 5}
{'短评内容': '房间一般，软件较差，服务、态度更差，以后睡车上都不会再光顾的破酒店', '短评打分': 2}
{'短评内容': '很满意。价格如果能在低的电话，更好了', '短评打分': 5}
{'短评内容': '感觉还不错', '短评打分': 5}
{'短评内容': '多次来了很不错哈', '短评打分': 5}
{'短评内容': '服务问题，一般般！第一次不是5星就给它了！', '短评打分': 5}
{'短评内容': '好好好好好好', '短评打分': 5}
{'短评内容': '住体验总体来说还是不错的。下面我就这次的入住体验分享给大家。希望能给大家的出行和酒店服务水平的提升提供一些地理位置优越，发展前景很好。酒店距离火车高铁站程十分钟，交通很是便利，是商务人士出行的不错选择。周边配套服务设施齐全，购物饮食都很方便。 房间配套设施:酒店内部装修不错，大部分都是软包的。整个房间的灯光布局略显昏暗，希望可以做些改善。浴室和洗手间的灯光还是蛮好的。浴巾、毛巾、一次性的刷牙用具/剃须刀/马桶坐垫、洗发膏、沐浴乳、电热吹风、酒店专属饮用纯净水、中央空调还有一系列其它用品一应俱全。唯一遇到的问题是淋雨的喷头严重漏水，希望酒店方面可以排查下客房配套的用品。 舒适度还是蛮好的，安全性方面自然也是不用担心。客房的床褥给人感觉很舒适，休息待客用的沙发、大气优雅的全窗设计、光洁温馨的浴缸给人以家的温馨舒适感。安全性方面也是很有保障的，客房的门是自动关门的，不用担心出去忘记关门而丢失物品。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '入住酒店的时候，问前台员工是否有单间，服务员告知我没有，我说我在网上看到还有房间，服务员回复我估计房态没有关掉，是不会预定成功的。等我网络上预定成功之后给她看，服务员又告诉我，我定的房间又有了！我想问这是什么鬼……！还有，房间设施还算比较全面的，但是电脑只是摆设，能开机、但卡的一逼！床上睡了一觉醒来还发现有很多灰，总体不是很舒服……望改进下吧！', '短评打分': 4}
{'短评内容': '挺舒适，就是靠路边噪音大', '短评打分': 4}
{'短评内容': '酒店环境不错，大堂服务也特别好，态度也很好，房间很干净，很温馨。酒店的交通也很方便，就在地铁线周围。', '短评打分': 5}
{'短评内容': '环境好，还有停车位', '短评打分': 5}
{'短评内容': '酒店竟然在结帐离店后，重新扣刷我的卡，简直难以置信', '短评打分': 2}
{'短评内容': '位置挺不错，交通便利！到处都是吃饭的地方，环境很好，体比较满意。', '短评打分': 5}
{'短评内容': '从吃吃吃吃吃吃吃吃吃吃吃吃吃吃吃吃吃吃吃吃吃吃吃吃吃', '短评打分': 4}
{'短评内容': '感觉挺旧的，没早餐，很多小水虫', '短评打分': 3}
{'短评内容': '一般吧，过得去', '短评打分': 3}
{'短评内容': '都很好的，我订的是大床房，可惜的是没有配置电脑，其他的都是一流的', '短评打分': 5}
{'短评内容': '酒店房间不错，就是离市区比较偏，如果去三墩办事，这个酒店很不错', '短评打分': 5}
{'短评内容': '挺有情调，办事不错！干净卫生，价格方面也很值哦！', '短评打分': 5}
{'短评内容': '当时由于时间比较赶，市区的酒店几乎爆满，选择了这家，开始还差点开到那个银行里去了，汗。。除了位置偏了点，是在一个镇上，不过位置还算好，周围有家家常菜馆还不错，超市就在隔壁，服务态度也很好。。酒店设施很全，很舒服，装修的很漂亮，所以就算远了点，但是还是住的很愉快~', '短评打分': 5}
{'短评内容': '酒店装修比较新，入住感觉还行，性价比可以。但厕所的玻璃门密封性不好，开换气扇后异味容易进入房间。酒店处城乡结合部，人流比较杂。', '短评打分': 5}
{'短评内容': '很满意，房间好，服务好，比期待的好的多得多！', '短评打分': 5}
{'短评内容': '差，没消费说消费了，退房时间超慢，其他也不好', '短评打分': 1}
{'短评内容': '已入住', '短评打分': 3}
{'短评内容': '房间很棒，上网飞快，楼下就是超市，就是没送早餐', '短评打分': 3}
{'短评内容': '酒店总体来说各方面都还不错，住宿环境比较清幽，各方装修比较温馨，旁边就是个大超市，服务也还不错，就是离市区稍微有点远了，估计到西湖还是有个11－12公里哦。活动起来不是很方便，但总体而言还是比较合适家庭出游和自助游的，毕竟价格在哪里放着呢哈。周边其实还不错，吃的东西还比较多，有条美食街，步行也就20分钟以内哈，可以去试试，总体给个好评吧哈哈哈哈！', '短评打分': 5}
