{'短评内容': '这服务态度，接线的美眉，都是非常给力。', '短评打分': 5}
{'短评内容': '这是一次不堪的回忆，虽然已经过去这么久，名不副实。应该严肃整顿，否则就是骗钱。', '短评打分': 1}
{'短评内容': '卫生受不了，设施差', '短评打分': 3}
{'短评内容': '酒店态度恶劣，条件老旧，房间卫生不干净有异味，没有热水，服务员还忽悠，等了两个小时没有热水，退房还收全款', '短评打分': 1}
{'短评内容': '房间有点老咯，交通还行', '短评打分': 4}
{'短评内容': '房间硬件设施特别差！好多东西都不能用！房间有异味！', '短评打分': 3}
{'短评内容': '周边吃饭方便，出行方便。酒店设施有点陈旧。', '短评打分': 3}
{'短评内容': '房间不错服务也不错', '短评打分': 5}
{'短评内容': '说好的早餐没有了，卫生洁具较差', '短评打分': 2}
{'短评内容': '一次很失败的住宿，卫生很糟糕，设备又老又旧。承诺的有早餐结果没有，不过少收了10块钱，一个标间收了116元，感觉不值。不过服务态度可以。', '短评打分': 3}
{'短评内容': '住了两次 都没有无线网', '短评打分': 3}
{'短评内容': '位置不错', '短评打分': 5}
{'短评内容': '服务还可以，靠近政府机关，公干便利。但配套设施陈旧，淋浴喷头都坏了。', '短评打分': 1}
{'短评内容': '性价比一般吧 屋内设施较差，但网速很快。附近吃饭的地方还行', '短评打分': 5}
{'短评内容': '酒店设施有点旧了，卫生搞得不是很好，其他方面还可以勉强接受，对于住惯现代快捷酒店的人不建议入住', '短评打分': 1}
{'短评内容': '地理位置蛮好的，离商丘市火车站、市委大院、教育局都很方便，酒店外面整体还算干净、整洁，可是酒店内地毯很脏，洗发水、牙膏等等都特别廉价，浴霸还是坏的......早餐一般，出差嘛，也就凑合了~', '短评打分': 5}
{'短评内容': '酒店的环境，服务态度，都不错，就是床太小了！', '短评打分': 5}
{'短评内容': '不错！交通还可以.', '短评打分': 3}
{'短评内容': '还行吧，早餐比较丰盛，就是7:30分才开始，有点晚。住房设施老旧了点。价钱还行。', '短评打分': 5}
{'短评内容': '酒店卫生一般。', '短评打分': 3}
{'短评内容': '基本还可以', '短评打分': 3}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '环境一般，服务一般。', '短评打分': 3}
