{'短评内容': '有可能天气原因，太冷，洗澡水不热。空调有点旧，声音比较大', '短评打分': 5}
{'短评内容': '很好啊很好', '短评打分': 5}
{'短评内容': '装修什么都一般，隔音很差。隔壁房间说话感觉就跟在你旁边说话一样，比同价位的要差了不少。第二次去附近出差就没有选择他家', '短评打分': 3}
{'短评内容': '酒店有点老，设施一般，装修很久了，但是离商业区很近，旁边还有一个环翠楼景点，早晚去溜溜还是很好的，价格算便宜的', '短评打分': 3}
{'短评内容': '性价比高，市中心生活方便。', '短评打分': 5}
{'短评内容': '位置挺好，周围就是商业街。这种旅游旺季，价格也不是很贵，就是洗漱用品，洗发液和沐浴乳都是一次性的，有点不好，其他的都能接受。', '短评打分': 5}
{'短评内容': '不错挺好的', '短评打分': 5}
{'短评内容': '好很好非常好', '短评打分': 5}
{'短评内容': '酒店设施陈旧有些家具有损坏，例如灯有不亮的、插座有的没有电，定了2个房间其中一个房间有线电视没交费还是怎么滴，一直有广告在前面挡着电视内容。空调有噪音影响休息，但是很冷很给力！卫生间就不说了看图吧！洗漱用品单独收费，送的早餐一般！', '短评打分': 3}
{'短评内容': '周边环境不错，市中心，吃饭选择比较广！', '短评打分': 4}
{'短评内容': '该酒店位于威海市环翠区，地理位置优越，周围饭店较多，极为方便，但酒店设施比较陈旧，房间内空调效果差、比较冷，大厅个别服务人员服务态度较差。  ', '短评打分': 4}
{'短评内容': '该酒店位于威海市环翠区，地理位置优越，周围饭店较多，极为方便，但酒店设施比较陈旧，房间内空调效果差、比较冷，大厅个别服务人员服务态度较差。', '短评打分': 4}
{'短评内容': '实惠经济型的酒店，早餐不错。', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '环境优美，地理位置好，经济实惠，有早餐，省事！', '短评打分': 4}
{'短评内容': '酒店位于巿中心，交通购物非常方便，客房干净，被裖也比较舒服，多层客房，没有电梯，感觉很好。', '短评打分': 3}
{'短评内容': '地理位置非常好。服务热情。推荐！', '短评打分': 3}
{'短评内容': '当地朋友介绍这是威海有点年头的饭店了，据说餐饮海鲜有自己的渠道，所以品种多。但客房设施太老了。', '短评打分': 1}
{'短评内容': '酒店环境不错，交通很便利，房间很干净，服务比较到位，这样的价格不要对硬件设施要求过高，宽带很快，就是唯一不足，洗澡用水温度不够，可以用比较凉来形容，希望酒店改进。', '短评打分': 5}
{'短评内容': '我觉得不错，位置很好，价格适中，足疗很舒服，服务不错。', '短评打分': 3}
{'短评内容': '酒店整体感觉还行，有中央空调，但就是设施太旧，网速很快。按目前价格还是可以的（标间140）', '短评打分': 5}
{'短评内容': '环境不错，只是设施旧点，交通还算不错，购物方便小吃很但是打车就比较难了，因为他修道，哈哈， 下次还来。', '短评打分': 5}
{'短评内容': '还可以,主要交通便利!', '短评打分': 3}
{'短评内容': '老旧的饭店,环境极差!摆着刷卡机告诉你不刷卡!洗浴中心和娱乐中心齐备的综合体,如果需要休息,一定不要住这家店!到的晚了来不及换地,极不情愿住!建议大家不住!', '短评打分': 1}
{'短评内容': '酒店设施比较陈旧，感觉不太安全，早餐太简单了，隔壁就是如家。', '短评打分': 1}
{'短评内容': '酒店的设施太陈旧了我定的房间还在五楼还没有电梯我女儿还不到一米一早餐要八元而且态度一点都不好', '短评打分': 1}
{'短评内容': '酒店位置不错 在环翠公园的旁边 周边购物也方便\n但是酒店的服务以及设施 卫生实在不敢恭维\n尤其是酒店竟然不能刷卡 让人郁闷\n不过酒店中餐厅的菜还是做得不错的', '短评打分': 1}
{'短评内容': '在市中心，位置极佳，交通方便，特别是去机场（无论是威海机场还是烟台机场）在很近的地方（威海卫大厦边）有机场大吧。房间干净卫生就是设施旧。', '短评打分': 5}
{'短评内容': '环境很好，在环翠楼下面，我订的是套房，卫生间很好，通风很好，含早餐，品种很多，我们是一家三口去的，宝宝很喜欢。', '短评打分': 5}
{'短评内容': '酒店环境很好干净舒适服务态度好', '短评打分': 3}
{'短评内容': '性价比很不错，赞一个。', '短评打分': 3}
{'短评内容': '酒店地理位置还不错，打车很方便，让我不解的是这家酒店付房费竟然不能刷卡，只能付现金，很不方便。卫生间下水道不太通畅，应该说酒店管理不算太好。', '短评打分': 1}
{'短评内容': '住宿环境还算可以，在市中心，只是客满没有电梯，在五楼还要爬上爬下有点不方便。总的来说还算可以吧，威海住宿的地方很多。', '短评打分': 5}
{'短评内容': '酒店服务挺好，每层都有引导者。\n干净整洁，早餐也深得父母长辈喜欢。\n比较高兴入住，性价比不错\n地理位置好，离刘公岛近。', '短评打分': 5}
{'短评内容': '通过网络订房时说含早餐！但结账时早餐又收费！！！感觉不好', '短评打分': 1}
{'短评内容': '酒店位置十分好，内部一般，但是对得起这个价格了。', '短评打分': 5}
{'短评内容': '还不错洗澡舒服就是空调不行', '短评打分': 3}
{'短评内容': '给别人定的，听说客房还不错，挺干净。而且从机场来威海市区坐大巴到威海卫大厦，直接走过来就可以了，很近很方便。含自助早餐，品种挺丰富的。', '短评打分': 5}
{'短评内容': '挺好挺好\n欢迎其他人也来入住此宾馆 服务好 还有早餐 值得一去', '短评打分': 5}
{'短评内容': '好', '短评打分': 3}
