{'短评内容': '酒店位置不错，客房干净。', '短评打分': 5}
{'短评内容': '很满意服务员很热情', '短评打分': 5}
{'短评内容': '挺好，住过很多次了', '短评打分': 5}
{'短评内容': '一般，总之感觉设施老了', '短评打分': 3}
{'短评内容': '还好吧', '短评打分': 4}
{'短评内容': '酒店地理位置较好，出门即是餐饮街，距离火车站不远，酒店年代较久，设施不是很新，但都不错，经常有团体客。', '短评打分': 4}
{'短评内容': '地理位置和设施都还不错，价格也合适，不过因城市道路整修，从车站到酒店不很方便。不过酒店离中心区还是比较近的。', '短评打分': 5}
{'短评内容': '环境不错，交通便利。', '短评打分': 5}
{'短评内容': '帮爸妈订的出行酒店，他们非常满意，算同地区性价比很高的酒店啦，通行的叔叔阿姨都很满意的！下次来还会住', '短评打分': 4}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '前台对携程系统不是很熟练…', '短评打分': 4}
{'短评内容': '环境一般 ，收费还贵', '短评打分': 3}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '非常残旧', '短评打分': 1}
{'短评内容': '很好！！！！！！！！！！！！', '短评打分': 3}
