{'短评内容': '房间挺干净，位置比较好，停车特别方便，经常出差旅行的朋友值得去住。特别温馨，早餐干净卫生，总之大大的推荐。', '短评打分': 5}
{'短评内容': '卫生间淋雨要更新', '短评打分': 4}
{'短评内容': '隔音效果不好', '短评打分': 3}
{'短评内容': '房间空间还可以，就是房间通风不太好。隔音效果不怎么好', '短评打分': 5}
{'短评内容': '房间里味道特别大，就像下水道堵了流出来一样，还有床单有洗不干净的黄渍，但是面积还可以，有早餐免费的，有两瓶免费的矿泉水比较好，设施比较齐全但比较旧。特别说明洗澡间外面是帘子，可以拉起来。。。大爱！不过房间味道确实很大。', '短评打分': 2}
{'短评内容': '环境不错，经常住，', '短评打分': 5}
{'短评内容': '条件还可以，可以入住，建议要求条件高的选知名品牌酒店', '短评打分': 5}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '总体感觉还不错', '短评打分': 5}
{'短评内容': '所有的完美被隔壁的吵闹给搅黄了。', '短评打分': 4}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '一般般！', '短评打分': 2}
{'短评内容': '还可以吧', '短评打分': 5}
{'短评内容': '总体还行', '短评打分': 3}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '住习惯了，总体服务还可以的', '短评打分': 4}
{'短评内容': '屋内环境不错，服务还可以，标间的床和别的酒店不一样，比较新，总体印象还不错的', '短评打分': 5}
{'短评内容': '酒店环境挺好的，但是空调不是太制冷。希望能换个空调，这样就回好点', '短评打分': 3}
{'短评内容': ' 情调还可以，很好找。热水不是特别热，希望能有所改进！', '短评打分': 5}
{'短评内容': '总体感觉还可，但也有许多地方不尽如人意！\n1、一进入房间就能闻到一股很难闻的气味，以我多年的经验来看，应该是卫生间地漏和面盆下水的问题。卫生间地漏没有防臭装置，面盆下水的软管和直管之间密封不好！\n2、房间整理不细致，从我入住的这三天来看，第一天我就发现床头靠板上口和电视机上沿满是灰尘，而且直到我们退房，这两个地方也没擦拭干净！座便器至少有一天没有清理！\n3、一次性用品的更换很有问题！既然我们入住了', '短评打分': 5}
