{'短评内容': '不错空调，好！', '短评打分': 5}
{'短评内容': '很不错，从内厝澳码头过来很不错', '短评打分': 5}
{'短评内容': '酒店不错，很小清新。美女接待服务也很热情。下次继续。', '短评打分': 5}
{'短评内容': '一般', '短评打分': 2}
{'短评内容': '老板人很好', '短评打分': 5}
{'短评内容': '老板服务很好,环境也不错，方便', '短评打分': 5}
{'短评内容': '不错挺好', '短评打分': 5}
{'短评内容': '太贵，住宿不好', '短评打分': 3}
{'短评内容': '继续努力，迟了一年才点评……', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 2}
{'短评内容': '还可以，老板人很好', '短评打分': 5}
{'短评内容': '地方不好找，在小巷子里面，晚上出去差点找不到该酒店。。。  卫生一般不是特别好，不过老板服务态度还不错，性价比不高，不会再次考虑入住。。。', '短评打分': 2}
{'短评内容': '地方不好找，是在小巷子里面，当天晚上差点迷路在岛上。。。  设施也太简陋了。。。', '短评打分': 2}
{'短评内容': '太差了，房间和描述相差天上地下外，晚上这么热的天还停电，失望加失望再加失望！', '短评打分': 1}
{'短评内容': '院子更好看了，后面好晒衣服，家的感觉。卫生很干净，以后带我老妈来多住几天。', '短评打分': 5}
{'短评内容': '很漂亮的旅馆，卫生好，设施好，总的都不错。以后再来，', '短评打分': 5}
{'短评内容': '挺不好找的一家小店，环境不错，尤其是它的院子，就是房间隔音效果不好', '短评打分': 3}
{'短评内容': '靠。酒店位置。太难找了。。找了半天还没找到。。。柜台服务态度差。。打过去不是挂电话。就是不出声。。。', '短评打分': 1}
{'短评内容': '环境不错。。。老板人也很好。。。而且离街道也很近。。。', '短评打分': 5}
{'短评内容': '来了之后老板说没有给登记到我们订房的订单，进入欧式大床房，房间一看貌似跟网上看到的不一样，挺失望', '短评打分': 3}
{'短评内容': '这家旅馆地处偏僻，去的时候绕了好久才找到，打电话问老板地址，老板的回答是这样子滴：你跟着感觉找呀...我彻底崩溃了....内厝沃路门牌号码不是依照顺序排列，所以找起来超级麻烦，回头路走了不少；屋子小小间，较潮湿，霉霉的味道，隔音也不好，外面的房间晚上睡觉可以听到路上的行人走路及说话的声音。这家旅馆没办法刷卡，只能付现金，而且不能开发票。', '短评打分': 1}
{'短评内容': '住的房间有点偏小，而且一楼住有点潮空气不好', '短评打分': 1}
{'短评内容': '地方小，房间空气不好，而且卫生间门也坏了', '短评打分': 1}
{'短评内容': '不大好找哦，房间内潮，老板态度倒还好，旅馆硬件有待提高', '短评打分': 1}
