{'短评内容': '服务好 服务员杨维弟女士看我洗衣服没地方晾还送来晾衣架 有赠送的水果和牛奶 周边繁华 吃饭方便 推荐入住', '短评打分': 5}
{'短评内容': '就是前台接待人员陈洁人挺好', '短评打分': 5}
{'短评内容': '酒店还可以，在市中心，交通还是挺方便的，对面就是苏宁广场，有很多吃的地方。离步行街不远，离汽车站也很近。', '短评打分': 4}
{'短评内容': '很舒服…服务很好', '短评打分': 5}
{'短评内容': 'ok', '短评打分': 3}
{'短评内容': 'ok', '短评打分': 3}
{'短评内容': '第一次在京东预定酒店，京东的速度挺快。酒店的位置，交通方便，周边有可逛逛的地方。', '短评打分': 5}
{'短评内容': '还可以吧，定的是大床房，但是发现所谓的大床是两张小床拼起来的，所以床是比一般的大床要大，但中间有条缝隙。设施一般性，不错考虑到四星级的话也可以凑合了。', '短评打分': 4}
{'短评内容': '好好好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': 'hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhjjjjj', '短评打分': 5}
{'短评内容': '房间很大，很干净卫生，位置比较好。很热闹，附近的吃饭的东方地方呢很多很方便。服务很热情。酒店设施比较健全。', '短评打分': 5}
{'短评内容': '唯一不好就是高峰时期 电梯难做', '短评打分': 5}
{'短评内容': '酒店不错，清洁，水压，环境都不错。早餐颇具中国特色。', '短评打分': 5}
{'短评内容': '交通方便', '短评打分': 4}
{'短评内容': '卫生不错，装修有点旧，设施齐全', '短评打分': 5}
{'短评内容': '好可以吧！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '还行，旧了点', '短评打分': 4}
{'短评内容': '还不错，离市中心比较近，容易找到。', '短评打分': 4}
{'短评内容': '没有四星，位置在市中心，非常方便，酒店比较旧，电梯很慢。', '短评打分': 4}
{'短评内容': '不错，交通很方便，酒店各方面设施都不错，服务也不错下次还会入住。', '短评打分': 5}
{'短评内容': '新酒店，住宿非常的温馨，地段也不错，值得推荐，以后如果来连云港，还是要住这里', '短评打分': 5}
{'短评内容': '新酒店，住宿非常的温馨，地段也不错，值得推荐，以后如果来连云港，还是要住这里', '短评打分': 5}
{'短评内容': '新酒店，住宿非常的温馨，地段也不错，值得推荐，以后如果来连云港，还是要住这里', '短评打分': 5}
{'短评内容': '已经入住，新装修味道有点，其他还不错', '短评打分': 3}
{'短评内容': '还不错，有些方面有待提高，卫生方面好像尤其重要', '短评打分': 5}
{'短评内容': '酒店环境很好，新装修，很大气。下次还会入住', '短评打分': 5}
{'短评内容': '酒店的早餐比以前好多了。房间还算干净的，停车也方便。', '短评打分': 5}
{'短评内容': '垃圾的一米，真受不了，原来觉得酒店这个级别很不错呢，没想到入住当天床单很脏，居然有血迹，受不了，这样级别的酒店居然会有这样的事情发生，以后绝对不会入住。', '短评打分': 1}
{'短评内容': '房间不错，早餐也很好。', '短评打分': 3}
{'短评内容': '不错，位于市中心位置交通便利，性价比高，早餐也很丰富\n', '短评打分': 5}
{'短评内容': '性价比很高，位于市中心,交通便利\n下次还会去', '短评打分': 5}
{'短评内容': '房间挺大，早餐挺好，床有点小，也有点硬，隔音效果也不是很好', '短评打分': 5}
{'短评内容': '位于闹市区的一个很不错的酒店，房间大而整洁，早餐不错，安静。很好，今后到连云港，可以考虑继续住这个酒店。', '短评打分': 5}
{'短评内容': '窗户和地板的连接处有个缝，大的能看到外面的房子，在对于住19楼的来说是很恐怖的。不过这都是小事，我严重怀疑这个酒店的服务员有没有经过正规的培训！昨天下午入住的时候，我手里拎着不少东西，等半天电梯之后服务员居然跑过来跟我抢电梯！入住后很不幸房间离他们工作间很进，于是就听到好几个服务员聚在那里哇啦哇啦的让，我很客气的开门说了两次麻烦小点声，毫无成效，今天早上7点多就开始吵，我就在一个周六的早上被他们给', '短评打分': 1}
{'短评内容': '世纪缘国际酒店硬件不错。管理不太好。', '短评打分': 3}
{'短评内容': '2006房橱柜 卫生间 房间 木板均有严重发霉 烧水壶口还生锈', '短评打分': 1}
