{'短评内容': '很好很好很好', '短评打分': 5}
{'短评内容': '一言难尽吧', '短评打分': 4}
{'短评内容': '交通便利，房价低廉，离步行街很近。', '短评打分': 5}
{'短评内容': '非常安好！非常安好！非常安好！重要的事情说三遍！', '短评打分': 5}
{'短评内容': '真心的不想说什么了！说是行政商务连电脑也没有！而且房间都是一股怪味！设施陈旧！真的很差', '短评打分': 1}
{'短评内容': '很一般，床上有小飞虫', '短评打分': 2}
{'短评内容': '经常出来玩，感觉这家酒店的房间是我住过最雅致，淡雅的壁纸镜子，房间显得干净透亮，一进门感觉就非常好。门口牌子特别醒目，非常好找。出门过个马路就是公交车站，出行也很方便，大赞！门口收银台的姐姐待人也非常的亲切。至于价格方面嘛～只能说作为一个学生的我来说是非常合适的价格了。这家酒店还有主题套房，这次没订到，下次来了一定尝试一下。至于房间什么样，请各位看官看图哦～拍的时候忘开灯了有点暗，请各位不要嫌弃*', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '条件一般', '短评打分': 4}
{'短评内容': '三四天都没有打扫卫生了，我也是醉了？先习惯了给好评，后面就是这种待遇，人善被人欺！', '短评打分': 1}
{'短评内容': '太一般了', '短评打分': 2}
{'短评内容': '工作人员服务超好，因为我们不想住地下，免费帮我们升级了房间，房间虽然不大，但该有的都有，好评！', '短评打分': 5}
{'短评内容': '服务非常好 不懂的也都很耐心的在教 棒棒的！', '短评打分': 5}
{'短评内容': '交通很方便，服务态度很好', '短评打分': 5}
{'短评内容': '非常热情', '短评打分': 5}
{'短评内容': '  房间总体感觉还不错  确实是mini', '短评打分': 3}
{'短评内容': '环境还不错,房間也算干淨,附近可逛的地方很多~很热鬧', '短评打分': 3}
{'短评内容': '很好，非常精致，性价比很高了，服务也很好', '短评打分': 5}
{'短评内容': '很精致很漂亮。风格有多样，很紧凑，迷你房性价比高。其他一般', '短评打分': 5}
{'短评内容': '很好很精致，都还很喜欢，比较喜欢。风格好漂亮', '短评打分': 5}
{'短评内容': '整体还不错，就是隔音差点', '短评打分': 3}
{'短评内容': '酒店不错哦，酒店不错哦，酒店不错哦，酒店不错哦，酒店不错哦，', '短评打分': 5}
{'短评内容': '卫生条件尚可，房间安排不合理，但是最终解决，没有耽误旅程，地点很好，靠近啤酒屋', '短评打分': 5}
{'短评内容': '晚上去的晚，给酒店打电话说明了一下情况后前台给我留了房间。\n\n可惜卫生间里的灯坏了。浴巾也不咋地，到了凌晨马路上那些大车的噪音。。。\n\n服务倒是很好。希望酒店以后解决这些问题。', '短评打分': 5}
{'短评内容': '价格偏贵 服务不周 毛巾浴巾 床单床罩不能每天更换 卫生不是每天做 三人房就是一个大沙发', '短评打分': 5}
{'短评内容': '装修挺有风格 前台服务态度也不错 步行至台东步行街也就十几分钟的路程 就是卫生打扫不及时 更不彻底 只更换了垃圾袋', '短评打分': 5}
{'短评内容': '房间小，而且房顶低，感觉入住压抑，房间用的洗漱用品，毛巾等看起来不卫生的说~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~', '短评打分': 1}
{'短评内容': '已入住', '短评打分': 3}
{'短评内容': '1、房间小得可怕,无窗啊，是地下室哦。\n2、卫生不好,贴地的墙体明显很脏，而且发现了虫子一只。\n3、性价比不高，其实价格不是那么便宜啦，相对来说。\n4、个人不喜欢。\n', '短评打分': 1}
{'短评内容': '这个酒店很脏，很臭，空气不流通，旁边就是马路很吵，房间都是隔出来的，小又乱，安全通道都没有，一入住就后悔，哎，欲哭无泪。', '短评打分': 3}
{'短评内容': '这个价位在青岛算是不错了，店员很热情，房间也比较温馨，酒店的地理位置也不错啊。', '短评打分': 5}
{'短评内容': '前台的服务让人很舒服，每个房价的样式也都不太一样，地下间有点潮湿，但是前台很爽快的就给换了，还是很不错方便的。', '短评打分': 5}
{'短评内容': '住的迷你房，蛮干净整洁的，服务态度也很好！值得一住！', '短评打分': 5}
{'短评内容': '房间小而脏，墙上挂着电线，拖线板，看上去危险又压抑，卫生间小的可怜，排风差，是居民楼改建的房间，建议取缔这类酒店营业。', '短评打分': 1}
{'短评内容': '酒店的地理位置不错，虽不靠近海，通往各个景点的公交车都有，酒店对面有菜市场，可以买新鲜的海鲜请周围小饭店加工，很便宜，手工费6元左右，住的三人间，床都很大，唯一卫生没有天天来打扫！', '短评打分': 5}
