{'短评内容': '酒店比较老 设施一般 ', '短评打分': 3}
{'短评内容': '还可以的。', '短评打分': 3}
{'短评内容': '很不错，下次还会继续选择这家酒店。很不错，下次还会继续选择这家酒店。很不错，下次还会继续选择这家酒店。', '短评打分': 5}
{'短评内容': '感觉位置还行，其他很一般', '短评打分': 4}
{'短评内容': '酒店无线不停的掉线，手机不能上网，电视不清晰，看不清，电脑网速慢的要死，前台服务员态度也不好，收费要220多，什么烂条件啊', '短评打分': 1}
{'短评内容': '交通方便，停车还好吧。周边吃饭的地方也挺不错的', '短评打分': 5}
{'短评内容': '前台态度差，房间地毯特别脏，房间内卫生也差', '短评打分': 3}
{'短评内容': '还不错，交通方便', '短评打分': 4}
{'短评内容': '卫生条件好，距离办事地点非常近', '短评打分': 4}
{'短评内容': '环境舒适，强烈五星', '短评打分': 5}
{'短评内容': '环境尚可，像商务酒店，价格偏高。', '短评打分': 4}
{'短评内容': '位置很好，周边用餐方便，交通便利。设施、卫生、隔音都不错。服务热情，起初房卡未刷好，打了电话让客房服务员给开门后，总台还主动将新门房卡给送上楼来，值得表扬，下次还会选这家入住。', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 4}
