{'短评内容': '嘿嘿，环境不错，正在重新装修', '短评打分': 5}
{'短评内容': '环境不错，家居办公的感觉都有。', '短评打分': 5}
{'短评内容': '床上用品粗糙', '短评打分': 2}
{'短评内容': '很好的一家酒店。出行都很方便。吃饭也方便。前台服务很想当的好，很热情。其实我是来公差的，前台还以为我是来玩的。给我介绍了柳州很多玩的地方和吃的地方。期待真的可以来玩。', '短评打分': 5}
{'短评内容': '很不错的一家酒店，环境很好，主要是价格相对来说比较便宜，在这样的价格里能做到这样的服务的确不容易！', '短评打分': 5}
{'短评内容': '酒店房间确实不错。换了楼中楼，楼梯湿水了以后有点滑，需要小心一些，其他都很不错～', '短评打分': 5}
{'短评内容': '经常去', '短评打分': 5}
{'短评内容': '从没住过这么差劲的酒店，衣架上、桌子上全部是灰尘，问了之后才知道是刚装修过，但这是理由吗？一次性拖鞋薄的像张纸，冲澡的地方下水道堵了…以后绝不再住这个酒店，哪怕是其它地方的连锁酒店。', '短评打分': 2}
{'短评内容': '空调跟坦克一样响！ 早餐7:40还没准备好！ 电梯实在是难等！', '短评打分': 4}
{'短评内容': '环境、卫生、服务OK~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '第一次住酒店楼中楼的住房，感觉还不错，适合两个人出差，楼上楼下互不打扰，酒店带自助早餐，都还可以。', '短评打分': 4}
{'短评内容': '房间超大，交通还算方便，整体不错', '短评打分': 5}
{'短评内容': '酒店环境不错，服务周到，房间也布置很舒适，附件有停车场，有KTV，是游玩的好去处啊！269，值了1', '短评打分': 5}
{'短评内容': '房间环境可以，有家的感觉，下次来柳州还会来住', '短评打分': 3}
{'短评内容': '柳州沃顿商务酒店环境不错，设施和服务也不错…有家的感觉', '短评打分': 3}
{'短评内容': '挺舒适的，有家的感觉。', '短评打分': 3}
{'短评内容': '空调很给力 房间够大 视野也好 值得推荐', '短评打分': 5}
{'短评内容': ':宾馆条件还不错，性价比合理，卫生、整洁，服务态度也好。', '短评打分': 3}
{'短评内容': '还不错，不过貌似有三陪小姐出没.......', '短评打分': 5}
{'短评内容': '干净又舒适.', '短评打分': 3}
{'短评内容': '设施新，交通方便，房间超大。就是隔音稍差些。', '短评打分': 5}
