{'短评内容': '老板服务态度非常好，附近吃的经济又实惠。', '短评打分': 5}
{'短评内容': '很好&hellip;&hellip;&hellip;&hellip;', '短评打分': 5}
{'短评内容': '老板人非常好', '短评打分': 5}
{'短评内容': '老板热情 价格实惠 还能洗热水澡 一个人出门是不错的选择', '短评打分': 4}
{'短评内容': '总体来说还可以吧，价格也合适', '短评打分': 3}
{'短评内容': '还好吧～交通方便，离车站近～条件一般，不过价钱在那，', '短评打分': 3}
{'短评内容': '第三次住了，沈阳北站旁边，老板人很亲切，房间暖和。', '短评打分': 5}
{'短评内容': '小小的，不过挺干净，我本来就喜欢小房间。这个价格不错了～', '短评打分': 5}
{'短评内容': '条件一般，价格不高，电压不稳，把手机充电器充爆了，不隔音，临街房间非常吵闹，下面有早市，公共卫生间，不太方便。', '短评打分': 3}
{'短评内容': '酒店一般般，靠马路，隔音一般，但老板人挺好', '短评打分': 3}
{'短评内容': '很不错，有网络。距离火车站与汽车站非常的近，就餐方便。', '短评打分': 5}
{'短评内容': '价格还算公道，就是60的房间真的不大，如果一家三口的话，床有点挤，有独立卫浴。', '短评打分': 5}
