{'短评内容': '位置不错！', '短评打分': 5}
{'短评内容': '早餐好吃，很容易找到', '短评打分': 5}
{'短评内容': '早餐特别棒', '短评打分': 5}
{'短评内容': '性价比不高', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '环境一般，房间设施有点沉旧', '短评打分': 5}
{'短评内容': '酒店很干净，就是房间很暗，自助早餐很不错', '短评打分': 5}
{'短评内容': '是四星级的价格实惠还有双早', '短评打分': 5}
{'短评内容': '东西不错值得购买', '短评打分': 5}
{'短评内容': '蛮好的', '短评打分': 5}
{'短评内容': '用餐挺好！房间办公桌圆形的从起电脑很不方便！宾馆环境挺好！', '短评打分': 4}
{'短评内容': '有点陈旧', '短评打分': 5}
{'短评内容': '不错的酒店', '短评打分': 5}
{'短评内容': '还不错的。', '短评打分': 5}
{'短评内容': '酒店位置好，交通便利，下次还会入住的。', '短评打分': 5}
{'短评内容': '性价比高，晚上很安静，早上的自助餐不错，时间够，可以晚点去吃，房间算干净整洁，里面有很多东西需要另外付钱的，都有标识，服务很周到。', '短评打分': 5}
{'短评内容': '酒店环境还行，服务也很到位，交通也方便，整体还不错！', '短评打分': 5}
{'短评内容': '第一次这么尴尬，卫生间是敞开的，没有私密空间。诟气直达整个空间，空调声音像拖拉机，噪得睡不着吹得还是冷风，只能挨冻。不可能再来了。', '短评打分': 1}
{'短评内容': '拐角的房间 还不错吧', '短评打分': 5}
{'短评内容': 'kjasbfjklbaljksdfga', '短评打分': 5}
{'短评内容': '很好的酒店,每次到常州都住。遗憾的是房间经常不够。', '短评打分': 5}
{'短评内容': '干净，住着舒服，特价房的性价比高，以后还会住', '短评打分': 5}
{'短评内容': '感觉房间挺大的，卫生间的布置挺独特的。唯一一点不足的是烧水壶有点脏。', '短评打分': 5}
{'短评内容': '酒店服务不错，早餐也还不错。就是房间里设备有点简单，摆放的有点怪，床太硬', '短评打分': 5}
{'短评内容': '服务态度比较好，还送了饮料券兑换了冰激凌很好吃。早餐也很丰富，就是晚上蚊子比较多。', '短评打分': 5}
{'短评内容': '好，很好，我常驻，位置好，服务好，设施好，早餐素菜少了点，其他都很好！！！！！！！', '短评打分': 5}
{'短评内容': '这个酒店我已经住了三次了，每次来常州都住在这里，感觉这里的环境，服务，卫生都不错，性价比比较高，只是这次的早餐没有以前丰富了', '短评打分': 5}
{'短评内容': '不错，蛮干净的，装修的也还蛮新的，就是路段不怎么样，早上拦出租车有点困难啊！！！', '短评打分': 5}
{'短评内容': '\n\n性价比不高\n\n', '短评打分': 3}
{'短评内容': '第一次住了四天，然后又定了两天，宾馆整体感觉不错，不过无窗房确实太闷了，下次常州再办跳水全国赛的时候，我会再来的，不过下次肯定不选无窗房了，呵呵', '短评打分': 5}
{'短评内容': '这个酒店让我很惊喜，入住当晚送水果盘，送餐券的时候会带一份报纸，设施也很齐全，不错。', '短评打分': 5}
{'短评内容': '常州的变化太大了，酒店还算不错，可惜睡懒觉没有吃到早餐。。。', '短评打分': 5}
{'短评内容': '多次住该酒店了，这里环境好，交通便利，而且服务也好，早餐也不错，喜欢！', '短评打分': 5}
{'短评内容': '每次都是住的这边。服务不错的。早饭弄的也挺丰盛', '短评打分': 5}
{'短评内容': '酒店整体感觉比较气派，我住的是无窗房，感觉比较压抑。建议不要选择无窗房。', '短评打分': 5}
