{'短评内容': '服务一般', '短评打分': 4}
{'短评内容': '环境幽雅，湖边风景秀丽，可垂钓。', '短评打分': 3}
{'短评内容': '比较安静，靠近白藤湖，空气质量不错。', '短评打分': 3}
{'短评内容': '酒店不错，就是周边环境不好', '短评打分': 4}
{'短评内容': '够平！但房间、浴室设施太落后。', '短评打分': 3}
{'短评内容': '基本都是驾校考长途过来的，环境相对一般，不过胜在晚上真的很安静，价钱便宜', '短评打分': 4}
{'短评内容': '基本都是驾校考长途过来的，环境相对一般，不过胜在晚上真的很安静，价钱便宜', '短评打分': 4}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '还可以，就是蚊子多了点，附近也没什么地方吃饭', '短评打分': 4}
{'短评内容': '可以，不错的选择', '短评打分': 3}
{'短评内容': '感觉性价比不错 有车较方便', '短评打分': 4}
{'短评内容': '很多蚊孑，很旧，床很小，还境不错对着湖面', '短评打分': 2}
{'短评内容': '周围吃饭方便', '短评打分': 3}
{'短评内容': '环境一般', '短评打分': 3}
{'短评内容': '可惜小冰箱是坏的。附近很多吃饭的大排档，晚上睡觉安静。风很大，推荐经济性居家度假。如果还去珠海，应该还会入住。', '短评打分': 4}
{'短评内容': '酒店有点老，出去旅游，住差一点没所谓了。十分超值的3人间', '短评打分': 4}
{'短评内容': '房子有点老，虽然里面的设施挺全的，但是最要命的是楼上太阳能热水器的声音，一直到半夜3点才消停，早上8点又开始了，整一个跟在机场边上睡觉似的，向前台反馈得到的答复是这地方就是这样的。', '短评打分': 1}
{'短评内容': '环境不错，很安静，旁边就是湖水', '短评打分': 3}
{'短评内容': '房间很宽敞，周围比较安静。就是吃饭不怎么方便。其余都好.', '短评打分': 5}
{'短评内容': '酒店靠近情侣路，也就是比较靠近海边，出海挺方便的，而且位置也好找.', '短评打分': 5}
{'短评内容': '房间的配套设施挺齐全用，而且都比较新，液晶电视，电脑网线之类都有，方便.', '短评打分': 5}
{'短评内容': '客房不是很大，不过临海很近，基本上都有海景的房间可以直接望海，景观很好.', '短评打分': 5}
{'短评内容': '从这个价位来说，性价比还过得去，环境比较幽静，适合自驾游者住宿。不足之处是房内的墙壁部分不太雅观，对于稍微挑剔的人来说建议不选择。', '短评打分': 5}
{'短评内容': '御景湾酒店比较清净，环境也可以，不过本人住的是标准双人房，是原来的旧楼，相对没那么好', '短评打分': 5}
{'短评内容': '内部设施比较旧。环境嘛，如果要求不高还凑合。服务态度倒是值得赞。', '短评打分': 1}
{'短评内容': '酒店的环境很安静，白藤湖景很美；酒店的卫生状况一般，床单被子不够干净；交通很不便利，建议开车去比较方便。', '短评打分': 5}
{'短评内容': '酒店还是比较一般房间也没什么，而且酒店的位置离市区也比较远，价格在位置方面还是比较贵，服务态度还好。', '短评打分': 1}
{'短评内容': '总的来说还可以，就是有点远，而且周边没有什么好玩的地方。另外酒店第一次给我们一个房顶发霉的房间，一进屋有一股霉味。我们要求换房后就好点', '短评打分': 1}
{'短评内容': '+酒店在斗门郊区，对自驾车来说交通很方便，紧靠湖边的三栋两层小楼，安静，但周边还有很多别的酒店娱乐设施，适合周末渡假。我们住的', '短评打分': 5}
