{'descr': '住的最差的一次好不好。还高级，东西都是残缺不全的', 'star': 4}
{'descr': '好评', 'star': 5}
{'descr': '好评', 'star': 5}
{'descr': '环境还可以吧 ', 'star': 4}
{'descr': '酒店不错，美中不足的就是停车场只能报销12小时的停车费，超出部分自己给，这一点不好', 'star': 5}
{'descr': '房间离网师园还挺近的，走路过去没多久。挺干净的。可惜动车晚点六个小时只住了三四个小时就走了。另外&hellip;&hellip;五点过去房间居然碰上了下班的小姐&hellip;&hellip;自己门口也有小卡片&hellip;&hellip;刷卡才能到相应楼层的啊，所以不是内外内外勾结吗？', 'star': 3}
{'descr': '几乎每次都住这家', 'star': 5}
{'descr': '房间干净，整洁。一如既往的支持', 'star': 5}
{'descr': '还可以，离风景区挺近的', 'star': 4}
{'descr': '还不差吧', 'star': 3}
{'descr': '环境不错，离考试的地点也近，很方便，就是隔距感觉有点怪', 'star': 5}
{'descr': '朋友来就住这个酒店，还不错，房间也大', 'star': 4}
{'descr': '设施比较陈旧了，但是卫生还算干净，价格实惠', 'star': 5}
{'descr': '唉', 'star': 1}
{'descr': '房间一般，湿气太重', 'star': 3}
{'descr': '地段不错，附近设施什么的都很齐全，挺好的', 'star': 5}
{'descr': '地理位置还可以，门口就有公交车站，去拙政园、平江路都比较近。房间很大，旁边就是KTV，不过隔音效果还可以吧。', 'star': 5}
{'descr': '住的大床房，房间很大，挺舒服的。卫生间设计的非常有意思。离苏州的旅游景点都不远。缺点：上班时间，楼下不好打车。据说出租司机不愿意进城。我住在三楼，晚上有时能听到楼下会所的音乐声。\n', 'star': 5}
{'descr': '挺宽敞，房子比想象的要好点.里面设置的沙发也挺人性化的', 'star': 5}
{'descr': '汉庭为什么不包早餐呢？？？？？？？求解.。。应该所有的酒店都包早餐才行啊', 'star': 1}
{'descr': '房间干净整洁，设施齐全，只是毗邻娱乐场所有点吵', 'star': 5}
{'descr': ' 很满意，不错！', 'star': 3}
{'descr': '前台服务很热情，房内设施环境也不错...\n', 'star': 5}
{'descr': '卫生和服务都还可以，在这么个旅游城市价格还算公道吧', 'star': 5}
{'descr': '汉庭一直很给力哇！加油！大家尽可以订这家的，离观前不远，很方便，公交也发达。各种方便呀，给力！', 'star': 5}
{'descr': '干净，卫生，房间还行，硬件配备很齐全，服务很不错，而且提供免费行李寄存服务', 'star': 5}
{'descr': '酒店位置偏，而且很吵。', 'star': 3}
{'descr': '第一天进房间时有烟头并且有异味，不是很爽', 'star': 1}
{'descr': '很差！没跟客人联系好就找借口将预定客房取消，并要求客人按酒店当时房费重新定房，黑店！', 'star': 1}
{'descr': '好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好!', 'star': 5}
{'descr': '好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好!', 'star': 5}
{'descr': '＋房间还可以，只是门缝里塞进来的黄色卡片太多。', 'star': 3}
{'descr': '和同学一起来的，感觉环境很干净，交通也很便利。很不错的地方。', 'star': 5}
{'descr': '地理位置不错，去哪儿都比较方便。旁边酒店、文化宫都很近。', 'star': 5}
{'descr': '一如既往的好', 'star': 3}
{'descr': '酒店还好   由于不在市区所以很安静  环境还好   周围可以玩的没有 但是有车直达观前', 'star': 5}
{'descr': '不错的酒店，环境蛮好的，面积也蛮大的，门口有公交站，十分方便', 'star': 5}
{'descr': '酒店位置很好,房间也很干净.就是卫生间有点小.门逢里全是小广告!!', 'star': 5}
{'descr': '挺好，经济实惠，交通方便，环境不错，下次再来！', 'star': 5}
{'descr': '很好！物有所值！下次还要订这。~~~~~~~~~~~~~~~~~~~~~~', 'star': 5}
{'descr': ' 房型不错,但酒店应算不上新,硬件条件一般!', 'star': 3}
{'descr': '总体来说很好，比较安静，周围打车比较方便。就是小卡片泛滥.比其他汉庭要多。', 'star': 5}
{'descr': '地段和服务、环境都不错，价格也还划算，性价比很高，关键是比较安静', 'star': 5}
{'descr': '很不错，挺好的，谢谢！', 'star': 3}
{'descr': '感觉汉庭的床不错，荞麦枕很不错。', 'star': 3}
{'descr': '酒店服务很不错，就是隔音不好，隔壁是会所，到晚上吵的很。。我住的房间，10点以后就是高跟鞋走路的声音，一个晚上都没有睡好。。。', 'star': 5}
{'descr': '地理位置好，晚上娱乐逛街都非常方便。房间配套齐全，整洁大方。最好的是我很喜欢这家酒店的床，睡上一夜好梦！', 'star': 5}
{'descr': '还不错,干净', 'star': 3}
{'descr': '入住的时候前台的服务态度太差了，定的大床房，房间里都是烟味，之前也住过一次这个地方，怎么感觉完全不一样了呢，退房的时候也慢的不行，一点效率都没有', 'star': 1}
{'descr': '价格合理，清洁卫生，服务到位，安全又保障，交通便利。', 'star': 5}
{'descr': '位置还好，整体一般吧，有地下车库，停车比较方便，不过要收费', 'star': 5}
{'descr': '地理位置比较好，汉庭的服务不错，干净卫生，网速快！', 'star': 5}
{'descr': '地理位置价格都不错 性价比好 朋友介绍的果然舒服 喜欢大床房的沙发 舒服极了 前台服务态度好 值得推荐！', 'star': 5}
{'descr': '位置很好，就是不含早餐，价格有点高。晚上玩的地方比较近。', 'star': 5}
{'descr': '位置很好，酒店适合旅游的人住。价位有点高。', 'star': 5}
{'descr': '酒店面积大，就是晚上楼下比较吵，隔音差，还有酒店停车比较麻烦，要自己付钱', 'star': 5}
{'descr': '位置很好，对面就是竹辉路。比较干净整洁，价格也还适中，能有早餐就更好了！', 'star': 5}
