{'短评内容': '很舒服，可以有早餐', '短评打分': 5}
{'短评内容': '位置不错环境理想', '短评打分': 5}
{'短评内容': '非常非常非常好', '短评打分': 5}
{'短评内容': '位置挺好的，附近有两个三个公交站很方便。', '短评打分': 5}
{'短评内容': '很好，很舒服。', '短评打分': 5}
{'短评内容': '好好好好好好', '短评打分': 5}
{'短评内容': '挺好的，价格便宜，而且旁边有一个小区可以停车，门口的大叔也很好说话。酒店前台的服务态度很好，很满意，性价比高，好评。', '短评打分': 5}
{'短评内容': '还行下次再来，', '短评打分': 5}
{'短评内容': '服务不错，环境有点吵', '短评打分': 4}
{'短评内容': '之前已经说了 ', '短评打分': 4}
{'短评内容': '还有 木屐鞋真的很不好！ 重！响声大！隔音不好，楼上走路都能听到。而且要是客人有脚气什么的……   不过没有干湿分离的卫生间一次性的也不顶用。吹风筒只有热风，而且只有一档，不是很满意。电视很奇怪，有时候会是网络电视，但是遥控控制不了。还有wifi！！！！几乎连不上，这个真心让我心塞！我也只是说说我自己的想法，就当吐槽吧。', '短评打分': 4}
{'短评内容': '忘了说  空调该换了！会发出嘎吱嘎吱的声音，而且开关都有点问题！', '短评打分': 4}
{'短评内容': '有前台跟我说 不和携程合作了？不过我还是能用携程订房，表示不解。', '短评打分': 4}
{'短评内容': '前台对网络预订房这方面业务太差，该培训了。预订房是要经过酒店确认的，可前台那里竟一点信息没有，还问我哪订的还要打开手机app给他看，可看了后还是一点不懂，像提防骗子似的，又问我是什么价格定的，一付对低价格很不高兴的样子。我想说，要是你们酒店对网上优惠价订房觉得亏了，就不要开展这项业务。唉，因是网上预订房结果在前台弄了半小时还没开好房，业务太差。', '短评打分': 4}
{'短评内容': '很好，很安静，睡得很安心', '短评打分': 3}
{'短评内容': '好，，，很好，，很赞', '短评打分': 3}
{'短评内容': '很好，，服务很好，睡得很舒心', '短评打分': 3}
{'短评内容': '每次出差过来都住这里，不错。。。。', '短评打分': 3}
{'短评内容': '酒店价格实惠，交通方便。总体还不错。就是有点吵。', '短评打分': 5}
{'短评内容': '如果是去附近办事的话，还是比较方便的，对面的水果市场还是不错的', '短评打分': 5}
{'短评内容': '普通', '短评打分': 3}
