{'短评内容': '没早餐，不能加床 、可带小孩、位子不错、停车方便', '短评打分': 3}
{'短评内容': '一般，真的一般，不建议提前预订', '短评打分': 4}
{'短评内容': '之前电话联系店家出了些问题，不过之后入住的两晚，店家服务还是不错的，人也很热情。', '短评打分': 4}
{'短评内容': '性价比很高，步行街尽头，稍远但能接受，离开时小孩的被子那在那了，太堵，没回去拿', '短评打分': 5}
{'短评内容': '老板很热情，房间挺干净的。', '短评打分': 5}
{'短评内容': '比较干净，老板人很好', '短评打分': 4}
{'短评内容': '因为改了行程，实在订不到隔壁那家醉仙山庄，所以临时定了这家住一晚，第二天再搬过去。然后发现这两家差得很远啊，醉仙山庄条件比这家好的不止一点点。你们都懂，我就写写，不多说了', '短评打分': 3}
{'短评内容': '服务很好。', '短评打分': 3}
{'短评内容': '在步行街最里面，不是特别方便，但清净，环境好，靠着山。老板服务态度也还不错', '短评打分': 4}
{'短评内容': '这是一个家庭旅馆，老板娘一家很热情，服务不错，对景点游玩给出专业的建议', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '设施齐备、床铺干净、服务热情；稍微不足的是没有早餐、离街口有点远。', '短评打分': 5}
{'短评内容': '这些酒店离风景区很近，房间干净舒适，主人热情，我用电脑买车票用了挺久，虽然没成功不过还是很感谢店主的耐心 ', '短评打分': 5}
{'短评内容': '住了非常舒服，老板很客气', '短评打分': 3}
{'短评内容': '房间很干静，还OK', '短评打分': 3}
{'短评内容': '十很干净，老板也很热情！是不错的选择', '短评打分': 3}
{'短评内容': '很不错，还免费去火车站接我们', '短评打分': 3}
{'短评内容': '我们是住在2号楼的.环境只能说比较干净.农家乐中算不错的了.', '短评打分': 5}
{'短评内容': '老板挺热情的，赠送地图，附带讲解游览景点，服务也挺周到的，经营有道啊！', '短评打分': 5}
{'短评内容': '小庄在步行街的最里面，还算好找。老板娘很热情，房间也很干净。当听说我们去步行街晚餐时需要找大的餐桌，老板娘的父亲还亲自带我们前往，推荐的饭店烧的菜，味道不错，而且量还很大，收费也还算公道。', '短评打分': 5}
{'短评内容': '酒店清洁、舒适、安静，闹中取静。服务也不错。唯一的缺点是有点简陋。', '短评打分': 5}
{'短评内容': '总体来说还可以，在网上订这个酒店还是很方便的，前台很热情的给旅游地图并帮忙规划旅游路线', '短评打分': 5}
{'短评内容': '老板娘很热情啊，因为我们临时变更行程，急需去买雁荡山的动车票，问了老板娘，老板娘很爽快的让她爸爸去给我们买了，免费代购哦亲~期间还跟老板娘借了电脑查资料，老板娘的女儿很多才多艺哟。住宿的条件方面，因为四周都是山，被子总是有点潮，但是房间很干净，因为这家是步行街最里面的一家，所以是背靠山哦~最重要是中秋木有涨价啊', '短评打分': 5}
{'短评内容': ' 信息快，入住满意.但是信息担保扣款快！本来就住时间未到就扣款。', '短评打分': 5}
{'短评内容': '环境很干净，店主夫妇也很热情，还去火车站接了我们，中间还有点小周折，周五电话告知时间，店主可能听错了，周六一大早9点就去了，我们2点多到的，他又去了一趟。免费送了地图，并告诉我们合理安排行程，下次去还要去住的', '短评打分': 5}
{'短评内容': '碧玉小庄真的给人回家的感觉，老板一家人都非常热情好客，给了我和妹妹在入住期间的很多帮助，后来老板还亲自开车送我和妹妹到雁荡山火车站，真的让人十分感动。小庄地理位置很棒，环境很安静，房间很干净，热水很给力，经济又实惠。以后我一定给朋友推荐这里小住，真的如同回家一般！', '短评打分': 5}
{'短评内容': '酒店干净，热水充足，在步行街的最里头，比较安静。服务热情，送地图一份。', '短评打分': 5}
{'短评内容': '店内干净整洁，就在步行街上，出行比较方便，晚上这里安静很适合休息，老板娘很热情。', '短评打分': 5}
{'短评内容': '酒店老板很热情!周围很安静,适宜晚上休息!\n酒店的早餐也非常口渴!\n谢谢酒店老板!', '短评打分': 5}
{'短评内容': '已入住。', '短评打分': 3}
