{'短评内容': '很好........', '短评打分': 5}
{'短评内容': '非常感谢.............', '短评打分': 5}
{'短评内容': '还是不错的，除了一楼房间很潮湿。其他员工相当好，服务也很赞，除了登记入住时有个前台新来的女生短发前台，态度有点恶劣，用命令式的口气和我说了三句话，每句话重复了三遍之外...其他都相当的好，...q', '短评打分': 5}
{'短评内容': '垃圾中的垃圾，求大家不要去入住，恶心人。', '短评打分': 1}
{'短评内容': '常年住国际五星酒店，从来没走这么差的体验。据了解，酒店前身是凯莱酒店，管理团队是北京的钓鱼台国宾馆团队，不是美高梅。美高梅只是合资方之一。建筑风格就是一个土掉渣。而且不是16年新装修的，起码十多年了！只是破旧的设施改了一下而已！比万豪都差远了。本来想住丽思卡尔顿和瑞吉，但丽思以前住过了，瑞吉海滩有点偏，就选了同样评分的美高梅，至尊海景房。结果进来后整个感觉三星级的国标酒店。早上洗澡水是凉的，一穿拖', '短评打分': 1}
{'短评内容': '环境好、服务好、感谢kimi，好评…………………………………………………………………………………………', '短评打分': 5}
{'短评内容': '收费太高了，吃饭更离谱贵又不好吃！建议不住这里', '短评打分': 3}
{'短评内容': '早餐很丰盛，地理位置优越， 步行两分钟到海边，住在这里让人舒适，房间设施一应俱全。很满意，下次来还住这里', '短评打分': 5}
{'短评内容': '前台老虎服务非常好', '短评打分': 5}
{'短评内容': '环境优美，很不错的酒店，主要前台接待tiger同志热情周到', '短评打分': 5}
{'短评内容': '香山服务非常热情', '短评打分': 5}
{'短评内容': '非常棒  tiger童鞋', '短评打分': 5}
{'短评内容': '酒店沙滩景色还是不错的，就是房间设施有点陈旧了', '短评打分': 5}
{'短评内容': '京东订酒店比携程去哪儿便宜一点', '短评打分': 5}
{'短评内容': '酒店的服务水准非常差。', '短评打分': 3}
{'短评内容': '虽然没住上 但是京东的服务还是很好的 价格也低 很不错', '短评打分': 5}
{'短评内容': '不错的酒店', '短评打分': 5}
{'短评内容': '很好，高级海景房性价比挺高的，淡季去人也很多', '短评打分': 5}
{'短评内容': '很好很好很好\n·', '短评打分': 5}
{'短评内容': '666666', '短评打分': 5}
{'短评内容': '这个酒店就是人太多，吃饭尤其是早餐跟打仗似的，哈哈。', '短评打分': 5}
{'短评内容': '来住了几天环境不错，逼格高', '短评打分': 5}
{'短评内容': '非常高大上的酒店。设施先进，完备。绝对的一线海景，出门即沙滩。除了价格高，基本也挑不出什么毛病了。', '短评打分': 5}
{'短评内容': '非常好的酒店，开始也查了很多，红树林和天域纠结中，但是来这里还是发现亲子的多，设施很完备，吃的也很好。就是价格和前台的差不多，提前两天订的，没什么优惠，如果提前制定行程可以关注酒店微信公众号，上面的价格有优惠，很划算。周围没什么景点，百花谷那些太坑都，超市饭店都是垃圾的厉害，属于垄断自己定价格的那种，纸尿裤一包比外面贵3倍我也是醉了，要不是急用没人会买，所以带宝宝去的父母最好在三亚就提前备好，酒店就够你们呆了，千万别去外面，不然辜负大好时光。', '短评打分': 4}
{'短评内容': '京东商城团购价格实惠，不用预约很方便，酒店很棒就是价格太贵了，住了一晚体验一下，很棒淡季再住就一点。', '短评打分': 5}
{'短评内容': '挺好的，家人们也都很满意，不过***真是有些老了，更多的新酒店出来，它就显示不出原来的魅力了。', '短评打分': 5}
{'短评内容': '酒店硬件很棒，服务更超赞，入住知道我们带小孩，所有有棱角的地方做了防撞处理！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '硬件设施不错，商业和美食配套也OK，整体不错', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '酒店硬件还不错，就是有时候服务有些跟不上，可能是生意太好了', '短评打分': 5}
{'短评内容': '非常好的海景套房，房间大风景美各种设施全', '短评打分': 5}
{'短评内容': '确实是好地方！除了贵什么都好！', '短评打分': 5}
{'短评内容': '第一次入住美高梅酒店，对各方面都相当的满意，特别是迷人的沙滩让我流连忘返', '短评打分': 5}
{'短评内容': '很不错，度假的最佳酒店推荐，离海边非常近，一直选择……', '短评打分': 5}
