{'短评内容': '早餐不错很丰盛，房间很一般，个人觉得性价比不高！', '短评打分': 3}
{'短评内容': '酒店不错，酒店外没什么玩', '短评打分': 5}
{'短评内容': '一般般，一楼空调效果不好', '短评打分': 5}
{'短评内容': '離高鐵站很近', '短评打分': 4}
{'短评内容': '非常好！！！', '短评打分': 5}
{'短评内容': '好好好好好好好好好好', '短评打分': 5}
{'短评内容': '早餐一般', '短评打分': 5}
{'短评内容': '东西很不错，感觉很满意。', '短评打分': 5}
{'短评内容': '很一般，蚊子还多！', '短评打分': 5}
{'短评内容': '酒店不错，干净卫生，比较安静，早餐的面条做的好吃', '短评打分': 5}
{'短评内容': '经济实惠，性价比高!', '短评打分': 5}
{'短评内容': '酒店服务还不错，各个方面都能过得去', '短评打分': 5}
{'短评内容': '各方面都不错，就是周边什么都没有，出来吃饭不方便，其他还好。各方面都不错，就是周边什么都没有，出来吃饭不方便，其他还好。', '短评打分': 5}
{'短评内容': '各方面都不错，就是周边什么都没有，出来吃饭不方便，其他还好。各方面都不错，就是周边什么都没有，出来吃饭不方便，其他还好。', '短评打分': 5}
{'短评内容': '公司开会过去的，不好不好很不好啊', '短评打分': 3}
{'短评内容': '高铁首选，房间挺大，不错不错', '短评打分': 5}
{'短评内容': '携程上订的房子，携程确定了，结果酒店满房，携程没更新系统，交涉了好久才搞定。宾馆还行，房间设施很新，隔音效果很好。早餐种类齐全。', '短评打分': 5}
{'短评内容': '酒店靠近高铁站附近，如果选择高铁出行的话非常方便，环境挺好', '短评打分': 4}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '朋友感觉还行吧！有机会自己去下_', '短评打分': 4}
{'短评内容': '前台三个人还忙的团团转，退个房要十分钟，业务太不熟练了', '短评打分': 4}
{'短评内容': '环境很好南站旁边价格合理', '短评打分': 5}
{'短评内容': '不错，离火车站', '短评打分': 4}
