{'短评内容': '卫生不好，酒店很小，就两层楼，进到房间有霉味', '短评打分': 3}
{'短评内容': '宾馆免费停车场很方便，交通便利，前台服务热情，卫生条件一般，设施略显陈旧，入住两晚，次日没有人整理房间', '短评打分': 5}
{'短评内容': '免费停车场很方便，交通便利，卫生条件一般，设施略显陈旧，入住两晚，次日居然没有人整理房间', '短评打分': 5}
{'短评内容': '确实不错，特别是2米20的大床，超大，家庭用很合算，有双胞胎孩子的家庭也没有问题', '短评打分': 5}
{'短评内容': '门脸不大，房间很大，本来安排了一楼，味道有些重，调到二楼就好多了，通风不错，卫生间有四个平方，热水很大（不过朋友家住对面房间水就没有我们这间好）。服务台小妹很热情，停车方便，两百多块钱性价比算高的了！斜对面有一家煎饼卷大葱，里面的饭菜不错，好吃实惠，也有包间。', '短评打分': 5}
{'短评内容': '在市南区这个是比较便宜的了，但是一分钱一分货。\n\n我住了三天 两天没热水洗澡，我要求换房。谁知宾馆的女经理很不好说话。不肯换房给我，她还说是我自己的问题。\n\n第二天晚上我和男老板说了下，男老板也看热水器，确实是热水器坏了。爽快给我换了一间房。', '短评打分': 1}
{'短评内容': '酒店房间还可以。', '短评打分': 3}
{'短评内容': '酒店还是不错的哦， 下次还会来，旅游旺季，哪里都贵，所以这个价钱真的很OK.', '短评打分': 5}
{'短评内容': '有些吵闹，离公路不足三米~宾馆有超市很方便。', '短评打分': 5}
{'短评内容': '标间比大床好，大床屋子好小。都没地方放椅子。。。。', '短评打分': 5}
{'短评内容': '酒店位置还不错，但是交通不算方便，离台东夜市三站地，在这里买点海鲜找大排档加工很不错。房间干净整洁，但是发潮比较严重，墙壁有霉渍，据老板说这地方普通人家墙也这样……，床铺浴巾都还好，洗漱用品一般。旅游城市旺季，这酒店虽然没有惊喜也算对得起价格。', '短评打分': 5}
{'短评内容': '房间挺干净的，床也很大，关键是服务态度挺好的。', '短评打分': 3}
{'短评内容': '交通便利，出门就有车站＂芝泉路＂，到哪儿都方便，房间也很大，挺好的。', '短评打分': 3}
{'短评内容': '十酒店的位置不错,这个价位住的比想象的要好,只是哪里也不如自己的家,美中不足的是靠马路,所以车特别多,感觉有点闹', '短评打分': 3}
{'短评内容': '  还可以，服务态度比较好', '短评打分': 3}
{'短评内容': '＋房间出乎意料，起码床大。好在可以免费上网停车有热水，不好是停车的负责人太轴。我们住楼道把口，挨街，也不算吵。可以，对得起青岛的价。', '短评打分': 3}
{'短评内容': '已经入住，感觉还不错，比之前住的那个绝对好 一万倍', '短评打分': 3}
{'短评内容': '位置很好，旁边就是湛山寺，离海边也很近，出门就是车站104路可以到崂山，还有好几路可以去栈桥那边玩。附近也有很多小吃饭店和便利店，吃饭买东西方便。只是酒店本身条件差了些，有些陈旧。也许是青岛太潮湿了，屋里霉味很大，一直开着空调透气。如果为了游玩小住，还是可以的，毕竟位置方便。', '短评打分': 5}
{'短评内容': '房间还算是干净，水杯和地面就算了！', '短评打分': 3}
{'短评内容': '房间大小适中，唯一不足的是地毯跟墙纸有点发霉了的样子，房间有怪味。店家老板服务态度蛮好的，前台MM也不错。', '短评打分': 3}
{'短评内容': '我们预订的是三人间，房间比较大，设施什么的也比较完善，卫生以及相关人员服务也较好，交通比较方便，如果在五四广场一带游玩的话，入住还是比较好的，性价比高', '短评打分': 5}
{'短评内容': '房间有些小，可能是地毯原因，屋里有霉味儿，枕头不象新换的，有些黑。', '短评打分': 3}
{'短评内容': '厂房改建的，环境可以、交通也还行、附近吃饭的地方也挺多的。2层，1层还有个小超市。', '短评打分': 5}
{'短评内容': '订了单人间，房间太小，窗子还不能打开，抽烟得上厨所。不是一次性拖鞋，都不敢穿。最不能忍受的是隔音太差，隔壁夜里居然打呼噜!', '短评打分': 3}
{'短评内容': '服务态度很好，只是房间窗户不能打开，通风不是很好，只能开空调换气。总的来说还是比较满意的。', '短评打分': 5}
{'短评内容': '这个价格这个服务，还行吧。就是入住时候太麻烦。\n大床房间的床确实很大。基本上占满了整个房间。另外拖鞋不是一次性的。比较纠结这点~', '短评打分': 1}
{'短评内容': '在青岛能找到这样的房子很不错，性价比高，干净，洗澡时水温很合适，离沙滩浴场很近，机场大巴也近，没事可以去五四广场玩一下，两站地。', '短评打分': 5}
{'短评内容': '地毯房间，霉味太浓。宾馆推荐旅游价格高了，而且线路不符合要求。不过服务还过得去。', '短评打分': 1}
{'短评内容': '觉得还挺干净的，服务态度也挺好的，就是价格还是贵的，不过这个季节的旺季也是正常的', '短评打分': 5}
{'短评内容': '床很大，但是设备很古老。整个房间就是一张大床，干净到是挺干净!', '短评打分': 5}
{'短评内容': '宾馆位置不错，装修的也还可以，160元的价格还是较划算的。', '短评打分': 5}
{'短评内容': '第一，宾馆的地理位置不错，离火车站，以及五四广场等景点都比较近。第二，宾馆刚刚新装修过，住着比较舒适。', '短评打分': 5}
{'短评内容': '设施不是很好，但对于150块的价格还是可以的，去美食街还算方便', '短评打分': 3}
{'短评内容': '挺干净的，服务态度好，交通方便，离火车站，栈桥，台东都很近，也有直接到极地海洋世界的车', '短评打分': 5}
{'短评内容': '交通很方便，出门就有公交车站。店内环境很不错，服务人员态度很好。房间住着也还行，就是隔音不太好，而且有些房间是靠着马路的，会比较吵。', '短评打分': 5}
{'短评内容': '宾馆挺好的，挺干净', '短评打分': 3}
{'短评内容': '环境好，靠近海边，距离栈桥和轮渡，火车站都很近', '短评打分': 5}
