{'短评内容': '还可以吧。比较安全，没有骚扰电话。', '短评打分': 4}
{'短评内容': '房间太旧太烂了，墙纸都掉下来好多，房间灯光不够，黑得很，只是方便', '短评打分': 3}
{'短评内容': '每一次出差到绵阳，基本上住的都是这个酒店，房间足够够大，不会太压抑，环境卫生也不是很差，主要是价位在这里了！', '短评打分': 5}
{'短评内容': '适合差旅人员居住。', '短评打分': 5}
{'短评内容': '必须要交押金  不交不让住   服务还很差  我到现在还没住上  各种理由  总之烂', '短评打分': 1}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '房间大，卫生好，被子干净。', '短评打分': 3}
{'短评内容': '一般了，位置还行！！！！！！！', '短评打分': 3}
{'短评内容': '还不错,交通方便,环境还可以,卫生还不错!!', '短评打分': 5}
{'短评内容': '环境一般，隔音效果不好！…！车位太少！开车的朋友不建议前往！…', '短评打分': 5}
{'短评内容': '环境还可以！就是住宿条件不是很好！…有待提高…停车位有点不足！', '短评打分': 3}
{'短评内容': '被子质量不太好，有点割人，硬。没有吹风机。房间隔音很差。水壶很脏，垢很多。地毯不是很干净。', '短评打分': 1}
{'短评内容': '设施比较旧，房间很小，热水很不给力，性价比不高', '短评打分': 1}
{'短评内容': '反正是这个价格，比较便宜，但地上地毯都很旧了，酒店的装修都比较陈旧', '短评打分': 5}
{'短评内容': '离沃尔玛还是比较近，还是比较方便。总体还是可以', '短评打分': 3}
{'短评内容': '比起公寓式酒店房间是小很多啊！不过一个人住，也尚可，位置很好，处地繁华。', '短评打分': 5}
{'短评内容': '确实设施太旧了，连水单都提供不了，整个酒店连一个吹风也没有。以后不会住了。\n确实设施太旧了，连水单都提供不了，整个酒店连一个吹风也没有。以后不会住了\n确实设施太旧了，连水单都提供不了，整个酒店连一个吹风也没有。以后不会住了\n确实设施太旧了，连水单都提供不了，整个酒店连一个吹风也没有。以后不会住了\n确实设施太旧了，连水单都提供不了，整个酒店连一个吹风也没有。以后不会住了', '短评打分': 1}
{'短评内容': '酒店环境一般，没电吹风，特别是那热水叫一个纠结。电视是网络机顶盒每次到8频道就死机。本来是预定7天酒店，结果临时变更。', '短评打分': 3}
{'短评内容': '适合一般旅行，如果是到绵阳来度假旅行的，不推荐这家。吃饭不方便，服务态度一般，房间内电话不能使用，还得自己摸电话出来联系总台，很是郁闷!!!', '短评打分': 5}
{'短评内容': '性价比不错，第一晚还不错，续订的第二晚比第一晚大折扣，服务态度一般，环境一般，，隔音效果差，希望店家能够改进......', '短评打分': 5}
{'短评内容': '感觉离公共汽车站远了点。。。。。。。。。', '短评打分': 5}
{'短评内容': '就是小了点，而且写了单人间要大些，结果感觉和双人的一样大。。。。', '短评打分': 5}
{'短评内容': '干净舒适，不错不错。就是房间有点小，购物不是很方便，不提供早餐', '短评打分': 5}
{'短评内容': '酒店还不错拉  就是那个隔音效果不是太好\n', '短评打分': 5}
