{'短评内容': '酒店不错，早餐太差', '短评打分': 5}
{'短评内容': '总结一下，整体可以～', '短评打分': 5}
{'短评内容': '前台小妹态度不好，解释所有问题都不耐烦，不像革命老区人的朴实，吃饭很不方便，离热闹区远。', '短评打分': 3}
{'短评内容': '在景区这样的价格算是还不错的', '短评打分': 5}
{'短评内容': '垃圾酒店！居然都只能到店付！明明付了钱还要再付 ！祝你们早早倒闭！', '短评打分': 1}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '房间差，空调坏，服务态度不好！太丢井冈山这么好地方的脸了……给1分井冈山这个好地方。', '短评打分': 1}
{'短评内容': '房间还是很大，地毯和墙面有部分长霉，之前来过几次，有心理准备，知道山区潮湿，大部分酒店都这样，还是不错', '短评打分': 4}
{'短评内容': '房间还是比较大，可能山区潮湿，所以地毯和墙面部分长霉了！之前来过几次了，这次自己开车带父母过来的，井冈山酒店都这样吧！还是不错，离景区近', '短评打分': 4}
{'短评内容': '值得推荐的一家酒店，性价比高，距离游客服务中心很近，我们来回都是步行。酒店有自己的餐厅，但价格小贵，超市的货品太少。服务员的态度很好。周边的餐饮基本没有，距离翠屏镇有点远，如果想去镇上吃饭不太方便。酒店设施说的过去，房间隔音不好。', '短评打分': 4}
{'短评内容': '酒店不错，就是房间里连备用被子都没有，电话线都是断的，热水器居然是烧电的，要间隔三十分钟才能用。不过幸好天气暖和，没什么影响。', '短评打分': 4}
{'短评内容': '条件一般，不过毕竟地处井岗山，外围环境尚可。', '短评打分': 3}
{'短评内容': '是帮朋友订的，应该还不错吧..', '短评打分': 5}
{'短评内容': '比较偏僻,早餐比较差', '短评打分': 3}
{'短评内容': '交通方便，离天街比较远，吃饭购物不是太方便。', '短评打分': 4}
{'短评内容': '一般！晚上卡拉OK实在太吵！', '短评打分': 3}
