{'短评内容': '还是不错的，只是房间和床都有点小', '短评打分': 4}
{'短评内容': '不错的酒店，满意', '短评打分': 4}
{'短评内容': '配套设施完整、舒适环境美，服务好！', '短评打分': 5}
{'短评内容': '干净卫生、舒适环境美，服务好！', '短评打分': 5}
{'短评内容': '一直都住丁香花园酒店，出行方便，风景好。', '短评打分': 5}
{'短评内容': '一直都住丁香花园酒店，出行方便，风景好。', '短评打分': 5}
{'短评内容': '我一人订了两间房，因为是与男友还有父母一同出游。父母也觉得这酒店不错，但他们觉得价钱偏贵，服务倒是挺满意的，工作人员礼貌。', '短评打分': 5}
{'短评内容': '酒店在江边，晚上可以沿江散步吹海风，夜景挺不错。酒店也在市中心，出行方便，来清远市区玩住这不错！酒店工作人员的服务态度挺不错，但是酒店内餐厅的味道就一般。', '短评打分': 5}
{'短评内容': '很一般', '短评打分': 3}
{'短评内容': '性价比很一般的酒店', '短评打分': 4}
{'短评内容': '还不错哦', '短评打分': 4}
{'短评内容': '环境优美，安静无噪音，江边风景如画，好好好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '环境很好，非常高雅舒服舒服，餐厅饮茶出品不错。但是酒店布局有点绕，老人家走得有点吃力。', '短评打分': 5}
{'短评内容': '环境很好，非常高雅舒服舒服，餐厅饮茶出品不错。但是酒店布局有点绕，老人家走得有点吃力。', '短评打分': 5}
{'短评内容': '挺好的。', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '很好', '短评打分': 4}
{'短评内容': '环境很好，清静。虽然离市区偏一点，值得再住！', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 3}
{'短评内容': '  酒店临江边    环境良好    餐饮配套也方便', '短评打分': 3}
{'短评内容': '环境很好，空气很清新，花园设计很漂亮，还有个很大的游泳池，配套设施也很齐全，很适合休闲度假。', '短评打分': 5}
{'短评内容': '欧式的设计风格，看起来很漂亮，设施方面很完善，卫生做得很到位，住的还是很舒适的。', '短评打分': 5}
{'短评内容': '酒店的绿化做得很好，所以这的空气也很好，服务人员态度很热情，办事很周到，感觉挺不错。', '短评打分': 5}
{'短评内容': '酒店位于北江边上，有的房间还能看看江景，房间里倒是很干净，采光也很好，住挺舒适的。', '短评打分': 5}
{'短评内容': '大堂不是很大，服务人员态度很好，房间很大，隔音也很好，卫生打扫也很干净，感觉还不错。', '短评打分': 5}
{'短评内容': '花园形式的酒店，设计的很漂亮，房间很干净很舒适，价格也不贵，值得推荐。', '短评打分': 5}
{'短评内容': '环境很幽静，也很安静，这的小点心很好吃，服务也很周到，很适合休闲度假。', '短评打分': 5}
{'短评内容': '房间空间很大，每天都有人及时打扫，设施很完善，感觉很舒适。', '短评打分': 5}
{'短评内容': '房间很干净，床很舒适，隔音很好，在这睡眠质量很好。', '短评打分': 5}
{'短评内容': '酒店的卫生方面做得相当不错，房间可以说是一尘不染，从床上用品到卫生间都很干净。', '短评打分': 5}
