{'短评内容': '床不大，装修陈旧', '短评打分': 3}
{'短评内容': '房间内设施有些旧 但是这个价也很值了 周围有些偏僻 隔壁有家贡茶 每天都有阿姨来打扫 换垃圾什么的 叫滴滴也挺方便的 电梯不到我们的楼层 需要走楼梯一层', '短评打分': 4}
{'短评内容': '房间还行，便宜实惠', '短评打分': 5}
{'短评内容': '环境不错,面积挺大,设施虽然有些旧了,但洗手间还算整洁,性价比不错。服务挺好,帮忙把行李送到房间，一路还有简单介绍。 ', '短评打分': 5}
{'短评内容': '服务态度还可以', '短评打分': 4}
{'短评内容': '不理想', '短评打分': 2}
{'短评内容': '还好吧', '短评打分': 5}
{'短评内容': '啦咯啦咯啦咯啦咯啦咯考虑咯', '短评打分': 3}
{'短评内容': '上次入住网络好差，过了3个月再次入住还没有改善。', '短评打分': 3}
{'短评内容': '还算干净，但是要每天提醒打扫卫生', '短评打分': 3}
{'短评内容': '垃圾房间，估计是没人住的', '短评打分': 3}
{'短评内容': '不错，环境可以，服务员态度好。', '短评打分': 3}
{'短评内容': '环境太差', '短评打分': 2}
{'短评内容': '环境还不错的', '短评打分': 1}
{'短评内容': '可以了！！', '短评打分': 5}
{'短评内容': '总体不错 挺舒服的', '短评打分': 3}
{'短评内容': '总体不错', '短评打分': 3}
