{'短评内容': '交通便利方便', '短评打分': 5}
{'短评内容': '地点非常好，离我要去的地方很近……', '短评打分': 5}
{'短评内容': '距离景点很近 服务也很周到 喜欢这家店 位置也很好找 附近就是故宫和大帅府 也有地铁口 离商场也很近', '短评打分': 5}
{'短评内容': '很好。真的很好。推荐大家定选  卫生环境真的很棒。房间免费升级。服务员态度✌️很好。 总之真的很赞。', '短评打分': 5}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '好东西当然值得推荐哦', '短评打分': 5}
{'短评内容': '好东西当然要分享的哦', '短评打分': 5}
{'短评内容': '位置很好 离故宫很近 由于预定的早 房价很便宜 房间没有想象中的干净 可能是装修时间早的缘故吧 热水淋浴很棒 总体来说还不错～ ', '短评打分': 5}
{'短评内容': '不错，干净方便，离故宫很近', '短评打分': 5}
{'短评内容': '不错！环境挺好的！位置也不错！去哪都方便！', '短评打分': 5}
{'短评内容': '帮没有定的两间房，性价比高', '短评打分': 5}
{'短评内容': '帮同学订的，很划算', '短评打分': 5}
{'短评内容': '위치좋고 선양고궁도 보이고 가격도 싸서 저는 좋았습니다. 단지 시설이 좀 낡아서 창문이 잘 안열리고 샤워기 물도 새고 합니다. 가성비는 매우 좋은 곳입니다.', '短评打分': 4}
{'短评内容': '挺好，离故宫很近，………………', '短评打分': 5}
{'短评内容': '去了说没订上，看了消息很不情愿给了房，现在这些酒店真恶心！', '短评打分': 1}
{'短评内容': '房间特别冷，半夜入住的，没有热水了，都没洗上澡，房间电吹风也是坏的', '短评打分': 4}
{'短评内容': '能不能把你们房间水龙头修修 别的都还好', '短评打分': 4}
{'短评内容': '＋价格不贵，交通方便，周围吃的东西很多，房间很舒服，就是不能无线上网，有点小遗憾', '短评打分': 3}
{'短评内容': '环境不错，正好又在闹市区附近。只是有点吵。', '短评打分': 3}
{'短评内容': '地理位置很好的酒店，交通到哪里都很方便，而且也很好找的到。', '短评打分': 5}
{'短评内容': '地理位置好，房间也算整洁舒适。\n美中不足是正阳街正在修路，交通有点拥堵。', '短评打分': 5}
{'短评内容': '如家一贯的风格，不错！\n\n位置很好，出门就是故宫。\n\n入住的人很多，房间挺紧张！\n\n早点差了点，吃了个鸡蛋是臭的。', '短评打分': 5}
{'短评内容': '1.地理位置好，可步行去张氏帅府、故宫、刘老根大剧院、中街\n2.服务和设施延续如家一贯风格', '短评打分': 5}
{'短评内容': '里面东西都很旧了 房间也很小 窗户外面就是一堵墙 只是地理位置好罢了\n', '短评打分': 1}
{'短评内容': '，干净安静，装修蛮新的，服务态度也不错', '短评打分': 3}
{'短评内容': '酒店开的早能看出来设施有年头感，但空间很大，价格便宜，离张氏帅府近，对面就是故宫，步行至中街大悦城要十几分钟吧。热水很好。', '短评打分': 5}
{'短评内容': '好 推荐 地理位置好 也很干净 离故宫和中街步行街非常近', '短评打分': 5}
{'短评内容': '不错，位置很好，离故宫、大帅府、中街很近，距离怀远门地铁站步行约10分钟；服务不错；', '短评打分': 5}
{'短评内容': '距离景区和商业中心中街很近，附近交通方便，非常适合旅游居住。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '设施陈旧，毛巾一看就很久没换过了。其它的还算可以吧，', '短评打分': 5}
{'短评内容': '入住感觉干净和方便。', '短评打分': 3}
{'短评内容': '酒店位置非常好，出门就是沈阳故宫，走几分钟就到刘老根大舞台，中街，服务态度也很好，房间干净，虽然小了点，但是挺温馨的，下次来沈阳还住这！', '短评打分': 5}
{'短评内容': '\n酒店位置佳,交通十分方便，卫生还行，服务尚可。但花洒漏水。', '短评打分': 3}
{'短评内容': '酒店卫生 方便 服务好 非常满意 下次还去', '短评打分': 3}
{'短评内容': '离沈阳故宫、大帅府、中街这些景点都很近，可步行到达，出入方便。不过酒店不是很通风，房间里有烟味，每次进去都要开窗通风很久', '短评打分': 5}
