{'短评内容': '性价比超高', '短评打分': 5}
{'短评内容': '酒店位于北京市昌平区东小口镇境内，高、大、上。', '短评打分': 5}
{'短评内容': '今天晚上我们自己选择的是什么意思呢？', '短评打分': 5}
{'短评内容': '服务特别到位', '短评打分': 5}
{'短评内容': '服务特别到位', '短评打分': 5}
{'短评内容': '酒店位置偏，周边没有配套设施，超市9点就关门了。整个楼层感觉就住一两个客人，温泉也没开，游泳套票只能玩一次，蚊子超级多，下一趟楼身上咬了十多个大包', '短评打分': 1}
{'短评内容': '非常好的地方,强烈推荐.', '短评打分': 5}
{'短评内容': '非常好的地方, 强烈推荐.', '短评打分': 5}
{'短评内容': '环境挺好，就周边配套服务少', '短评打分': 5}
{'短评内容': '整体环境还可以 就是周围比较便宜 下回还会考虑选择此家酒店', '短评打分': 5}
{'短评内容': '特棒', '短评打分': 5}
{'短评内容': '真的很不错', '短评打分': 1}
{'短评内容': '真的很不错', '短评打分': 1}
{'短评内容': '非常非常差。晚上1点多从机场用GPS导航好不容易出租司机才找到地方，所在小区大门保安居然不让进，非要在里面的酒店确认。可是无论是客人还是携程客服打酒店电话，都无人接听。最后惊扰110才让进门。早饭居然是要到8点半才有。这样如黑店一样的地方居然携程还把它挂上去，难道不过去审核吗？', '短评打分': 2}
{'短评内容': '环境好 可酒店的餐厅很差', '短评打分': 3}
{'短评内容': '房间冷', '短评打分': 3}
{'短评内容': '一切都很陈旧，房间竟然是钥匙开门的，进门后防盗门栓也是坏的，最可气的是屋子的窗帘上都是臭大姐，捏死了2只，房间非常干燥，一晚上差点干的嗓子感冒了…… 还不如快捷酒店，，要不是订不到别的酒店才不会住！！这次是最差一次酒店体验', '短评打分': 1}
{'短评内容': '性价比高，服务周到，贴心', '短评打分': 5}
{'短评内容': '酒店的整体环境很好。远离闹市，在一片宁静中享受这难得的假期。房间是欧式的，很舒服。美中不足的是房间没有冰箱，房间中没有娱乐项目的报价表。', '短评打分': 3}
{'短评内容': '环境怡人，酒店内部的SPA非常的专业非常值得体验一下。餐厅很不错饭菜做得相当的好丰俭由人。不足的地方是住宿的服务不是很好，打扫房间不及时，退房时间只能延迟到12点半很不方便。水疗中心的设施一般不如专业的温泉中心好带孩子没什么玩的比较遗憾。周五入住，周日离店总计花费4000多元。', '短评打分': 5}
{'短评内容': '环境优雅，设施齐全，房间也好。', '短评打分': 3}
{'短评内容': '酒店周围环境不错，挺幽静的，入住的情侣套间也够大，设施还行，就是卧室的窗户有点小，还有浴室的淋浴间的下水不太好，虽然工人来修过，当时修好了，可是第二天又出了问题，建议酒店好好检查一下。', '短评打分': 5}
{'短评内容': '服务很好，虽然入住时有点拖延，但是解决的态度很好。我们定的是情侣套间。', '短评打分': 3}
