{'短评内容': '经常喜欢这里住觉得性价比不错', '短评打分': 5}
{'短评内容': '有点旧', '短评打分': 4}
{'短评内容': '房间不错，5-6楼的房间没了，免费给调到了7楼单间。', '短评打分': 5}
{'短评内容': '房间有点小 卫生间尤其小，装修较陈旧，体还是满意的。', '短评打分': 5}
{'短评内容': '很实惠，就是隔音效果不太好，能听到楼道上人说话的声音，餐厅吃饭价格不算贵，味道中上吧。总体说好算不错', '短评打分': 5}
{'短评内容': '房间不隔音，设备陈旧。', '短评打分': 4}
{'短评内容': '性价比比较高，喜欢这里', '短评打分': 5}
{'短评内容': '好好看看，', '短评打分': 5}
{'短评内容': '性价比高，早餐这个价格的酒店，算不错的了，服务也可以', '短评打分': 5}
{'短评内容': '酒店非常好，服务很好，晚上睡觉前还有纯奶奶送，就是电视强烈要求换，电视台太少质量还差', '短评打分': 5}
{'短评内容': '服务态度很好，房间也很干净', '短评打分': 5}
{'短评内容': '很好，很舒服', '短评打分': 5}
{'短评内容': '酒店很不错。房间干净 舒服，无异味。住着很舒服。工作人员服务意识很强。特别是晚上九点过 由于工作原因急需要用电脑，致电给前台，很快就帮我搞定，所以在这里要特别感谢前台的美女，感谢！此次住宿的感受让我非常满意！', '短评打分': 5}
{'短评内容': '好好好好好好好好好玩好好好玩', '短评打分': 5}
{'短评内容': '很舒适   也很华丽', '短评打分': 5}
{'短评内容': '挺好&hellip;&hellip;100分', '短评打分': 5}
{'短评内容': '不错不错不错', '短评打分': 5}
{'短评内容': '值得推荐！', '短评打分': 5}
{'短评内容': '值得推荐！', '短评打分': 5}
{'短评内容': '不错 前台服务也比较热情，房间也比较干净，唯一不好的是电脑鼠标垫子比较破旧了该换的了。其他就没有什么了。', '短评打分': 5}
{'短评内容': '房间比较小！', '短评打分': 4}
{'短评内容': '很不错，服务很好', '短评打分': 5}
{'短评内容': '整体还是不错的！停车也方便', '短评打分': 4}
{'短评内容': '到南充一直住天龙，很不错', '短评打分': 5}
{'短评内容': '老酒店房间很小，卫生还行，交通方便，价格略高.', '短评打分': 4}
{'短评内容': '可以', '短评打分': 4}
{'短评内容': '一般', '短评打分': 4}
