{'短评内容': '以前住很好，现在都旧了，而且装修材料不怎么好。感觉很不好', '短评打分': 5}
{'短评内容': '服务态度好，周边靠近告高速，噪音也还可以。酒店卫生可以。', '短评打分': 5}
{'短评内容': '别的携程都告知没有房间，导致有时候很不方便，有时候还是觉得携程不是那么方便', '短评打分': 5}
{'短评内容': '太旧了，烟味太大', '短评打分': 3}
{'短评内容': '差', '短评打分': 1}
{'短评内容': '不好不好不好', '短评打分': 3}
{'短评内容': '电视没有数字电视，总共加起来10个台也没有。网络说是在修，不能使用。和宣传图片出入也比较大。携程也有这样的客房，失望！', '短评打分': 3}
{'短评内容': '卫生还行，就是太吵了', '短评打分': 4}
{'短评内容': '房间霉味很大。空调还是坏的。', '短评打分': 3}
{'短评内容': '酒店太旧了，毛巾破破烂烂，被单什么都很旧，啥都旧，不推荐住，还是快捷酒店好', '短评打分': 4}
{'短评内容': '很差的', '短评打分': 3}
{'短评内容': '宾馆只能说性价比划算，收银的服务大姐服务态度特别好！', '短评打分': 4}
