{'短评内容': '服务贴心。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '前台服务周到房间空间还是很大的 卫生间也很干净周边吃喝玩乐的地方很多作为出差来说还是比较适合的…', '短评打分': 5}
{'短评内容': '很不错哦', '短评打分': 5}
{'短评内容': '第二次住了，感觉特别棒。无论是从风格上还是从硬件设施和软件服务上我都觉得非常好……重点是位置也挺好找，在哪个城市都可以入住', '短评打分': 5}
{'短评内容': '得到的儿童套房大是大非反方向大幅度的风吹草动地方', '短评打分': 5}
{'短评内容': '维也纳国际酒店是全国有名的酒店，不愧配得上这个称号，酒店干净卫生，舒适整洁；给人带来一种心情舒畅的感觉！', '短评打分': 5}
{'短评内容': '一般，不值这个价', '短评打分': 3}
{'短评内容': '的二人大是大非天热的跟一个非常成功', '短评打分': 5}
{'短评内容': '的纷纷扰扰发疯疯癫癫付广告费吃吃吃', '短评打分': 5}
{'短评内容': '好，挺实惠，干净整洁，下次还来', '短评打分': 5}
{'短评内容': '一个字&quot;好&quot;，促销价入住的，超值。', '短评打分': 5}
{'短评内容': '维也纳洒店果然好!设施齐全，还是促销价入住的，超值的。', '短评打分': 5}
{'短评内容': '非常舒适，房型够给力，前台办理业务非常熟练，态度非常亲民，还会入住的。给力，点赞。。。', '短评打分': 5}
{'短评内容': '卫生状况极差，设施陈旧，服务态度不好。特别是早餐服务员，态度堪称恶劣', '短评打分': 2}
{'短评内容': '酒店房间干净环境很好，服务态度很好。下次过来再住', '短评打分': 5}
{'短评内容': '一直都住维也纳酒店，干净卫生、服务好', '短评打分': 5}
{'短评内容': '性价比非常高', '短评打分': 5}
{'短评内容': '服务员跟上', '短评打分': 3}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '还不错。', '短评打分': 5}
{'短评内容': '朋友说酒店比较干净，服务员的服务比较好，可以选择下次再去。', '短评打分': 5}
{'短评内容': '酒店不错，价格公道 …………', '短评打分': 5}
{'短评内容': '位置方便，房间舒适，热水很大，隔音稍欠缺！', '短评打分': 5}
{'短评内容': '各方面条件设施都挺好的', '短评打分': 3}
{'短评内容': '一样的酒店，不一样的价格，早就该在京东预定了', '短评打分': 5}
{'短评内容': '酒店位置好 空调舒适 装修挺新的 早餐一般般', '短评打分': 5}
{'短评内容': '酒店位置不错 房间也不错 挺温馨的 就是早餐太差了', '短评打分': 5}
{'短评内容': '位置好，在老城区，逛街方便，就是房间小了一些。', '短评打分': 5}
{'短评内容': '很好，每次都来住，性价比不错，停车方便，吃饭也方便', '短评打分': 5}
{'短评内容': '装修不错，在当地算是性价比很好的一间酒店，值得推荐', '短评打分': 5}
{'短评内容': '挺干净的，性价比还可以。交通还算方便，如果能送早餐就更好。', '短评打分': 5}
{'短评内容': '酒店装修比较新，周围生活比较便利，性价比还是不错的', '短评打分': 5}
{'短评内容': '很好，位置不错，早餐也具性价比。房间很舒服。', '短评打分': 5}
{'短评内容': '酒店很不错啊，性价比很高，吃饭出行都很方便，不错', '短评打分': 5}
{'短评内容': '酒店还算干净，就是早餐与38这个价格太不相符了。不过周围吃饭还算方便', '短评打分': 5}
{'短评内容': '酒店视野很好，周围的世家云吞很好吃。煲仔饭也不错', '短评打分': 5}
{'短评内容': '干净，舒适，性价比高，四星级的待遇二星级的价格。', '短评打分': 5}
{'短评内容': '房间还算干净，周边交通方便，临近寮步美食一条街，吃饭很方便', '短评打分': 5}
