{'短评内容': '还可以，细节卫生做得不是很到位。', '短评打分': 5}
{'短评内容': '很一般设施陈旧不值得', '短评打分': 4}
{'短评内容': '很不错的，服务号', '短评打分': 5}
{'短评内容': '公司附近，接待客人所需', '短评打分': 4}
{'短评内容': '房间太小了，床太不舒服，一翻身床就咯吱咯吱的响，隔音效果太差。隔壁人说话都能听到。总体来说不值得这个价格。', '短评打分': 2}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '房间不错，交通位置也很便利。代朋友订的房间，出了个小插曲，确认6号凌晨一点左右入住，就5号晚11点半订的6号入住，七号离店，到了酒店前台却说要凌晨六点以后才能办入住，一番协调折腾，才算处理好。给代理商提个建议，这种情况应该写明该怎么办理。', '短评打分': 5}
{'短评内容': '酒店干净，服务态度很好', '短评打分': 5}
{'短评内容': '一般性价比不好，房间比较旧', '短评打分': 4}
{'短评内容': '性价比低，隔音效果不好，设施老化', '短评打分': 2}
{'短评内容': '高大上', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '房号8588，抽水马桶是坏的，淋浴间玻璃门没有了，好在没有邻街，安静一些。地理位置不错，也算性价比还好！', '短评打分': 4}
{'短评内容': '帮公司出差的同事订的，感觉房间还不错', '短评打分': 3}
{'短评内容': '房间比较老，非常一般。', '短评打分': 4}
{'短评内容': '太瞥了！', '短评打分': 2}
{'短评内容': '就是宽带不给力，速度太慢了', '短评打分': 5}
{'短评内容': '很好，没什么问题', '短评打分': 5}
{'短评内容': '在火车南站附近，很干净，乘车也方便，总体来说可以', '短评打分': 5}
{'短评内容': '酒店比较新,环境不错的! \n缺点是 打扫房间的时间比较晚,11点过了都还没有打扫...其他的都比较好!', '短评打分': 5}
{'短评内容': ' 酒店环境不错，服务很好，赞一个', '短评打分': 3}
{'短评内容': '离公司近，客户选择这家酒店，地理煨诃子好，环境也好。', '短评打分': 5}
{'短评内容': '硬件还可以，但不是中央空调,早餐不怎么样。', '短评打分': 5}
{'短评内容': '新酒店，虽然在高新区，但并不偏僻。交通也很方便。早餐不错，赞！', '短评打分': 5}
{'短评内容': '房间里不是中央空调，空调不是很给力，房间偏小，卫生条件还可以。', '短评打分': 1}
