{'短评内容': '酒店位置还可以，交通便利，房间住宿环境也还不错，设施稍微旧了一点。', '短评打分': 4}
{'短评内容': '洒家还算行吧！', '短评打分': 4}
{'短评内容': '交通方便', '短评打分': 4}
{'短评内容': '还可以，离东站近，隔音有点差', '短评打分': 5}
{'短评内容': '交通便利，地铁口', '短评打分': 4}
{'短评内容': '不行，定了既然没房间，看来下回不能在这里定了', '短评打分': 5}
{'短评内容': '一般般，酒店房间设计不好，大是蛮大的。', '短评打分': 5}
{'短评内容': '还是非常人性化服务，温馨又大气!', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '到酒店时已经凌晨了，早早休息了，第二天叫客房服务熨烫衣服，酒店居然熨斗都没有，这确实应该改进的，其他设施都还好，总体来说还算满意', '短评打分': 5}
{'短评内容': '不错，还是比较满意的.', '短评打分': 4}
{'短评内容': '还不错，就是比较陈旧，枕头超级舒服，很安静，下次来还好选这家店', '短评打分': 4}
{'短评内容': '不错的酒店', '短评打分': 5}
{'短评内容': '环境很好。交通也很便利。下次来还会选择这家酒店入住！', '短评打分': 5}
{'短评内容': '不了解情况，只能凑合', '短评打分': 3}
{'短评内容': '酒店很好，值得入住，性价比高。', '短评打分': 5}
{'短评内容': '帮同事订的，地理位置是很好的，高速下来很近了，出门几步就有地铁，总的来说这个价格，还是很值的。', '短评打分': 4}
{'短评内容': '好', '短评打分': 4}
{'短评内容': '同事们说还不错。', '短评打分': 3}
{'短评内容': '酒店环境还行，就是房间充电器好多都用不起来~空调效果也不行！', '短评打分': 5}
{'短评内容': '挺好的。干净 舒服                     价格还算是比较优惠', '短评打分': 5}
{'短评内容': '优点是比较安静，服务态度较好；缺点是离西湖比较远，周围吃饭地方较少，设施陈旧，订的豪华标间（358）一点都不豪华，床才1.1~1.2宽，还不如我们这边几十块普通的宾馆或连锁店！', '短评打分': 1}
{'短评内容': ' 卫生干净、服务员比较敬业。', '短评打分': 3}
{'短评内容': '酒店不错，就是离西湖太远', '短评打分': 3}
{'短评内容': '酒店性价比还不错', '短评打分': 3}
{'短评内容': '还不错！住了好几次了！以后去杭州还会住这家酒店！', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '早餐太差', '短评打分': 3}
{'短评内容': '这个酒店装修设备都不错，不满意的是廊灯是自动感应的，不能关掉，晚上会过几分钟就自己亮起来，比较影响睡眠。不知道是不是所有的房间都那样。只住了一晚就换宾馆了。', '短评打分': 1}
