{'短评内容': '很干净！ 确实不错呵呵。 ！！！！！！！！！！', '短评打分': 5}
{'短评内容': '非常满意，很干净，也安静，就是有扔小卡片的，很讨厌', '短评打分': 5}
{'短评内容': '不错。。。。', '短评打分': 5}
{'短评内容': '会更丰富的分布广泛的根本官方的功夫更广泛的好好奋斗的很过分的光', '短评打分': 5}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '好好好好好好好好好', '短评打分': 5}
{'短评内容': '好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '早餐不错', '短评打分': 5}
{'短评内容': '一般般，就是普通快捷酒店的情况。没有明显的优缺点', '短评打分': 4}
{'短评内容': '房间一般，中规中矩，没什么明显的优缺点', '短评打分': 4}
{'短评内容': '很不错，离艺术中心很近', '短评打分': 5}
{'短评内容': '交通便利，出行方便，设施好，干净整洁', '短评打分': 5}
{'短评内容': '虽然比较远，但比起其它酒店离表演中心还是很近，方便很多。服务也满意。不错。', '短评打分': 4}
{'短评内容': '位置可以', '短评打分': 5}
{'短评内容': '物有所值，性价比很高，非常不错', '短评打分': 5}
{'短评内容': '住能住，只是房间布局不合理，特别是卫生间。设施也不算是特方便，当然不是不方便。还行', '短评打分': 4}
{'短评内容': '不错，上半年去住还有股装修的味道，这次去好多了，房间挺大，卫生不错 喜欢  还会在订', '短评打分': 5}
{'短评内容': '一直都住这里，很舒服，有时候会有嘈杂的声音', '短评打分': 5}
{'短评内容': '房间干净整洁  经济实惠  楼下有商店和中餐馆 停车也方便', '短评打分': 5}
{'短评内容': '酒店服务还行，最喜欢的还是旁边的烧烤真的很棒，不过酒店的格局个人不是很喜欢', '短评打分': 4}
{'短评内容': '还可以，光线偏暗，周围吃饭的地方比较多，比较方便。', '短评打分': 5}
{'短评内容': '硬件比较新，但是空调主机噪音太大，墙壁居然是木板；管理要加强。', '短评打分': 1}
{'短评内容': '很干净的房间 很满意', '短评打分': 3}
{'短评内容': '波仕假日总的来说挺好.很干净舒适.就是早餐差了点.', '短评打分': 3}
{'短评内容': '新开张酒店，各方面条件均不错。早餐的服务员很热情。', '短评打分': 5}
{'短评内容': '这个酒店真的很不错哦，首先服务态度相当的好，其次酒店房间舒适干净，真是一个值得入住的酒店，像这么好的酒店，我会推荐朋友到这边来入住的！~太给力了，赞一个！', '短评打分': 5}
{'短评内容': '楼上的那位说的挺可笑，我入住以后觉得这家新宾馆设施设备挺全，性价比极高，卫生也干净，床头有电话提示呀，也有餐厅不过餐厅只免费提供商务楼层，没楼上说那么夸张。', '短评打分': 5}
{'短评内容': '太坑爹了... 电话什么的也没有提示 ...前台电话都么有注明...而且没餐厅...早饭也没地方吃...\n最悲剧的是住进啦...发现洗手间没打扫...便池上还有脏东西...（省略你懂得） ...\n', '短评打分': 1}
