{'短评内容': '服务员很有礼貌', '短评打分': 5}
{'短评内容': '干净整洁，价格便宜', '短评打分': 5}
{'短评内容': '交通方便，旁边就是中山公园，离大家推荐的美食店也不算远，就是周边吃早餐的地方不太好找', '短评打分': 5}
{'短评内容': '位置不错，出行较方便。', '短评打分': 5}
{'短评内容': '有停车位，不能加床。', '短评打分': 5}
{'短评内容': '酒店位置特别好，在市中心，中山公园旁边，周边环境、交通、饮食都很方便，门口有停车位。房间挺大，我住的是靠小区面的，很安静，干净整洁。前台服务好，门口有专职保安。有宽带，w;fe信多好。超高性价比。', '短评打分': 5}
{'短评内容': '好好概念还明明明明明明明', '短评打分': 5}
{'短评内容': '真的不错，很干净', '短评打分': 5}
{'短评内容': '卫生环境真的好', '短评打分': 4}
{'短评内容': '还不错。', '短评打分': 5}
{'短评内容': '好，便正靓', '短评打分': 5}
{'短评内容': '怎么说吧，也许是我不走运，身都不能用，包括WIFI。', '短评打分': 3}
{'短评内容': '刚在中山公园旁，性价比高，隔壁ktv有点吵', '短评打分': 5}
{'短评内容': '还不错，性价比高', '短评打分': 4}
{'短评内容': '还行，之前订了3人后，结果只有双人房，后来艺龙负责多开一间单人房', '短评打分': 3}
{'短评内容': '干净，隔音确实不好，晚上竟然有服务员和房客在走廊说话，进出，搞卫生，深更半夜的', '短评打分': 3}
{'短评内容': '酒店挺好，离车站近，出门就是商业街，购物方便！', '短评打分': 5}
