{'短评内容': '电视老，其他还行，位置很好。', '短评打分': 5}
{'短评内容': '房间挺干净的', '短评打分': 5}
{'短评内容': '不错，性价比非常高', '短评打分': 5}
{'短评内容': '环境不错，地理位置更好', '短评打分': 5}
{'短评内容': '还不错的，房间很干净，服务也不错', '短评打分': 5}
{'短评内容': '特惠房密封不好，临街吵闹，房间小的可怜，换房涨价178。差评，以后再也不来住了。阴冷阴冷的……', '短评打分': 2}
{'短评内容': '嗯嗯嗯嗯嗯嗯喽阿沁', '短评打分': 5}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '一直习惯住佳宜，不错的，卫生，洗浴各方面都挺好。', '短评打分': 5}
{'短评内容': '好', '短评打分': 1}
{'短评内容': '房间都是木板隔间，隔壁说话听的很清楚，前台服务不周到，，，。比较粗心。', '短评打分': 3}
{'短评内容': '服务周到，方便快捷。', '短评打分': 5}
{'短评内容': '服务很热情，不错', '短评打分': 5}
{'短评内容': '作为快捷酒店，作为这个价格，很不错了', '短评打分': 4}
{'短评内容': '位置不错，周围有快餐，很方便，不错', '短评打分': 3}
{'短评内容': '整体都还不错，就是网络信号差点，需要改进！', '短评打分': 4}
{'短评内容': '不错，交通很好，携程真便宜', '短评打分': 4}
{'短评内容': '干净！服务规范！地理位置绝佳，距城市主干道，主商业区及王羲之故居都很近，均可步行。且房间内安静不嘈杂！满意！', '短评打分': 5}
{'短评内容': '单人间大床房房间宽敞舒适，房间内通风透光好，空调性能良好。缺点：没有衣橱。', '短评打分': 3}
{'短评内容': '嗯  风景很好  旁边就是羲之故居和天主教堂  还有烧烤广场  洗澡水很舒服', '短评打分': 5}
{'短评内容': '洗澡间太小了！！！洗澡间太小了！！！洗澡间太小了！！！', '短评打分': 5}
{'短评内容': '服务热情，环境不错，就是隔音效果不太好，有点吵', '短评打分': 5}
{'短评内容': '一如既往的好 这次住的是商务大床比普通大床的洗刷间要大 床也宽', '短评打分': 3}
{'短评内容': '银座佳驿绝对是临沂中档宾馆中性价比最高的一家。\n沂蒙路这家也很好 只是我住的大床间浴室有点小（不是洗刷间 是里面的浴室）\n服务态度非常棒 还送了我一个果盘', '短评打分': 5}
{'短评内容': '环境好，只是电梯坏了，还有不能刷卡，价格合理', '短评打分': 5}
{'短评内容': '很好，很满意，很干净，不能刷卡有点遗憾！', '短评打分': 5}
