{'短评内容': '早餐非常方便，就在酒店一楼，而且不贵！觉得值得\n', '短评打分': 5}
{'短评内容': '环境不错  服务态度也很好  就是房间有一点点小  交通还算方便', '短评打分': 5}
{'短评内容': '酒店周围环境不好，地理位置偏僻，饭店餐馆很少，', '短评打分': 1}
{'短评内容': '房间价格228每晚，真的不值，太简陋了：（\n早餐是自己单花钱进去吃的，8元/人，也是十分之简单。\n不过有一点倒是还可以，就是离四方长途汽车站较近，乘车去其他地方时还比较方便。', '短评打分': 1}
{'短评内容': '服务员服务态度很好！卫生也很好，很干净，交通很方便，但设施陈旧。', '短评打分': 5}
{'短评内容': '房间很小  刚好放张床  隔音效果差  关着门 住我对门的人说话、音乐声都很吵，卫生间也很小  床头的墙靠近卫生间的部分因为漏水从上到下一大片干后发黄的水渍  床褥还是比较干净的  如果因为地理位置方便到此地办事  住一晚上还凑合', '短评打分': 1}
{'短评内容': '酒店还不错挺干净的,就是空间小了点', '短评打分': 3}
{'短评内容': '交通比较方便，离长途汽车站很近。酒店设施一般吧，服务质量还可以。', '短评打分': 5}
{'短评内容': '地理位置比较好 离长途站很近  出去玩交通也比较便利 但是房间隔音不是很好', '短评打分': 5}
{'短评内容': '一般、还不错。就是说有网线的。去了结果没网线', '短评打分': 5}
{'短评内容': '酒店位置不错，对面就是四方火车站，南面200米处是四方长途汽车站，出行方便，从酒店到五四广场，海水浴场，栈桥都很方便，房间硬件设施不错，装修简朴，卫生条件很好', '短评打分': 5}
