{'短评内容': '交通方便，地理位置很好，房间很干净', '短评打分': 5}
{'短评内容': '位置不错，到地铁站还比较方便', '短评打分': 5}
{'短评内容': '环境和服务都很好，愉快的旅行住宿经历～', '短评打分': 5}
{'短评内容': '性价比很好', '短评打分': 5}
{'短评内容': '服务很好，环境不错', '短评打分': 5}
{'短评内容': '不错不错', '短评打分': 5}
{'短评内容': '难得十一长假，带着小孩和父母出来玩玩，地理位置好，交通方便，停车也方便，还不错！', '短评打分': 5}
{'短评内容': '酒店很好', '短评打分': 5}
{'短评内容': '窗户太短了 有点儿暗', '短评打分': 5}
{'短评内容': '不错，很干净', '短评打分': 5}
{'短评内容': '其它都好服务一般', '短评打分': 4}
{'短评内容': '性价比挺高，房间很干净，比起一般的快捷酒店上了一个档次', '短评打分': 5}
{'短评内容': '挺方便的，周围吃的都不错', '短评打分': 4}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '虽然房间不是很大，但是感觉房间很精致，很舒适，该有的都有！可以泡茶，紧临万丽酒店，和市政府也很近！', '短评打分': 5}
{'短评内容': '环境不错 经常去 很熟悉 地址也不错', '短评打分': 5}
{'短评内容': '钱钱钱钱去去去?黄金季节就你那你你你你你你你你你你你你你你你你', '短评打分': 5}
{'短评内容': '好，推荐，安静舒适，服务到位，就是空调噪音稍大', '短评打分': 5}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '帮人预定，反应很好', '短评打分': 5}
