{'短评内容': '房间太小', '短评打分': 5}
{'短评内容': '房间太小', '短评打分': 5}
{'短评内容': '房间设施比较旧，不过该有的都有。被子等还是挺干净的，墙壁有点脏，就是标注的快捷酒店的样子。这个价格还是凑合了。', '短评打分': 4}
{'短评内容': '房间很干净，噪音也比较小，东西食品也比较全，各项服务设施也比较全，洗漱方面也可以。住了好几回了，相比较都市快捷旅店来说，各项服务也比较速度，价格方面也较之之前的有优势，下次我还会选择这家酒店。', '短评打分': 5}
{'短评内容': '房间很干净，噪音也比较小，东西食品也比较全，各项服务设施也比较全，洗漱方面也可以。住了好几回了，相比较都市快捷旅店来说，各项服务也比较速度，价格方面也较之之前的有优势，下次我还会选择这家酒店', '短评打分': 5}
{'短评内容': '房间很干净，噪音也比较小，东西食品也比较全，各项服务设施也比较全，洗漱方面也可以。住了好几回了，相比较都市快捷旅店来说，各项服务也比较速度，价格方面也较之之前的有优势，下次我还会选择这家酒店', '短评打分': 5}
{'短评内容': '很便宜，就是睡到早上六点旁边房间竟然有人敲门说派出所来查就让我吓了一跳', '短评打分': 5}
{'短评内容': '床单是破的，洗完澡想找个吹风机把头发吹干的，都没有吹风机，而且隔音也不好，隔壁房间两个人大晚上完游戏说话都听得非常清楚，就好像没有隔墙一样，床非常硬，就跟睡在木板上一样，可能是我睡不习惯这种硬度吧！其他都还好，特别是晚上办入住的小姑凉很有礼貌，这点可以包容很多不足。', '短评打分': 3}
{'短评内容': '服务员很热情，交通方便！', '短评打分': 4}
{'短评内容': '酒店装修跟不上，电视不是液晶的，太小', '短评打分': 3}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '凑合住，毕竟市区相对便宜', '短评打分': 3}
{'短评内容': '房间比较小在电梯旁，总体来说还可以，无线就没怎么连上过，干净还算干净的', '短评打分': 3}
{'短评内容': '放寒假坎坎坷坷看看', '短评打分': 5}
{'短评内容': '据说宾馆环境还可以的，休息的不错', '短评打分': 5}
{'短评内容': '经济实惠，离城建培训中心很近', '短评打分': 5}
{'短评内容': '非常感谢大家的关注', '短评打分': 5}
{'短评内容': '首先，隔音效果太差，我是来考试的！隔壁2点睡，我也被吵到2点，本来想叫前台的，发现电话根本没有接线，呵呵！玩具吗？然后，电视是没有联网的不是液晶的这种??电视。水壶很脏。虽然说我订的房间没了，升级了标间，然而还是很小。虽然价格不高，但是这条件真不怎么样。很多东西都可以再改进。', '短评打分': 3}
{'短评内容': '周围环境比较安静，酒店服务还马马虎虎，室内空调有点吵', '短评打分': 4}
{'短评内容': '酒店最近一楼在装修，环境都得到了改善，我们当时的房间窗户沿着走廊的，蛮大的，缺点就是电视机太小了', '短评打分': 5}
{'短评内容': '地址写的好复杂，其实一说海关路，出租车司机都知道的。海关路到底就看见了。环境安静，不吵，单人间没了，一个人住的家庭房...设施什么的都还可以，服务也还不错。反正打的到黄龙刚好11元起步价，总体还不错！', '短评打分': 5}
{'短评内容': '酒店环境还可以，关键是隔音效果很差，房间很小，显的很拥挤，在这个价位来说，比较划不来', '短评打分': 1}
{'短评内容': '住的那个房间床单有点脏，隔音也不太好，停车地方也没有，下次不想再去了', '短评打分': 3}
{'短评内容': '一点也不快捷，太慢了', '短评打分': 3}
{'短评内容': '总体还不错，只是工作人员太少，看他们太忙。房间还是挺干净的。', '短评打分': 5}
{'短评内容': '酒店很好物有所值', '短评打分': 3}
{'短评内容': '楼下酒吧有点吵。隔音不好。每层楼8~12号房间应该都有影响', '短评打分': 5}
{'短评内容': '在杭州那个地段，这样的价格还算便宜的。酒店部分楼层在装修，我入住的房间硬件上略显陈旧，卫生还可以。', '短评打分': 5}
{'短评内容': '交通方便，周围环境安静，房间设施齐全，服务态度好', '短评打分': 5}
{'短评内容': '环境卫生不太理想，有点乱，可能是当时施工的原因吧，总体来说还行~~', '短评打分': 5}
{'短评内容': '设施太旧了，性价比不高。不过位置比较安静', '短评打分': 1}
{'短评内容': ' 挺不错的 但是隔音稍差 外面施工较吵', '短评打分': 3}
{'短评内容': '感觉挺脏的，同样的价钱比不上其他酒店，被子太脏了，电视机也太旧了', '短评打分': 1}
{'短评内容': '位置还算可以 房间也不小 还可以还可以还可以', '短评打分': 5}
{'短评内容': '还不错 就是洗手间是透明玻璃加一层纱  感觉洗澡隐约能看到 = =', '短评打分': 5}
{'短评内容': '隔音效果奇差，晚上经常有人走动，一个楼层什么都听得见，建议考生不要去住，影响休息', '短评打分': 1}
{'短评内容': '很干净 实惠 交通方便 周围吃东西很方便 设施完善 下次还会来住', '短评打分': 5}
{'短评内容': '不错，挺干净，地理位置也方便，以后考雅思还会去住的。', '短评打分': 5}
{'短评内容': '整体不错，赶紧，但是相对比较难找。', '短评打分': 3}
{'短评内容': '住在2楼 运气不大好 最近正在装修 白天比较吵 晚上还可以 标准间的空调很给力 就是感觉床单有点睡着不舒服 总的还行', '短评打分': 3}
{'短评内容': '挺好的~~~就是不好找~~到黄龙体育馆 走去 大概20分钟', '短评打分': 5}
{'短评内容': '环境一般般，将就住，就离教育考试大楼近，考雅思的可以住，走走也不远', '短评打分': 1}
{'短评内容': '性价比不错！下次有机会去杭州考雅思还会住的！', '短评打分': 5}
{'短评内容': '还不错，性价比蛮高的~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '房间比较干净，热水充足，就是电视效果不是很好，总体还是可以的，价廉物美。', '短评打分': 5}
{'短评内容': '隔音效果不好，设备有点老坏了、希望改进。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '还可以、就是比较吵、周围环境不好', '短评打分': 3}
{'短评内容': '嗯，其实有点小偏僻，找了比较久~~~设施啊什么的都还不错~~房间也很大', '短评打分': 5}
{'短评内容': '房间不错，卫生也好。', '短评打分': 3}
{'短评内容': '价格便宜，其他都不错，就是隔音效果不好，而且那个一团和气竟然在装修，没的吃 0 0', '短评打分': 5}
{'短评内容': '入住一夜，房间一直有异味，难闻，卫生间也不是很整洁', '短评打分': 1}
{'短评内容': '感觉不错！', '短评打分': 3}
{'短评内容': '家具旧了，网速很慢，其他的都还好，床还算舒服。窗户非常的不干净', '短评打分': 1}
{'短评内容': '没有返现，没有吹风，网速不好，其他一般', '短评打分': 3}
{'短评内容': '环境还不错就是网速太慢了，差点资料都不行，而且电吹风都没有前台借都借完了，真郁闷', '短评打分': 3}
{'短评内容': '房间不小，可是，被子一股怪味，感觉很久没清洗。另外，噪音特大，隔音效果不好，一晚上没睡。。。。早上3点才入睡。希望隔音方面能加强', '短评打分': 1}
{'短评内容': '房间还可以，就是酒店地址感觉有点偏远，周边环境不怎么好。', '短评打分': 1}
{'短评内容': '酒店地理位置和周边治安都不错，不过房间内的被套、床单等床上用品虽然很干净却有股怪怪的味道，让人很不舒服，房间与房间，房间与过道的隔音真的很差，晚上睡不好，所以今后不会入住。', '短评打分': 1}
{'短评内容': '不错的，离考点近，便宜也很舒服。。。。。', '短评打分': 5}
{'短评内容': '挺好的。不贵。就是隔音有点烂，楼下餐厅感觉不错', '短评打分': 5}
{'短评内容': '不错哦，还是蛮舒服的', '短评打分': 3}
{'短评内容': '已经是第三次入住了··如果是要在附近考雅思的朋友们··可以考虑··步行至考点10分钟', '短评打分': 5}
{'短评内容': '酒店就是难找了点，房间挺挺好的，很温馨，舒适。', '短评打分': 3}
{'短评内容': '不错，安静，干净。', '短评打分': 3}
{'短评内容': '为了考试才去住，里面设施很旧，平很便宜的，考试那几天猛涨，不地道', '短评打分': 5}
{'短评内容': '隔音比较差，房间里的凳子坐着不舒服，最关键的是没有早餐提供，电梯也很小，站3个人就很拥挤。其他倒是不错。', '短评打分': 5}
{'短评内容': '地理位置闹中取静，一出去就是学院路，吃的地方也多，离雅思考点需要15分钟的路程吧~其他设备什么的还算齐全，另外店里面可以打口碑卡省80呢。但是走廊上的隔音真的不好，很不好！', '短评打分': 5}
{'短评内容': '几点不足:前台沟通不给力，指路不明，用了我很多电话费；房间在7楼最里间，窗户面对过道，只用一面大的桁架挡住了事，害我只得紧闭窗户开空调；床头灯没有灯罩；晚上夜半有人入住，大声说话，非常吵杂；被子不知道洗过没有，睡着浑身不舒服，好似很多虫在爬的感觉，因为酒店都是铺开来的被子，钻到里面睡的那种，所以勉强到半夜，我只能钻出来，拿柜子里的厚被子，很热，盖着亦不舒服，一个晚上就这么半睡半醒辗转反侧。所以，总', '短评打分': 1}
{'短评内容': '旅馆很干净，离雅思考点一站路，没有无线网络。', '短评打分': 3}
{'短评内容': '还不错的酒店 也很干净 基本满意呵', '短评打分': 3}
{'短评内容': '环境和同类快捷酒店差不多，比同地段的如家和汉庭便宜，房间是干净明亮的风格，比较宽敞，有桌椅，周围是居民小区，很安静不嘈杂。不足之处是浴室洗澡间排水不太好，冲澡时会积水，还有能听到隔壁浴室喷头放水的声音，大概喷头水太猛了。不过房间隔音还是很好的，不会听到走廊和隔壁房间的声音，晚上睡得很好。', '短评打分': 5}
{'短评内容': '楼梯烂，走上去摇摇晃晃的。手纸给的很吝啬。暑假提前订还不打折', '短评打分': 1}
{'短评内容': '干净，安静。就是入住的2天，网络不好，老是联不上网，耽误工作', '短评打分': 5}
{'短评内容': '一般吧隔音也不太好~', '短评打分': 3}
{'短评内容': '酒店布置还是蛮温馨的，虽然房间比较小。但是隔音效果太差并且房间稍有异味。', '短评打分': 5}
{'短评内容': '挺不错的，再接再励', '短评打分': 3}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '方便，快捷。。。。。。。。1233131', '短评打分': 5}
{'短评内容': '总体还行，小区比较安静，热水充足，价格实惠，推荐', '短评打分': 5}
{'短评内容': '整体都好 下面的小餐厅很方便 外面的环境也幽静 就是隔音不好', '短评打分': 5}
{'短评内容': '房间小 隔音不太好 但是下面有家吃的 很方便', '短评打分': 5}
{'短评内容': '第二次住，除了晚上自来水笔较小以外，其他还算好了。一般出租车司机也不知道这个酒店', '短评打分': 5}
{'短评内容': '交通还算便利，环境安静，适合商务出差入住', '短评打分': 5}
{'短评内容': ' 隔音稍差', '短评打分': 3}
{'短评内容': '很安静，不错的~如果是去考试的话，是个很不错的选择哦', '短评打分': 5}
{'短评内容': '酒店设施还可以，卫生间还算干净，但是床单不太干净，看起来发黄，希望酒店以后可以改进。另外位置有点隐蔽，不太好找。', '短评打分': 5}
{'短评内容': '总体还好', '短评打分': 3}
{'短评内容': '装修很温馨，设施齐全，干净舒适。', '短评打分': 3}
{'短评内容': '所处的位置比较安静，附近有很好吃饭的地方。服务员很实在', '短评打分': 5}
{'短评内容': '还不错，房间挺干净的，楼下就有吃饭的地方，没发现隔音差的问题，就是位置不太好找，很多当地人都不知道海关路在哪里，跟他们说金星路就没问题。', '短评打分': 5}
{'短评内容': '很不错，这个价位住的没有不好的地方也满意了', '短评打分': 3}
{'短评内容': '位置稍微偏一点。但是离文三路很近。可以刷信用卡。床比较硬，隔音很一般', '短评打分': 5}
{'短评内容': '快捷酒店的小家碧玉', '短评打分': 3}
{'短评内容': '床较大，房间面积小，宾馆门口的小路很拥堵。', '短评打分': 3}
{'短评内容': '入住', '短评打分': 3}
{'短评内容': '离考雅思的地方很近  环境也不错  楼下吃饭很方便', '短评打分': 5}
{'短评内容': '经济实惠，性价比不错。就是卫生还有待提高。', '短评打分': 5}
{'短评内容': 'not bad', '短评打分': 3}
{'短评内容': '交通便利，服务还不错，适合出差的时候住。', '短评打分': 5}
{'短评内容': '还行吧，离办事的地方近。而且不是邻马路，蛮安静的', '短评打分': 5}
{'短评内容': '地方有点难找，其他总体还好，房间挺大的，还不错', '短评打分': 5}
{'短评内容': '还好吧，位置稍微有点不太好找。也就这个价位了。', '短评打分': 5}
{'短评内容': '很好，很干净！床大，很舒服。', '短评打分': 3}
{'短评内容': '我是去杭州考雅思的。好家距离雅思考点很近，走路在十分钟以内，周围吃饭的地方很多：知味观，永和豆浆，KFC等。还有多家便利店。\n酒店卫生还可以，房间也还可以。因为我的房间是走廊第一间，靠近楼梯间，且两面墙是窗户，所以隔音很差。一直能听到外面的车流声，而且夜里一直有外面停靠的车辆发出的报警器声音，很吵，基本上两天没怎么休息好，如果是来考试的请慎重，隔音效果很差。', '短评打分': 5}
{'短评内容': '主要是价格还行，推荐杭州考雅思的同学入住，离考点距离比如家还近', '短评打分': 5}
{'短评内容': '很干净，不错，就是洗浴的地方稍微差了点。其它都蛮好', '短评打分': 5}
{'短评内容': '还不错，这个价的快捷酒店', '短评打分': 3}
{'短评内容': '价格稍微贵了点，但房间还行，设施也还可以，周围交通吃东西也挺方便的。', '短评打分': 5}
{'短评内容': '相对商务快捷酒店，在服务、房间隔音等方便有待改善。', '短评打分': 1}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '八错，还挺干净卫生，服务态度还八错，离着我考试的地方很近~~~~', '短评打分': 5}
{'短评内容': '隔音不好，交通可以，离西湖和西溪都不太远，公交方便', '短评打分': 5}
{'短评内容': '房间好几处都有洞，看的就很不舒服，隔音效果不好。一般住住凑合。', '短评打分': 1}
{'短评内容': '酒店的服务很好。', '短评打分': 3}
{'短评内容': '非常满意', '短评打分': 3}
{'短评内容': '性价比较高的酒店。环境一般般。不过总体来说还行吧。', '短评打分': 5}
{'短评内容': '酒店在文二和文三之间，交通方便。干净便捷。比较安静', '短评打分': 5}
{'短评内容': '还可以。连锁酒店都是那种模式。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '隔音是最差的，空气也不好，没窗户的就不能住！', '短评打分': 1}
