{'短评内容': '朋友说还不错', '短评打分': 5}
{'短评内容': '没吃早餐，门口不远处就是早市很方便，房间还算不错，䣬网上订的房间159，价格实惠', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '和去年一样入住这家，要了楼层高的。餐厅的晚餐量足味道不错，和我胃口。自助早餐品种没有去年多了，不过还是可以接受的。', '短评打分': 4}
{'短评内容': '位置好，景色好。', '短评打分': 5}
{'短评内容': '性价比还行吧。没评论的那么好，也不太差。床单干净，整体和快捷酒店差不多，档次显得略高一点。有条件的还是推荐住更高级的。', '短评打分': 5}
{'短评内容': '冲着五指山人气最高的排行预定。这是住过最差的酒店，换了两次房，从低楼层再换到高楼层，这样的豪华河景房的卫生也不敢恭维了，床单这么大的污渍既然还能铺上去给客人盖，也是醉了，就算再换也都是一样的卫生，还是立马退房。', '短评打分': 1}
{'短评内容': '谢谢还成', '短评打分': 5}
{'短评内容': '性价比可以', '短评打分': 5}
{'短评内容': '性价比可以', '短评打分': 5}
{'短评内容': '不错。', '短评打分': 5}
{'短评内容': '好好好好', '短评打分': 5}
{'短评内容': '不错，环境好，就是不易订房，常爆满', '短评打分': 5}
{'短评内容': '不错 环境很好', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '房间很好，服务周到人员热情', '短评打分': 5}
{'短评内容': '不错很好满意', '短评打分': 5}
{'短评内容': '前台那个帅哥服务很好 赞一个！ 酒店很不错  ??爱人说很好  非常满意', '短评打分': 5}
{'短评内容': '环境好，房间宽敞干净，服务好。满意。', '短评打分': 5}
{'短评内容': '很好的酒店 在这里算是数一数二的酒店了！设施个方面都很好 就是酒店游泳池现在停止开放了 孩子不能玩水很遗憾', '短评打分': 5}
{'短评内容': '推荐，非常不错，性价比很高', '短评打分': 5}
{'短评内容': '出差一直住这里，环境好，服务好，价格优惠，尤其是早晨起来凭窗远眺，山美，天蓝，河水清清空气甜美。推荐推荐！', '短评打分': 5}
{'短评内容': '非常棒，非常大气的酒店。环境好，卫生好，酒店设施和床上用品很好很舒服。服务很周到，性价比高。交通也方便，下次来五指山还会住的。', '短评打分': 5}
{'短评内容': '酒店物超所值，五指山美食基本没有，留不住人', '短评打分': 5}
{'短评内容': '真的很好，有机会还来住', '短评打分': 5}
{'短评内容': '房间不错，位置很好！最好有唱歌的地方！', '短评打分': 4}
{'短评内容': '酒店不错，很好，下次还来住！希望有唱歌的地方！', '短评打分': 4}
{'短评内容': '舒适价格合理 在五指山 位置很好 推荐', '短评打分': 5}
{'短评内容': '性价比超高', '短评打分': 5}
{'短评内容': '一早，二楼就有做传销的，声音老大的，影响客人正常休息。请酒店不要租给这些乱七八糟的公司，以便更好的为老百姓服务。', '短评打分': 4}
{'短评内容': '非常给力的酒店！\n五星级的，起码四星级吧，却只要二星级的价格，\n有人说有点远，其实能远到哪里去，也就多走200米！的路', '短评打分': 5}
{'短评内容': '性价比很高，还带超大泳池，但10点就清场了', '短评打分': 5}
{'短评内容': '环境优美,房间高档精致,物美价廉。唯一遗憾之处是交通略有不便。', '短评打分': 3}
{'短评内容': '接待朋友是个不错的选择,设施挺新的,服务也不错,值得入住', '短评打分': 5}
{'短评内容': '酒店是新开的,都是新的设施,房间也很大,不错,交通稍有点不方便,不过现在都是自驾车多,问题不大.', '短评打分': 5}
{'短评内容': '酒店不错，地点稍偏。', '短评打分': 3}
{'短评内容': '酒店蛮新 但酒店没有汽车 想在酒店租车都不行', '短评打分': 3}
