{'短评内容': '为的是逛街方便才选的这家酒店，环境太差了，住了一次，绝不愿意住第二次，到处非常破旧，包括电梯，总感觉不太安全，房间外面墙面上都在起皮了，到处破破烂烂的，看起来很影响心情，这个价位太不划算了！！！太贵了！！！比那些八十的太不划算！而且早餐超难吃，选的东西一样也吃不下去，就走了，不知道他们工作人员是不是也吃的惯', '短评打分': 2}
{'短评内容': '诶', '短评打分': 3}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '性价比不错。有特殊服务', '短评打分': 4}
{'短评内容': '房间很一般', '短评打分': 4}
{'短评内容': '这环境和条件不敢恭维！！！周围商业区这么多酒店，也是走到这家就住下，真是不敢恭维！！！', '短评打分': 4}
{'短评内容': '对得起这个价格，附近吃饭也方便。', '短评打分': 5}
{'短评内容': '本来通过携程订别的酒店，后来酒店把房卖了调整到这边，没有停车位，周边人吵车吵半夜睡不着，房间洗澡喷头还是坏的，唯一好的就是热水很热很大，下次不会来了。', '短评打分': 2}
{'短评内容': '地段很好，设施不新，但也干净整齐，很好', '短评打分': 5}
{'短评内容': '服务差，其它还行', '短评打分': 4}
{'短评内容': '住过很多次了。一如既往的好评。', '短评打分': 5}
{'短评内容': '设施不错，环境不错，交通不错，一切都不错', '短评打分': 5}
{'短评内容': '环境不错，交通不错，设施不错。', '短评打分': 5}
