{'短评内容': '前台姐姐服务好，挺有耐心的，性价比比较高', '短评打分': 4}
{'短评内容': '酒店一般，没有专门的停车！没有早餐，不能刷卡消费……', '短评打分': 2}
{'短评内容': '酒店位置不错，就在黄桷井市场旁边，房间面积适中，环境可以，前台小妹亲和，热情，晚上安静，适合出差居住。', '短评打分': 5}
{'短评内容': '预定当天老板就确定了，老板人好，地方也好找，房间环境好，设施齐全，周边吃的还可以，想吃更丰富的就要步行几分钟，到内江二小上边就可以了，适合出差旅游居住。', '短评打分': 5}
{'短评内容': '住宿环境还可以，去考试位置也刚好离考室很近，就是门面不醒目，', '短评打分': 5}
{'短评内容': '不是想象当中的样子', '短评打分': 3}
{'短评内容': '环境一般，晚上睡觉比较吵闹，房间较小，设施有点旧。', '短评打分': 3}
{'短评内容': '这个位置不怎么好找，', '短评打分': 5}
{'短评内容': '房间干净，但是设施比较陈旧，环境也不够好，价格偏高。', '短评打分': 3}
{'短评内容': '干净整洁，安静舒适', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '这价位，很超值的', '短评打分': 5}
{'短评内容': '还可以，离黄桷井市场近', '短评打分': 4}
{'短评内容': '房间洗澡热水不热，空调外机声音太大，窗户又关不上，，反正没睡好', '短评打分': 2}
{'短评内容': '第二次入住，感觉还好，依然是停车不方便。携程预付的房费是144，酒店前台开票是135，有图为证，这不是坑爹吗？', '短评打分': 3}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '位置有点偏 不是很舒服', '短评打分': 2}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '国庆节好不容易才定到的酒店，定的单间，房间虽小但却很温馨。酒店位于沿江路，楼下有好多内江的美食，去火车站也有公交直达哦，推荐！', '短评打分': 3}
{'短评内容': '说实话，85的酒店跟外面的一般旅店差不多，房间实在太小了，热水小得可怜，靠街的还比较吵，看120的还比较可以就是没住', '短评打分': 1}
{'短评内容': '价钱比较合理，适合短时出差人士。靠近大街的房间有点吵。', '短评打分': 5}
{'短评内容': '这是这么多年出差经历中感受最差的一次！实在无力吐槽，房间和厕所是一样大的！没有顶灯，床垫竟然比床窄了一截，房间里连个转身的地方都没有！临街比较吵，宽带出了问题一整个晚上直到第二天退房都没有解决！这对于出差办事的人来讲实在是伤不起！楼下找不到可以吃饭的地方，徒步两公里外才能找到苍蝇馆子！别讲什么性价比，我住过很多比这个价位还便宜的，但没有这么差的！！！竟然可以在枕头下面发现避孕工具！！！明显没有更换', '短评打分': 1}
{'短评内容': '性价比好，很好！', '短评打分': 3}
{'短评内容': '该酒店环境比较良好 服务态度.下次可以入住', '短评打分': 5}
{'短评内容': '老城区比较偏，房间小、隔音比较差，马路边白天很吵！对于这个价位来说还是不错的', '短评打分': 5}
{'短评内容': '其实是宾馆，不是酒店，前台MM的声音很冷清，但是很温柔，态度很好。有电吹风提供，需要向前台索要。房间里比较干净，另外就算是预先缴纳了几天的房费，每天下午2点也需要在前台续房，否则房卡打不开门，这个比较麻烦。\n宾馆位于黄桷井商城附近，每天早上6点过就闹嘛了，宾馆还是给我安排的比较安静的房间。宾馆附近没有可以方便吃饭的地方， 只有火锅店一类的', '短评打分': 5}
{'短评内容': '交通方便 环境好', '短评打分': 3}
{'短评内容': '很不错，房间很温馨，服务员态度特很好，我东西忘在那了不过取回来了，下次还来住', '短评打分': 5}
{'短评内容': '还行，物有所值', '短评打分': 3}
{'短评内容': '住的单人间，干净温馨，五楼也不吵，楼下有超市、市场，挺方便的', '短评打分': 5}
{'短评内容': '性价比不错，住过很多次，推荐朋友住了也都满意。', '短评打分': 5}
{'短评内容': '房间不大但应有尽有，晚上去的，比较清静，但知道白天那个地方应该会比较吵，房间隔音还好，性价比极高，每天有特价房68元的，但没窗户通风，一分钱一分货，总体比较满意的', '短评打分': 5}
{'短评内容': '刚入住。房间小。不过就价钱来家 也符合身份。不过同样的价格比重庆差点。不过服务员态度相当好', '短评打分': 1}
{'短评内容': '住的单人房，房间小，临近主干道，隔音效果非常不好，优点是价格便宜，但是若长期出差不适合常住，偶尔短柱还行', '短评打分': 5}
{'短评内容': '，还行，基本满意…', '短评打分': 3}
{'短评内容': '已经入住', '短评打分': 3}
{'短评内容': '干净舒适~~价廉物美~~距离城中心步行也就十多分钟而已~~稍微有些不足的就是网速比较慢~~', '短评打分': 5}
{'短评内容': '住的85的单间，房间无异味，床单干净，空调热水，只是毛巾看着不怎么干净，如果清洗有困难完全可以不提供，前台小妹很热心；总的来说值这个价', '短评打分': 5}
{'短评内容': '对得起之个价格。服务员小妹还多对的哈。对得起之个价格。服务员小妹还多对的哈。', '短评打分': 5}
{'短评内容': '酒店位置还可以，性价比还可以，就是酒店房间比较小', '短评打分': 5}
{'短评内容': '还行', '短评打分': 3}
{'短评内容': '门面看起来不大 但里面还算干净 卫生间也比较干净', '短评打分': 3}
{'短评内容': '经济实惠的小酒店！不错。就是门面小点！', '短评打分': 3}
{'短评内容': '入住满意，服务好', '短评打分': 3}
{'短评内容': '环境卫生还是可以，只是冬天房间的空调制热效果有些欠佳。', '短评打分': 5}
