{'descr': '位置不错，还有停车大院，卫生不好，屋里有很多小蜜虫，服务还好，设施就差了很多，空调是坏的，晚上冻醒了。卫生间的洗浴门关不严，没有刮胡刀，墙上的画是不是该换一下都出鹅淋了。冻了一宿，大家以后入住这家酒店一定要先试一下空调。', 'star': 4}
{'descr': '10月4号晚住那儿，房间条件一般，卫生较差，卫生间味道很大，早餐非常差，连个鸡蛋都没有。最让人气愤的是服务态度极差，前台服务员说每天早餐只提供十个鸡蛋，第十一个人就没鸡蛋吃了，10月5号早晨吃早餐时因为早餐太差，连个鸡蛋都没有，服务员态度恶劣，好几位旅客与他们发生激烈争执，其中有一位北京来的老太太与他们争执了好长时间，把老太太气的够呛，这是我出差住店中遇到的服务态度最差的酒店，这样的酒店千万别住！', 'star': 2}
{'descr': '设备老旧，床睡着感觉下面我一条一条钢筋，早餐就点粥和馒头，我看一眼就没吃出去了', 'star': 4}
{'descr': '不错', 'star': 5}
{'descr': '房间设施一般，空间很大，有味道', 'star': 4}
{'descr': '，，', 'star': 5}
{'descr': '还好', 'star': 5}
{'descr': '环境很好，服务态度也很好。以后有机会还会去的?', 'star': 5}
{'descr': '住的次数太多了！', 'star': 5}
{'descr': '考虑价格后，其他都能接受！', 'star': 5}
{'descr': '换了一次房间，热水器坏了。环境还可以', 'star': 4}
{'descr': '差', 'star': 2}
{'descr': '差', 'star': 2}
{'descr': '还可以！！！！！！！！！！！！', 'star': 5}
{'descr': '不错，有早餐！', 'star': 5}
{'descr': '酒店很好！出差住的不错！推荐', 'star': 3}
{'descr': '酒店地理位置很好，就在北广场，我们早上到的比较早，也给安排了房间，但是这个房间是最旁边的，小电视，wifi不好使，当时没太在意，先出去玩了一天，晚上回来发现空调也不好使，开始说是没有开，4小时开一会，后来出去发现走廊都比屋里凉快，而且空调风很大，再次联系，有个师傅过来看确认空调坏了，晚上11点多了，说给我们换个房间，本来不想折腾，但是太热就换了，这个房间在中间，空调好，大电视，wifi也好，之后就', 'star': 5}
{'descr': '酒店地理位置很好，就在北广场，我们早上到的比较早，也给安排了房间，但是这个房间是最旁边的，小电视，wifi不好使，当时没太在意，先出去玩了一天，晚上回来发现空调也不好使，开始说是没有开，4小时开一会，后来出去发现走廊都比屋里凉快，而且空调风很大，再次联系，有个师傅过来看确认空调坏了，晚上11点多了，说给我们换个房间，本来不想折腾，但是太热就换了，这个房间在中间，空调好，大电视，wifi也好，之后就', 'star': 5}
{'descr': '性价比不错，房间环境一般，含早餐。', 'star': 5}
