{'descr': '还可以吧？', 'star': 4}
{'descr': '还可以啊，', 'star': 4}
{'descr': '很一般酒店，太旧了～', 'star': 3}
{'descr': '挺好', 'star': 5}
{'descr': '没早餐，不能加床，可以带孩子，位置很好，没停车场', 'star': 5}
{'descr': '勉强可以接受', 'star': 4}
{'descr': '京东服务真方便，不光是购物了。', 'star': 5}
{'descr': '简单大方', 'star': 5}
{'descr': '一般，订房还是快捷，只是中间商差价大', 'star': 4}
{'descr': '还可以吧快捷酒店', 'star': 5}
{'descr': '前台服务态度超级好，房间特别干净，位置也挺好出酒店过个天桥就到步行街了。非常满意的一次住宿?', 'star': 5}
{'descr': '还可以 就是特价房会小一点 便宜还是很便宜的', 'star': 5}
{'descr': '还不错。。。。。', 'star': 5}
{'descr': '不错。。。。。。。。。', 'star': 5}
{'descr': '我一般都是住7天很好不错', 'star': 5}
{'descr': '可以', 'star': 5}
{'descr': '房间可以但是空气怎么说呢', 'star': 5}
{'descr': '可以不错卫生也好', 'star': 5}
{'descr': '好', 'star': 5}
{'descr': '来重庆好多次了、一直住他们家、真心不错、干净卫生、服务也好、而且交通也非常方便、吃的也特别多、重庆火锅不摆了', 'star': 5}
{'descr': '还不错，出行方便，安静', 'star': 4}
{'descr': '第一次来重庆 有点不熟悉。在携程上订了这家7天。到店后发现很不错，服务态度好。给人感觉亲切。房间干净卫生 挺不错', 'star': 5}
{'descr': '房间内味道很大，其他都不错', 'star': 5}
{'descr': '停车不是很方便，如果是开车前往提醒慎重选择。', 'star': 5}
{'descr': '\u2005这次陪家人过来旅游，想了很久，还是选择全国连锁的7天酒店，感觉要正规些，出来旅游安全第一嘛。说说这家店吧，昨天我们一家人一到酒店大堂，他们的前台小妹就非常热情的说欢迎光临，前台妹妹还给我儿子送了一盒牛奶，把我儿子高兴得不行。进入房间后，房间不错，干净卫生，简单大方。舒畅多了。床睡着也很舒服，说是雅兰床垫。另外他们家的楼层服务员也很好，大姐们见到我们都很热情。周围吃饭，逛街都也方便，观音桥附近有很', 'star': 5}
{'descr': '不透气', 'star': 4}
{'descr': '还不错', 'star': 4}
{'descr': '床太小了，隔音效果不好，不通风，什么都不方便', 'star': 3}
{'descr': '酒店前台工作人员服务态度较差。', 'star': 3}
{'descr': '很好', 'star': 5}
