{'descr': '有免费停车位', 'star': 4}
{'descr': '有免费停车场', 'star': 5}
{'descr': '所有逗还可以，就是硬件有点不理想', 'star': 5}
{'descr': '酒店周边环境不错，服务态度也不错，就是房间设施一般，', 'star': 4}
{'descr': '酒店的位置离地图显示的还是有些距离，离延安西路站骑共享单车的话大概8分钟左右。很喜欢卫生间的格局，洗澡和厕所是分开的。唯一不好的是隔音效果差，隔壁的讲话声，楼上的上楼声，听的一清二楚。第二天下楼的时候突然发现一个自助餐厅，装修的也很别致。', 'star': 4}
{'descr': '酒店有一个小的停车场，免费的，这个很难得。离中山公园很近，共享单车骑过去很方便。但是我住的时候，旁边有个建筑物在拆迁，连着三天早上都是很早的时候就被垃圾车的声音吵醒，另外就是马桶居然在淋浴房里，洗完澡之后穿着纸拖鞋就没法再进去了。不过这个价格在这个地段，性价比超高', 'star': 4}
{'descr': '有点不太好找，还成吧。定的房间的窗户是内床，屋里空气不流通', 'star': 3}
{'descr': '房子不错。住的还行。', 'star': 5}
{'descr': '地方难找，出租车司机都没找到。', 'star': 3}
{'descr': '虽然旧房间，总体满意！', 'star': 4}
{'descr': '地方偏到离谱，房间小到离谱，而且在一楼，大半夜窗外的吵闹声让人睡不着，如果不是错过了回杭州的高铁，绝不会住', 'star': 4}
{'descr': 'OK 可以了', 'star': 5}
{'descr': '房间特别小，真的是让我一通好找，表示伤不起，房间特别小，一点儿也不隔音，上海房价贵，真是相当可怕！', 'star': 3}
{'descr': '还可以', 'star': 5}
{'descr': '房间不是太大，停车场较小，我们去的时候都停满了，只能又出了钱停车！周边叫车还是挺方便的！总体来说对得起这个价位了！', 'star': 3}
{'descr': '方便快捷', 'star': 5}
{'descr': '如家真的像它的名字一样。如同自己家的感觉。房间大小合适。早餐也可以。价格也不贵。非常适合商务出差。最主要的是住的安心！', 'star': 4}
{'descr': '感觉交通不是特别方便。但是每次来上海都住这里也已经习惯了。房间大小正合适，特别是一个人住。如果2个人住估计有点小。', 'star': 4}
{'descr': 'WIFI太慢了，入住登记太慢', 'star': 4}
{'descr': '环境不错。挺好的。就是不太好找！', 'star': 5}
{'descr': '还可以', 'star': 5}
{'descr': '好', 'star': 5}
{'descr': '参加订货会，位置很好，也比较干净', 'star': 5}
{'descr': '房间太小，离地铁步行十五分钟，总体还可以', 'star': 5}
{'descr': '地方有点偏  但是很安静适合好好休息  也挺干净的', 'star': 5}
{'descr': '不错环境也蛮好的', 'star': 3}
{'descr': '酒店什么都可以就是位置太不好找了，而且那附近太多如家酒店了，容易找错。\n还有就是大门进口附近有个垃圾站，让人看着很不爽。', 'star': 5}
{'descr': '比想象中的好,定的是无窗的,前台小姐主动免费给我换了间带窗的 ! 不过离地铁站有点小远,没大件行李倒可以轻松点不觉得远!', 'star': 3}
{'descr': '环境很好，很安静。楼梯的设计很不错，服务人员态度也都很好，见面都会问候下。', 'star': 5}
{'descr': '非常好的如家店，以后还会朱那里!他和其他如家房间设计不一样，淋浴房特别前卫!服务态度也非常好!', 'star': 3}
{'descr': '离地铁站稍稍偏了一点，不过价格很划算了。房间挺大的，整洁干净，浴室是透明的哦', 'star': 5}
{'descr': '有点难找到这家门店，但是价格还算挺好的，所以也就这样 还是老问题 房间有点小', 'star': 5}
{'descr': '房间里感觉好大的味道，感觉不是很舒服，不推荐', 'star': 1}
{'descr': '总体还可以，就是房间有些味道，隔音不是很好', 'star': 5}
{'descr': '稍稍难找些，不过比较安静，也比较干净，只有两层楼，还是不错的。', 'star': 5}
{'descr': '不错，就是在巷子里，比较难找。', 'star': 3}
{'descr': '出行方便，去人民广场很方便，但酒店房间小了点', 'star': 3}
{'descr': ' 里面还不错的  以后会再考虑可', 'star': 3}
{'descr': '  地段很好，闹中取静，热水很好，这个价位还是很好的啦！', 'star': 3}
{'descr': '房间很舒服，订的是特惠大床房就是卫生间里洗澡了水会堵住，希望可以清理一下，第二次住这边了，会一如既往的选择的', 'star': 5}
{'descr': '之前就住过的。感觉非常好。这次的特价房给安排在了楼上，还有窗户。在这个价位来说很难的了。更可贵的一点是，酒店的所有服务人员见到客人都会很亲切的说你好，感觉特别温暖。', 'star': 5}
{'descr': '如家的服务一向都不错。这一家也不例外。环境干净、舒适，服务人员耐心有礼貌，相比同类型的其他经济酒店要好很多。不过我住的这间房一进门有闻到烟味，不知道是不是上一个房客留下来的。空调有点小噪音。不过都不是什么大问题。总体很满意。以后还会考虑。', 'star': 5}
{'descr': '如家一如既往的干净舒服，服务态度也很好。这次住了两天干净很好，就是住一楼有点操心。', 'star': 5}
{'descr': '酒店不错。我常去住的。推荐给大家。交通业方便。房间也比较干净。', 'star': 5}
{'descr': '房间干净整洁，装修的很温馨，床也很大，就是隔音效果不太好', 'star': 5}
{'descr': '闹中取静，就是房间小了点，淋雨花洒方向不能调节建议改进。', 'star': 3}
{'descr': '酒店不错。经常住如家。这家店交通方便。以后再来吧。', 'star': 5}
{'descr': '酒店服务什么的都还ok，但是房间小隔音特差，这个是硬伤', 'star': 5}
{'descr': '以后应该在成功预定后向预留客户的电话号吗发送详细入住地址。这么多家如家，叫外地客户怎么找啊？？', 'star': 3}
{'descr': '位置太偏了，也不好找。其他的还好，卫生比较干净，服务态度好', 'star': 1}
