{'短评内容': '环境一般，地理位置还可以', '短评打分': 4}
{'短评内容': '酒店设施完善，24小时热水。网络电视很清晰。免费WiFi共享很棒！床单很整洁，大厅干净整洁，房间通风好，前台服务很热情，一次非常满意的入住。酒店设施完善，24小时热水。网络电视很清晰。免费WiFi共享很棒！床单很整洁，大厅干净整洁，房间通风好，前台服务很热情，一次非常满意的入住。酒店设施完善，24小时热水。网络电视很清晰。免费WiFi共享很棒！床单很整洁，大厅干净整洁，房间通风好，前台服务很热情，', '短评打分': 5}
{'短评内容': '全耕卫生#房间很大、很干净，房间窗户很大，通风好，空气清新，没有异味，床单被套洁白无瑕，房间设备齐全，电视很大，空调也是新的，Wi-Fi信号很强，浴室淋浴也很绐力，房间装修时尚，居住起来给人安全感，前台和客房服务员很热情，服务态度超赞..酒店位置特别别赞。办理入住时，前台服务很好,大堂干净整洁,房间装修精致,光线又好，通风又好，让人感觉很舒服很安全,布草干净，卫生。床套铺盖的很整洁,房间装修色调温', '短评打分': 5}
{'短评内容': '房间装修好，设施齐全，网络快，热水快，房间宽敞很通风，没有气味，空气很清新，服务好，客房大姐服务很热情，房间打扫非常干净，床单被套也很干净，封包浴巾干净卫生，晚上有保安巡楼住的安全放心，前台服务很好。', '短评打分': 5}
{'短评内容': '房间的卫生做的非常好，床单洁白，房间的空气也很好，没有味道，服务态度也不错，酒店在小区内，让人觉得很安全，房间装修很好，无线用起来很快很好，电视也很新，屏幕清晰很好看，看起来爽。洗澡水很快就出来，洗的很舒服，哈哈～', '短评打分': 5}
{'短评内容': '房间装修是我喜欢的风格，卫生间有吹风机方便很好，房间干净整洁舒适，房间的布草也很干净，房间空气清新，网络快，空调制冷效果很好，24小时热水不间断的淋浴很舒服，电视清晰屏幕很大看，\xa0服务态度很好，价格便宜，环境也好，所在的位置方便快捷，晚上还有保安巡逻安全非常安全，前台24小时也有人，觉得很好很安全，性价比超高的！！\xa0', '短评打分': 5}
{'短评内容': '说真的挺一般的，没有七天的品牌形象，可能跟位置有关吧，但希望更加用心努力', '短评打分': 3}
{'短评内容': '☞', '短评打分': 5}
{'短评内容': '价格还是蛮便宜的 而且地理位置方便 酒店内也是蛮满意的！！比我想象的干净整洁 设施也蛮齐全 很划算的哦', '短评打分': 5}
{'短评内容': '感觉很好，附近交通很方便。街上很多好吃的，', '短评打分': 5}
{'短评内容': '很赞，去过很多次，服务真心棒棒哒，房间也很干净，干净，干净，干净，干净，干净，干净，干净，干净，干净。', '短评打分': 5}
{'短评内容': '很赞，去过很多次，服务真心棒棒哒，房间也很干净，干净，干净，干净，干净，干净，干净，干净，干净，干净。', '短评打分': 5}
{'短评内容': '房间有点小，其他都不错', '短评打分': 4}
{'短评内容': '挺不错的', '短评打分': 5}
{'短评内容': '太吵，空调声音太大了，隔音效果也不好，卫生还可以', '短评打分': 4}
{'短评内容': '200多这样的环境不太值，不过没办法了，我觉得150才是合理的价格', '短评打分': 5}
{'短评内容': '非常好，环境不错，好停车', '短评打分': 5}
{'短评内容': '地理位置.吃喝都比较方便.就是太吵了，楼下是台球室.真是睡不着.间隔两分钟就有咚咚的声音，好像是球掉在地上的声音.真是折磨.一直熬到凌晨两点半才睡着.', '短评打分': 4}
