{'descr': '到南站很方便，不错！', 'star': 5}
{'descr': '早餐有没有', 'star': 4}
{'descr': '酒店环境还可以 离地铁口很近 交通蛮方便', 'star': 5}
{'descr': '位置不错，就在地铁口旁', 'star': 4}
{'descr': '感觉还好吧，在一个小区里面，距离地铁还很近，还算满意吧', 'star': 5}
{'descr': '不错，干净卫生，服务很好，相信京东', 'star': 5}
{'descr': '隔壁就是地铁站，去北京南站很方便。', 'star': 5}
{'descr': '说实话，酒店蚊子超级多，空调的味道也很大，真的很大，这种连锁酒店都一样，不会舍得花钱去清洁空调的。下次宁可多花点钱，不会再住连锁酒店了。', 'star': 1}
{'descr': '好好好好好好', 'star': 5}
{'descr': '房间很好，很干净，不错。', 'star': 5}
{'descr': '。。。。。。。。。。', 'star': 5}
{'descr': '能不去就不去&hellip;&hellip;太潮了&hellip;&hellip;我订的水床嘛？', 'star': 1}
{'descr': '在小区里，很安静，服务态度很好', 'star': 5}
{'descr': '还没去很强势哈哈一直用7天', 'star': 5}
{'descr': '和此卖家交流，不由得精神为之一振，自觉七经八脉为之一畅，我在京东买了这么多年，所谓阅商无数，但与卖家您交流，我只想说，老板你实在是太好了，你的高尚情操太让人感动了，本人对此卖家之仰慕如滔滔江水连绵不绝，海枯石烂，天崩地裂，永不变心。交易成功后，我的心情是久久不能平静，自古英雄出少年，卖家年纪轻轻，就有经天纬地之才，定国安邦之智，而今，天佑我大中华，沧海桑田5000年，神州平地一声雷，飞沙走石，大雾迷天，朦胧中，只见顶天立地一金甲天神立于天地间，花见花开，人见人爱，这位英雄手持双斧，二目如电，一斧下去，混沌初开，二斧下去，女娲造人，三斧下去，小生倾倒。得此大英雄，实乃国之幸也，民之福，人之初也，怎不叫人喜极而泣&hellip;&hellip;看着交易成功，我竟产生出一种无以名之的悲痛感&mdash;&mdash;啊，这么好的卖家，如果将来我再也遇不到了，那我该怎么办？直到我毫不犹豫地把卖家的店收藏了，我内心的那种激动才逐渐平静下来，可是我立刻想到，这么好的卖家，倘若别人看不到，那么不是浪费心血吗？经过痛苦的思想斗争，我终于下定决心，牺牲小我，奉献大我。我要以此评价奉献给世人赏阅，我要给好评&hellip;&hellip;评到所有人都看到为止', 'star': 5}
{'descr': '位置还行，不太还找，从地铁出来以后要往后面走！我居然走错了！转了一圈才找到！', 'star': 5}
{'descr': '酒店位置优越，离地铁口近，住着安全，淋浴热水快，无线网快，布草干净卫生，前台服务好', 'star': 5}
{'descr': '还可以。。。', 'star': 5}
{'descr': '&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;', 'star': 3}
{'descr': '地铁旁，交通方便，不讲究的可以考虑，价格也挺便宜的。', 'star': 5}
{'descr': '交通方便，地铁旁，不讲究就行了。', 'star': 5}
{'descr': '环境太差了，无法言语表达', 'star': 5}
{'descr': '还可以吧', 'star': 5}
{'descr': '还可以比较干净', 'star': 5}
{'descr': '还不错啊，比较方便，经济型酒店，蛮好的了', 'star': 4}
{'descr': '同事说很不错！', 'star': 5}
{'descr': '交通方便，价格还行', 'star': 5}
{'descr': '楼上楼同空调扇死你妹的人太多。困啊我看电视剧情需要什么样的人的时候回来吧大叔大妈大爷家啊啊啊吧睡吧。', 'star': 5}
{'descr': '交通方便，离地铁角门西站很近，两分钟。管理有点不规范，在办理登记入住的时候，两位小妹想赚房差，耽误了我们很多时间。', 'star': 4}
{'descr': '住了好几次了，感觉不错', 'star': 5}
{'descr': '不错、服务好、环境卫生很干净', 'star': 5}
{'descr': '返现呢？', 'star': 3}
{'descr': '返现呢？', 'star': 3}
{'descr': '不错 宽敞舒适 离地铁站近', 'star': 5}
