{'短评内容': '短暂呆了一会儿，后来改变行程了，没继续住', '短评打分': 4}
{'短评内容': '      环境超级好 可惜景区里没房了 下次早点去 以后还来  好评。                                ', '短评打分': 5}
{'短评内容': '酒店很好环境不错离景点近', '短评打分': 5}
{'短评内容': '临河不错，可惜是小支流，不是主流西塘河，雕花木床也不错，可惜这个床在上面睡不着觉！化了558元在床上睁着眼睛，看着破了个大口子的帐子，硬是不敢闭眼睡觉，阿弥陀佛，总算熬到了天亮，悔啊，没听老婆的话[擦汗][擦汗][擦汗]', '短评打分': 3}
{'短评内容': '房间陈旧了一点，因临河，房内湿气很重，充斥着一股梅雨味。房间面临的是辅河道，并不在主河道边。但老板娘买的月饼很好吃，为人也热情。', '短评打分': 3}
{'短评内容': '老板不错，冒着大雨来景区门口接我们。酒店的位置就在酒吧街边上，十分方便。 不爽的是我们清明节取得要500多块，过了节只要70多块.....这心里落差有点大。', '短评打分': 4}
{'短评内容': '住得不错，卫生挺好的。老板很热情，在车站接我们，帮我们买门票，教我们怎么去坐游船，有事打他手机。走的时候还送我们去车站。实在太感谢了！！', '短评打分': 4}
{'短评内容': '一分价钱一分货，环境是不咋的，床是绝对没有1米8的，被小孩挤的一晚上基本没睡着。酒吧倒是11点多准时歇业了，吵倒也不算吵。 老板夫妇人是不错的，龙凤胎也很可爱，羡慕下。', '短评打分': 3}
{'短评内容': '酒店在景区内，所以要住那里的话第二天不用买门票啦，老板老板娘人很好，下雨天还到车站接我们。', '短评打分': 3}
{'短评内容': '环境一般，距离烟雨长街那一带有点距离，，，在景区里，一入口的地方，床比较潮湿，前面是个小河沟，，，离理想中临河，看河里行船有很大差距，基本看不见，也没有，那是个死角。。，晚上睡觉还可以，不吵。。。。', '短评打分': 3}
{'短评内容': '600多的酒店  房间超级小  而且浴巾毛巾都没有，雕花床上灰尘很多，床帘也有破损，不过出去就是酒吧街，拐弯就是小吃街，地理位置不错，总体而言，性价比，，，呵呵', '短评打分': 3}
{'短评内容': '房间太小，就是个小旅馆，卫生条件差，被子脏兮兮，还是住外面宾馆号', '短评打分': 2}
{'短评内容': '定的斜塘就是冲着阳台秋千去的，不过和想像的不太一样，有点小失望。入住这要注意的是，塘东是酒吧一条街，晚上蛮吵的，当然如果你是泡吧爱好者，那无所谓了。总体还算可以。', '短评打分': 5}
{'短评内容': '入住后感觉挺不错，儿子很开心，就是洗澡水小了点', '短评打分': 3}
{'短评内容': '住的是客栈塘东的分店 在鲁家桥旁,不错的地理位置,方便出行～～有电脑，电视～无线没试过 不知道快不快。到西塘了 找不到酒店 打电话叫老板出来接了,但是下暴雨,老板还很细心多带了把伞～带我们进去 给我们讲吃的地方还有要注意什么。后来入住了 房间卫生间马桶坏了打个电话老板还来修,真是辛苦了  很满意', '短评打分': 5}
{'短评内容': '斜塘客栈就在桥边上风景一目了然,很干净，老板也很热情，下次还来入住．', '短评打分': 3}
{'短评内容': '房间一般 可能西塘客栈都那样吧……', '短评打分': 3}
{'短评内容': '西塘很美，去过西塘之后，我们又赶去周庄了，周庄和西塘给我的是两种不同的感觉，很喜欢西塘的美。去之前跟老板联系了，到门口接的我们，入住的房间朝南，有阳光，感觉也很好，唯一不足之处就是，人睡在床上，整个人凹进去了，细致观察，床板两头坏了，用绳子绑住，要是能改善一下，我想一定很好，希望老板能修理好。总之，还是不错的，可惜没有尝到该店的麦芽糖，呵呵！', '短评打分': 5}
{'短评内容': '老板很热情~~房间也升了等的~~不过古镇的硬件也只有那个样了，毕竟是去旅游嘛~', '短评打分': 5}
{'短评内容': '老板人超好，还送了吃的，很热情。位置也很好', '短评打分': 3}
{'短评内容': '老板人很好啊！把我们带到景区 请我们吃东西 相机没带充电器 还帮我们找充电器~~~退房的时候老板说把门锁上走就可以了~~哎 十分的信任啊 小感动、、、', '短评打分': 5}
{'短评内容': '对不起，这么晚才点评，感觉还是不错的，玩的很开心，老板娘老板都很热心，只是小小说下热水供应方面要提高哦，呵呵', '短评打分': 5}
{'短评内容': '实际不在烟雨长廊主道边，所谓的临河是一条靠近出口的普通水道，对面是麻将馆，面积很小。住着不舒服。价格比景区主河道边的价格差不多或还高，性价比很不高', '短评打分': 1}
{'短评内容': '这家店真心不错，老板很好人，很好说话，还带我们进去，有什么需要都马上帮忙，相当推荐，价钱也很合适~  满分，5星是必须的！', '短评打分': 5}
{'短评内容': '很安静，服务挺好', '短评打分': 3}
{'短评内容': '老板很热情，帮助接站送站，住的雕花大床房，房间隔音不好，看到一只好大的黄色蟑螂精，地点就在西塘景区内靠近美食街，方位不错', '短评打分': 5}
{'短评内容': '没有牙膏、浴冒也没有，位置不错，卫生条件不怎么样！', '短评打分': 3}
{'短评内容': '老板人非常好，服务很周到，下雨天还亲自到汽车站接我们。很感谢！  房间虽然有点小，但很实惠，很干净，住着很舒服。老板父母也很热情，还送了小吃给女朋友吃，女友特别喜欢。窗口正对西塘主桥，出行很方便，景色特别好!下次再去西塘，还选择斜墉客栈！', '短评打分': 5}
{'短评内容': '老板很客气随和，住的房间也蛮满意。如果不是特别的需要住在河边，住这里是很不错的。', '短评打分': 5}
{'短评内容': '雕花大床很有特色，老板真诚，还送了好吃的冰饮给我们。', '短评打分': 5}
{'短评内容': '店主服务很好，很热情，第一次去对路不熟悉，亲自去接我们，还帮忙买了返程的车票。位于西街，地理位置好。', '短评打分': 5}
{'短评内容': '不错不错，环境好极了，态度很好伐', '短评打分': 3}
{'短评内容': ' 提前联系的老板，亲自去接站，老板的父母特别热情！住的雕花电脑景观房，房间确实有些小，洗手间缺少排风装置，花洒流量有点小，洗澡不太畅快。床单挺干净的，屋子设计的很有特色。', '短评打分': 3}
{'短评内容': '老板人很好，给我们介绍了很多地方特色，还送了我们麦芽糖。。', '短评打分': 3}
{'短评内容': '总的来说太满意了！宾至如归的感觉，老板像是邻家小妹妹可爱热情，主动到车站接，并且走的时候还把我送到了坐车的地方，非常感激ing。并且根据我的个人喜好推荐了当地特色的景点、好吃的小吃，怎么玩好、怎么吃好都详细介绍，居住的房间也好的没话说，观景房、干净卫生，特色的雕花床，木地板，阳光透过窗户射进来，感觉舒服极了，非常的西塘小镇。很适合散心的时候去，有机会下次带上朋友再去感受下。。。', '短评打分': 5}
{'短评内容': '住家客栈，麻雀虽小，五脏俱全。\n亮点是有个小阳台，面对西塘中心的凉亭和环秀桥，可以在阳台上荡荡秋千，或者弄壶小茶喝喝。\n缺点是不临水，在西塘中心，稍有点闹。', '短评打分': 5}
{'短评内容': ' 非常不错，下次来还住这', '短评打分': 3}
{'短评内容': '老板还是很热情的，只有一点给其他旅客的意见，如果您想睡得舒服一点，还是不要睡雕花大床了，那个床就想我们小时候玩的弹簧床，两个人睡的话会挤到中间，有点累啊！', '短评打分': 5}
{'短评内容': '斜塘客栈真的很不错，就在景区最前面，很方便哦～雕花大床很复古很值得哦，老板人也很好，到车站来接我们。临河的房间还有小阳台。', '短评打分': 3}
{'短评内容': '非常好 ，性价比很高，老板很热情 ，包接包送，还送吃的。', '短评打分': 5}
{'短评内容': '邻水 还不错', '短评打分': 3}
{'短评内容': '房间虽小但干净、配备设施齐全。雕花大床睡着还挺舒服！', '短评打分': 3}
