{'短评内容': '环境不错，就是有一张床较小。', '短评打分': 5}
{'短评内容': '总体还不错，位置很好，旁边就是万达', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '前台专业程度一般般', '短评打分': 5}
{'短评内容': '挺干净的，经济实惠', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '位置非常好，单位给客人预定的，客人很满意。提供晚餐和早餐，不必到外面去解决，出门就是万达广场，相当便利。', '短评打分': 5}
{'短评内容': '还不错！还算干净', '短评打分': 5}
{'短评内容': '本次酒店是给爸爸妈妈定的，本来只住2晚的，后来因为其他事情有续订了3晚。总的来说是一次非常棒的体验，酒店位置也很好，出门就是万达广场，购物吃饭否很方便，交通也很便利，下次会继续住这里的。赞哦', '短评打分': 5}
{'短评内容': '地段和卫生都不错，但是有两个问题。一，停车不方便。二，房间隔音太差太差', '短评打分': 4}
{'短评内容': '品质不错，匹配经济连锁酒店的定位', '短评打分': 4}
{'短评内容': '第二次入住，感觉不错。但房间里没有配纯净水，比较诧异。', '短评打分': 5}
