{'短评内容': '很干净，不错。还会再来', '短评打分': 5}
{'短评内容': '挺干净的，性价比很高！', '短评打分': 5}
{'短评内容': '环境很好 很舒适', '短评打分': 5}
{'短评内容': '在旁边技师学院考试订的，很近就在旁边，地理位置还是不错的，下公交就能看到，很好找。周围还挺安静就是隔音不好当天估计很多考试的住这里所以走廊上有点吵。开了空调很多黑色的脏东西出来，二插一个插了蚊香后只剩床头一个二插，手机只能轮流充。旁边弄堂里吃的炒饭好贵将就的吃吧。', '短评打分': 4}
{'短评内容': '很不错，都不错', '短评打分': 5}
{'短评内容': '还是不错的，价格也还可以呀', '短评打分': 5}
{'短评内容': '没早餐，房间很小，被子很旧，地板非常滑，很容易滑倒受伤，位置不错，', '短评打分': 2}
{'短评内容': '没有早餐，脏乱差', '短评打分': 3}
{'短评内容': '位于市中心繁华地段，逛街、吃饭、娱乐都很方便，强力推荐！房间大、出行方便，设施有点陈旧    性价比高，不错', '短评打分': 5}
{'短评内容': '两栋楼挨着 对面开空调声音很大 房间小 收拾得不干净', '短评打分': 1}
{'短评内容': '酒店还行', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '真心一般，要不是离女朋友家近，绝对不住', '短评打分': 3}
{'短评内容': '还行，挺方便的，交通快捷', '短评打分': 3}
{'短评内容': '毛巾旧的很，沐浴喷头坏的。', '短评打分': 3}
{'短评内容': '一楼房间有点霉味，毛巾时间太旧了，其他还好。', '短评打分': 4}
{'短评内容': '环境一般吧，隔音太差。主要就是离我住的地方近。', '短评打分': 3}
{'短评内容': '整体感觉还不错…………就是空间不是很大', '短评打分': 3}
