{'短评内容': '房间隔音效果不好，晚上吵死了！', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '去市场方便，走路就到', '短评打分': 5}
{'短评内容': '房间温度比较高，温暖得热了，位置有点偏', '短评打分': 4}
{'短评内容': '早餐很差，其他也一般，就是太旧了', '短评打分': 3}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '性价比很好的一个酒店 早餐差了点 好在离机场近 离办事的地点也很近', '短评打分': 4}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '好好好好好。很好很好很好很好。非常好非常好非常好非常好非常好非常好。好好好好好。很好很好很好很好。非常好非常好非常好非常好非常好非常好', '短评打分': 5}
{'短评内容': '休息一下还是可以的', '短评打分': 5}
{'短评内容': '交通方便，实惠。', '短评打分': 5}
{'短评内容': '环境很好，服务也不错，就是早餐需要改进', '短评打分': 5}
{'短评内容': '设计师的还是哈九点半的还是金山毒霸', '短评打分': 4}
{'短评内容': '刚进去房间有一点异味，总体还不错', '短评打分': 4}
{'短评内容': '一般，感觉这边的酒店都差不多', '短评打分': 5}
{'短评内容': '差劲，与网络介绍不相符，被子有霉味', '短评打分': 2}
