{'短评内容': '位置便利，居住舒适。', '短评打分': 5}
{'短评内容': '挺好呀，性价比很高', '短评打分': 5}
{'短评内容': '酒店太差了、住着不舒适', '短评打分': 1}
{'短评内容': '交通方便，离会展中心较近。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '这里离会展中心近，方便。不错！环境不错，干净卫生。主要是离开会的地方近，风景不错，大床舒服，早餐也不错', '短评打分': 5}
{'短评内容': '一次比较满意的住宿，早餐不给力', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '帮别人订的', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '花洒坏了，冲个凉，好辛苦大冬天的，周边工地施工吵点，酒店一瓶矿泉水都没，入住一定要买好水，其他都还行吧！', '短评打分': 4}
{'短评内容': '房间稍微有一点味道  但挺干净的 地点位置比较偏吧  外面一直在盖楼很吵 但是食堂的早饭不太好吃  各种咸菜加粥', '短评打分': 5}
{'短评内容': '差得不得了，啷个都不值该价', '短评打分': 1}
{'短评内容': '床很舒服。枕头合适。 蚊子咬，旁边加油站太近了。 贵', '短评打分': 4}
{'短评内容': '酒店环境一般般，早餐也一般般', '短评打分': 4}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '周边环境一般，但比较安静，还算正常', '短评打分': 3}
{'短评内容': '入住流程让我生气.', '短评打分': 3}
{'短评内容': '偏僻...周边鸟不拉屎...离前埔BRT2公里左右...在一个加油站上面...外观一般...住的也一般...从入住开始经历了加收4%政府保护费/闭路停电/空调跳闸/全楼停电/洗澡停电...被子睡得全身痒...早餐也一般', '短评打分': 1}
{'短评内容': '凯斯特会展店价位太高，早餐很差，没东西吃。', '短评打分': 3}
{'短评内容': '还行，就是不好拦的士，停车位没人看车,还行', '短评打分': 5}
{'短评内容': '房间比较大，距离软件园比较近。\n卫生没处理好，地毯有很多头发瓜子壳之类的杂物；设施陈旧，有破损却不补修、更换', '短评打分': 1}
{'短评内容': '房间设备太差了，电视机居然是21寸显像管的，卫生间非常小，不舒服', '短评打分': 1}
{'短评内容': '还行，就是不好拦的士，停车位没人看车', '短评打分': 3}
{'短评内容': '环境不错，价位合理，物有所值，是个理想的去处。', '短评打分': 5}
{'短评内容': '本次入住极不满意.', '短评打分': 3}
