{'短评内容': '落地窗很给力，房间宽敞', '短评打分': 5}
{'短评内容': '位置好，离地铁近，吃饭方便', '短评打分': 4}
{'短评内容': '房间有股消毒水味道，卫生间打扫不干净，马桶上还有毛发。电视坏的，然后整体房间的话配不上豪华一说。还有就得吐槽上楼的电梯。聆包的不好上楼。', '短评打分': 4}
{'短评内容': '周边有很多饭店，小吃。店员服务超级棒。谢谢你们', '短评打分': 5}
{'短评内容': '挺不错的，附近吃东西也方便，地铁也近，房间住起来也蛮好的，标间的床两张和一起，比大床房的床还大，不错的方法', '短评打分': 5}
{'短评内容': '挺好 周边挺方便', '短评打分': 5}
{'短评内容': '房间大、干净舒适，离诚品书店、久光百货、圆融购物中心都很近', '短评打分': 5}
{'短评内容': '环境还可以，订了一间大床房，比较安静', '短评打分': 5}
{'短评内容': '整体马马虎虎，设施还是比较差一点，房间大小倒可以接受。酒店位置还挺方便，超市吃饭都有，地铁站很近，挺方便', '短评打分': 3}
{'短评内容': '设施一般建议自己带好肥皂！我们这次房间都没有肥皂，不过离会展中心还是蛮近的！吃也比较方便…', '短评打分': 4}
{'短评内容': '酒店卫生真差，到处都是灰，隔音效果差，晚上隔壁说话清楚的很，不值这价格', '短评打分': 2}
{'短评内容': '唯一的缺点，比较吵，隔音不好，热水温度不稳定，性价比非常高。', '短评打分': 4}
{'短评内容': '还可以吧', '短评打分': 4}
{'短评内容': '卫生一般，胜在出行方便，吃饭方便，所以每次都选择住在这里', '短评打分': 5}
{'短评内容': '还行，下次还住', '短评打分': 4}
{'短评内容': '房间整洁，干净，在园区出行很方便！地铁应在边上！', '短评打分': 5}
{'短评内容': '就是有味道…刚装修…………………………不舒服', '短评打分': 5}
