{'短评内容': '还可以，早餐很丰盛。停车也方便。', '短评打分': 5}
{'短评内容': '很不错的酒店每次去都住那', '短评打分': 5}
{'短评内容': '一般，房间灯关不好', '短评打分': 3}
{'短评内容': '早餐很丰富，服务员态度很好。前台交代注意事项很清楚明白，态度亲切。而且距离，轻轨站只要步行十分钟。出门，过马路就是新光天地很方便。', '短评打分': 5}
{'短评内容': '新酒店干净', '短评打分': 5}
{'短评内容': '不错的旅馆。。。', '短评打分': 4}
{'短评内容': '酒店内装非常好，不是一般的酒店能相比较的。非常好。非常有特色。。', '短评打分': 5}
{'短评内容': '常住的酒店，非常好', '短评打分': 5}
{'短评内容': '每次回去开会都住这里，性价比超高，很干净且舒适', '短评打分': 5}
{'短评内容': '酒店房间可以，价格值。很安静。', '短评打分': 5}
{'短评内容': '每次來重庆出差，总是选一家地理位置方便的酒店，一如既往。。。。。交通方便，公交車站、地铁站都在周边！', '短评打分': 4}
{'短评内容': '符合商务出差要求', '短评打分': 4}
{'短评内容': '一如既往。。。。。舒心。。。。。安靜。。。。。交通方便。。。。。每次到重庆出差，都会选擇君頓系列酒店。。。', '短评打分': 4}
{'短评内容': '房间隔音一般，楼上自助早餐也不错，总体来说满意满意满意满意满意满意满意满意满意满意满意满意满意满意满意', '短评打分': 5}
{'短评内容': '酒店离分公司近，吃住都还不错的', '短评打分': 4}
{'短评内容': '很不错，干净，卫生，有早餐', '短评打分': 5}
{'短评内容': '我是11月19~11月22日入住这个酒店的，很差，因为忙忘了给差评。今和同事聊天，忍不住内心的愤怒，过来补个差评！！    我们入住的时候在电梯碰到一个哥们，两天前入住才199一晚，结果在展会期间就涨到四百多，四百多还是没有窗户的。很理解展会期间酒店涨价，但也不能这么这么狠吧！ 也得根据实际情况适可而止吧！对了四百多还是网上订的，预付，想退都不行，前台订要五百多。。。即便涨了，相关服务也得跟上吧，', '短评打分': 2}
{'短评内容': '环境不错，下次还会选这里', '短评打分': 5}
{'短评内容': '总体可以，卫生设施都不错，酒店早点也丰盛，酒店外卖非常可以，就是房间没有窗户比较不好', '短评打分': 4}
{'短评内容': '酒店房间不错！早餐也不错！但楼下吃的较少，离地铁站稍远。还有携程地图上的位置标注错了。', '短评打分': 4}
