{'短评内容': '酒店前台办事效率太低', '短评打分': 4}
{'短评内容': '吃饭不太方便，总体一般。', '短评打分': 4}
{'短评内容': '不错的选择，可以推荐，对面永和豆浆，也方便', '短评打分': 5}
{'短评内容': '第二次入住，非常满意', '短评打分': 5}
{'短评内容': '很不卫生', '短评打分': 3}
{'短评内容': '环境，卫生，服务都很好。', '短评打分': 5}
{'短评内容': '房间不错，干净整洁。', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '环境很好，下次还会选择这里！', '短评打分': 5}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '感觉没啥说的了，本来再次入住会感觉更加亲切，但一切都错了，市场经济，只有钱才能解决一切，其他都是骗人的谎话，世上真是没有天上掉馅饼的好事。下次还住吗？？？？？？', '短评打分': 3}
{'短评内容': '设备设施有点旧了，但还是保持了四星的水准。硬床睡得蛮舒服的，也够安静，周边吃饭、购物方便。前台有个服务员在咨询的时候始终板着脸，爱理不理的，后来人家才说是专门为韩国人服务的。', '短评打分': 5}
{'短评内容': '很好很干净', '短评打分': 5}
{'短评内容': '挺好', '短评打分': 4}
{'短评内容': '酒店卫生很好，环境很好，服务很好，设施也很好。', '短评打分': 5}
{'短评内容': '洒店位置很好，性价比超值，房间布局很人性化。布草超干净整洁，赞一个', '短评打分': 5}
{'短评内容': '酒店环境还可以，就是早饭太差了', '短评打分': 4}
{'短评内容': '酒店新，房间大，就是空调声音有点大', '短评打分': 5}
{'短评内容': '酒店总体来说还算可以吧，但是作为一个四星级的酒店，貌似感觉少了那么点奢华的感觉，有点太朴实了。', '短评打分': 5}
{'短评内容': '一般，贵', '短评打分': 3}
{'短评内容': '房间还是不错的,马马虎虎,稍微有些陈旧,早餐马马虎虎,晚餐的自助也还可以,一个人出差自己吃饭还是很好的选择\n', '短评打分': 5}
{'短评内容': '服务还行，酒店的早餐份量少，每次吃的时候都没有了。。。', '短评打分': 5}
{'短评内容': '自助餐很不错,地点也不错，就是房间有点旧了', '短评打分': 5}
{'短评内容': '还算不错吧，不过这个价格跟市内同等的酒店比略贵些。在开发区还算可以', '短评打分': 5}
{'短评内容': '大连开发区还不错的中高档酒店。跟早餐的厨师学习了煎蛋的技巧，回家试试。', '短评打分': 5}
{'短评内容': '在大连开发区，对比银帆、金元等酒店，这家酒店的性价比还是不错的，朋友、客人来了都是住在这里。', '短评打分': 5}
{'短评内容': '如有选择还不要住这酒店，398不便宜啊。没免费的水，早餐一般，房间一般，住了五天，从来没有服务员会向你问好，看到了就像没看到。拿了两个箱子觉得走旋转门不安全，想从侧门出酒店，让门口的服务生帮忙开下门，竟然对我说，让我走自动旋转门。结果，我放下箱子，自己开的门。\n我对酒店服务没有特别的要求，不过拿了两个拉杆箱，背一个电脑包，出酒店，门口的服务生没问好，没帮我开门，我还是第一次碰到。除非住经济型酒店，', '短评打分': 1}
{'短评内容': '价格一般般，398不算便宜的，但是房间很一般，绝对没有四星的标准，靠近卫生间的墙都因为潮湿有点起壳了，连免费的矿泉水都不给，不推荐', '短评打分': 1}
{'短评内容': '整体感觉不错。只是房间没提供免费的矿泉水。还有结帐时间比较久。', '短评打分': 5}
{'短评内容': '酒店自助餐住店客人60元，还不错。只是早晨自助餐东西也挺多', '短评打分': 5}
{'短评内容': '酒店大堂还是很大的，这是同事第四次入住，一如既往的支持，地脚很好，但是不显得吵闹，周围有很多特色的饭店', '短评打分': 5}
{'短评内容': '地脚很不错，周围有大大小小的饭店，门前设计挺大气的，房间也算温馨干净', '短评打分': 5}
{'短评内容': '价格还算实惠，自助餐还可以，就是房间里面有点怄味，需要注意。', '短评打分': 5}
{'短评内容': '早餐很丰富，交通方便。下次还会安排同事入住', '短评打分': 5}
{'短评内容': '酒店环境还不错，但是经常定不到大床房，有点遗憾。', '短评打分': 5}
{'短评内容': '早餐较简单，床品单薄，性价比还可以，\n3星半吧', '短评打分': 5}
{'短评内容': '酒店位置一般，房间设施一般，服务员态度不错，大厅的巴西烤肉也不错。', '短评打分': 5}
{'短评内容': '酒店很新，周围吃饭的地方（当地来说比较贵）也很多，下次还住这里', '短评打分': 5}
{'短评内容': '会向朋友推荐这家酒店\n价格有些高于同等其它', '短评打分': 5}
{'短评内容': '总体感觉一般吧，说不上好也说不上差，地里位置还不错，在开发区出差还是挺方便的', '短评打分': 5}
{'短评内容': '酒店还是不错的\n酒店还是不错的\n酒店还是不错的', '短评打分': 5}
{'短评内容': '酒店在海边，环境很好，安静', '短评打分': 3}
{'短评内容': '真正的败絮其中和北方无服务意识星酒店。大堂看上去还行 高级房的房间一点没有高级的感觉 也就是一般的三星级水平 但是在服务上 可以说0星级的 入住24小时以内发生了好多不能理解的事情。 举一个例子吧 早上起来看了一下时间9点半担心早餐没有了 打电话问总台 回答说十点结束 还可以吃。 赶紧2分钟以内下楼 看到的是早餐已结束的景象。 向总台询问 回答是 对不起 我们可以送一份到您房间 但是请您按照送餐标', '短评打分': 1}
