{'短评内容': '服务很一般', '短评打分': 1}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '环境好，装修也好', '短评打分': 5}
{'短评内容': '酒店很旧，设备很老', '短评打分': 3}
{'短评内容': '房间一般，床垫较硬', '短评打分': 4}
{'短评内容': '服务员态度恶劣', '短评打分': 1}
{'短评内容': '老品牌酒店了，很多设备都都有点陈旧了，地理位置还可以，比较方便，但周边的店不多，不是很方便。早餐也一般般啦', '短评打分': 4}
{'短评内容': '酒店空调是坏的、最后服务员给抱的电暖器、早餐才叫坑人在四层是点餐、早餐卷基本没用比较上当的感觉！去了这么多城市这是最垃圾的一次住宿', '短评打分': 1}
{'短评内容': '一般般，', '短评打分': 3}
{'短评内容': '一般', '短评打分': 1}
{'短评内容': '卫生不好  电视也没有几个台真是哎没法说了！送个早餐券吧还不是都免费有的还要收费 送的早餐券还只能每人点两样哎真是无语了！', '短评打分': 3}
{'短评内容': '非常差的酒店，房间太冷了，暖风不好使。在酒店的餐厅吃饭被告知因为刷了预授权而无法挂房帐，酒店位置也很偏，还没有代客叫车服务', '短评打分': 1}
{'短评内容': '一般般', '短评打分': 3}
{'短评内容': '交通方便，酒店环境较好，房间大，舒适,服务较好。', '短评打分': 5}
{'短评内容': '环境很好 早餐不错 位置也很好 因为靠近325国道  靠马路的有一点吵  其他都好', '短评打分': 5}
