{'短评内容': '第二次入住了，位置非常好，店家也很贴心。', '短评打分': 5}
{'短评内容': '里面的猫猫不错！！', '短评打分': 4}
{'短评内容': '在这边待了三个晚上，可以', '短评打分': 5}
{'短评内容': '物超所值，出门很方便，附近公交很多，走路出门几分钟就是吃的，附近的濑粉便宜又好吃，还有猪脚姜什么的，随便走走就到北京路附近了，到上下九什么的可以坐公交也很方便', '短评打分': 5}
{'短评内容': '隔音效果很差 就一扇窗。周边吃的多 交通也方便。房间很小 床也小...', '短评打分': 4}
{'短评内容': '榻榻米不错 周边宵夜也多', '短评打分': 5}
{'短评内容': '服务很好，给升级到双人的了，非常非常感谢。卫生也不错，去旅游住着性价比不错，离得北京路近，交通方便。', '短评打分': 5}
{'短评内容': '虽然空间不大，但是总体还不错，要有的全都有了', '短评打分': 3}
{'短评内容': '进门就是一股子霉味～小，超级小，其他都还好', '短评打分': 4}
{'短评内容': '总体还不错', '短评打分': 4}
{'短评内容': '迷你房真的迷你得不行，房间里还残留着一点点烟味？不过这价格放在这里，也就那样了，凑合凑合~', '短评打分': 3}
{'短评内容': '说好的返现返现呢 携程真不靠谱 ！！！', '短评打分': 4}
{'短评内容': '地里位置优越，交通便利，高地铁站很近，设备简陋一点，房间比较小，没有钥匙，床单好残旧，房间有异味，每次开门都要叫老板去开，麻烦～～～', '短评打分': 3}
{'短评内容': '这样的地段，环境，价格上来说不算贵的。就是里面空气好像不是很好。最好订双人的房间，单人的实在有点小。太小了感觉不好啊！', '短评打分': 4}
