{'短评内容': '环境好，住的舒服', '短评打分': 5}
{'短评内容': '真的不好意思，住的房间那么好，居然忘了拍照！刚去了酒店大哥就发了游玩攻略给我们，住的房间满了就安排旁边的酒店，最好的房间，绝对不会出现没房间就毁约的情况，最后一天退房还可以放行李出去玩！很开心在成都遇到的好心人，推荐大家去住！市中心去哪都很方便！', '短评打分': 5}
{'短评内容': '地方好难找 在别人家的酒店大门里面的公寓 必须打电话给老板才知道怎么去 其他没得顶 ', '短评打分': 4}
{'短评内容': '还可以，交通便利，附近挺多吃的。', '短评打分': 4}
{'短评内容': '这个价位 虽然设施旧了点 但该有的都有 胜在干净 性价比很高 位置也不错 老板也比较热情 长住很合适', '短评打分': 5}
{'短评内容': '房间很好', '短评打分': 5}
{'短评内容': '于市中心，交通便利，闹中取静，房间很干净，布置的也很温馨，相比同档次酒店，性价比很高。服务员很热情下次还会入住。 有用(2)', '短评打分': 4}
{'短评内容': '非常不错', '短评打分': 5}
{'短评内容': '还可以，老板人很热情，我们第二天早上五点走，押金都没让我们交，钥匙让放饮水机上走人，赞一个！', '短评打分': 5}
{'短评内容': '房间挺大，位置不错，交通便利', '短评打分': 4}
{'短评内容': '卫生有点不好。冰箱里面还有之前客户吃剩下的蛋糕。卫生打扫不彻底。', '短评打分': 3}
{'短评内容': '很有家的感觉', '短评打分': 5}
{'短评内容': '，我已入住此公寓', '短评打分': 3}
