{'短评内容': '早餐管饱一般', '短评打分': 4}
{'短评内容': '明明明明哦', '短评打分': 5}
{'短评内容': '旁边市医院，为了方便住这里不错，早餐免费', '短评打分': 4}
{'短评内容': '都好', '短评打分': 5}
{'短评内容': '房间不错，挺好的，卫生也还算可以，还算不错', '短评打分': 4}
{'短评内容': '2017年7月27号 前台服务态度恶劣', '短评打分': 1}
{'短评内容': '越来越差劲  订完 早上七点多去告诉我没房 我先吃的饭 回来还没有 添了二十给我抢的商务房进屋就看见个避孕套的袋子？给前台我打电话 告诉我可能抢房没收拾干净 不好意思就完了 今天睡过头 也没人打电话问我退不退房 多花了半天的房钱 这里里外外的 能住俩天了 真是绝了', '短评打分': 1}
{'短评内容': '越来越差劲  订完 早上七点多去告诉我没房 我先吃的饭 回来还没有 添了二十给我抢的商务房进屋就看见个避孕套的袋子？给前台我打电话 告诉我可能抢房没收拾干净 不好意思就完了 今天睡过头 也没人打电话问我退不退房 多花了半天的房钱 这里里外外的 能住俩天了 真是绝了', '短评打分': 1}
{'短评内容': '越来越差劲  订完 早上七点多去告诉我没房 我先吃的饭 回来还没有 添了二十给我抢的商务房进屋就看见个避孕套的袋子？给前台我打电话 告诉我可能抢房没收拾干净 不好意思就完了 今天睡过头 也没人打电话问我退不退房 多花了半天的房钱 这里里外外的 能住俩天了 真是绝了', '短评打分': 1}
{'短评内容': '越来越差劲  订完 早上七点多去告诉我没房 我先吃的饭 回来还没有 添了二十给我抢的商务房进屋就看见个避孕套的袋子？给前台我打电话 告诉我可能抢房没收拾干净 不好意思就完了 今天睡过头 也没人打电话问我退不退房 多花了半天的房钱 这里里外外的 能住俩天了 真是绝了', '短评打分': 1}
{'短评内容': '越来越差劲  订完 早上七点多去告诉我没房 我先吃的饭 回来还没有 添了二十给我抢的商务房进屋就看见个避孕套的袋子？给前台我打电话 告诉我可能抢房没收拾干净 不好意思就完了 今天睡过头 也没人打电话问我退不退房 多花了半天的房钱 这里里外外的 能住俩天了 真是绝了', '短评打分': 1}
{'短评内容': '环境还好，就是临街太吵啦。价格适中', '短评打分': 5}
{'短评内容': '还行吧 因为特价房 没窗子 还是阴面 晚上有点阴凉 但也算性价比高了！！！！', '短评打分': 4}
{'短评内容': '挺好的 住习惯了 就是 太久没装修了 床的弹簧都坏了 嗝挺', '短评打分': 2}
{'短评内容': '挺好的 住习惯了 就是 太久没装修了 床的弹簧都坏了 嗝挺', '短评打分': 5}
{'短评内容': '住习惯了！！！！！！还行！！！！', '短评打分': 5}
{'短评内容': '还行吧。住习惯了.', '短评打分': 5}
{'短评内容': '去过无数次了，挺好的，房间大小不错，也跟干净，朋友一起去打个麻将挺好的！', '短评打分': 5}
{'短评内容': '房间还行，价位偏高一点，地段不错，出门啥都有，很方便。', '短评打分': 4}
{'短评内容': '地产好好好好', '短评打分': 5}
{'短评内容': '环境好，服务人员，热情！', '短评打分': 5}
{'短评内容': '房间跟图片不太一样 没窗户 ', '短评打分': 4}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '很好', '短评打分': 4}
{'短评内容': '很好很干净，下次继续入住', '短评打分': 3}
{'短评内容': '环境挺好，是值得一住的酒店', '短评打分': 3}
{'短评内容': '还好，性价比可以，就是服务员的服务态度还是那个样～～～', '短评打分': 3}
