{'短评内容': '很好，我去过几次了', '短评打分': 5}
{'短评内容': '还是不错的，住了无数次了。', '短评打分': 5}
{'短评内容': '房间不错，酒店环境也不错，有免费停车场，总体来说很满意。', '短评打分': 5}
{'短评内容': '周边环境一般，在路边还挨着铁路所以晚上睡觉有点噪音，房间干净整洁还不错，服务态度也好，早上还有早餐。', '短评打分': 4}
{'短评内容': '非常不错，价格合适，环境安静，就是早饭简陋，早上去大熊猫那里挺近的。有需求的话或者朋友来成都会推荐这家。', '短评打分': 5}
{'短评内容': '前台服务小姐的态度特別差！大拽拽地像死了人似的！午夜12点10分入住时，说只能凌晨5点钟才能入睡房间！晕！卫生间马桶坐垫还是坏的没人管，蹲马步才能方便，无奈！', '短评打分': 2}
{'短评内容': '墙上的壁纸都脱落了 、晚上冷的受不了', '短评打分': 2}
{'短评内容': '酒店位置比较好找，就在成华区第七人们医院对面，晚上环境还比较安静，空调也比较给力，没有潮湿感。缺点是电视的频道只有几个央视能看，早餐只有包子和鸡蛋和粥，品种太单一，附近没有超市和买早点的。', '短评打分': 4}
{'短评内容': '环境一般 晚上在主路上大车太多 有点儿吵 早餐还可以 就是订房间忘记弄返现 无语。。', '短评打分': 4}
{'短评内容': '酒店离锦里非常近，房间不错，睡得也很舒服，中秋节去的，回到房间看到台面上有两个月饼，挺温馨的。前台的姑娘服务也很好～去锦里的亲们可以选择这儿。一楼大厅很漂亮。', '短评打分': 5}
{'短评内容': '一般般', '短评打分': 3}
{'短评内容': '说好的返现呢？', '短评打分': 3}
{'短评内容': '很好，好不错，非常不错！', '短评打分': 5}
{'短评内容': '还可以，就是早餐不是很好，位置也有点偏', '短评打分': 4}
{'短评内容': '太吵啦！太吵啦！太吵啦！重要的事情说三遍！服务员态度冷淡，语气生硬，感觉像欠她钱不还一样，哎', '短评打分': 3}
{'短评内容': '房间干净舒适，性价比高，推荐入住', '短评打分': 3}
