{'短评内容': '设施少，房间闷，霉味大', '短评打分': 4}
{'短评内容': '一般', '短评打分': 5}
{'短评内容': '宾馆位置挺好靠近马路边，去龙华汽车站、天虹、三和都挺近的，下面有很多好吃的，定了特价房不过床有点硬，一分钱一分货嘛！', '短评打分': 3}
{'短评内容': '房间很干净，尤其是被子，像新的一样。最深刻的印象就是房间非常的干净，物品摆放整齐。尤其是被子，想像新的一样，很舒服！ ', '短评打分': 5}
{'短评内容': '一般般   有点老旧', '短评打分': 4}
{'短评内容': '1111', '短评打分': 5}
{'短评内容': '一般一般', '短评打分': 3}
{'短评内容': '床头没充电的这有些不太方便。', '短评打分': 4}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '还不错，离家近亲戚朋友来了都去这个酒店住的，一定是好评', '短评打分': 5}
{'短评内容': '一般，隔音效果不是很好，大半夜听到人家在外面吵，很大声', '短评打分': 4}
{'短评内容': '还不错，价格便宜，要求不要太高。', '短评打分': 4}
{'短评内容': '还不错，挺温馨。性价比不错。就是离地铁站有点小远', '短评打分': 3}
{'短评内容': '一般一般一般', '短评打分': 2}
{'短评内容': '不太好，', '短评打分': 3}
{'短评内容': '以前经常来的酒店，房间大，窗户大，也很干净，但是这次入住感觉窗户小了很多，不知道是因为楼层变了还是重新装修了，电视台信号不好，WI-FI也不稳定，希望能尽快改进。', '短评打分': 3}
{'短评内容': '酒店位于深圳郊区，但离地铁站不远，还算方便的。\r\n房间很大的。。', '短评打分': 5}
{'短评内容': '房间好大哦，第一次住到这么大房的经济型酒店，旁边还有休闲中心等，不错，下次去龙华还在那里住。', '短评打分': 3}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': '房间比较宽敞，房内设施也挺好的，满意，有机会还选择。', '短评打分': 3}
{'短评内容': '感觉还行，服务太度度\n不怎么好，房间装潢有点老土。总体还可以。', '短评打分': 3}
{'短评内容': '酒店还不错！只是周围环境不大好，可能因为路上车多。龙华地区这家还可以，性价比比较高。', '短评打分': 5}
{'短评内容': '房内设施旧了一点，不过价格还可以。\n\n被子有点薄，冬季比较冷。', '短评打分': 5}
{'短评内容': '这家宾馆不错，挺干净的，附近是繁华地段，去哪都方便，比较超值', '短评打分': 3}
{'短评内容': '深圳龙华富鑫龙宾馆感觉非常好，房间宽敞，服务很好。下次去深圳有可能还会住那里。\n', '短评打分': 5}
{'短评内容': '宾馆很普通', '短评打分': 3}
{'短评内容': '环境不错，空间挺大，就是网络不太好', '短评打分': 3}
{'短评内容': '房間尚可以, 性價比不錯, 一般賓館的型式, 可以吧', '短评打分': 5}
{'短评内容': '价格比周边宾馆偏高，房间电话打不通，没有窗户，见不到太阳，睡到中午还以为是晚上，有蟑螂，距离地铁站远，说是有车专门接送，但要看师傅的心情，很失望。', '短评打分': 1}
{'短评内容': '环境不错，性价比超高，晚上十一点钱还还可以免费接送，不知道地址的朋友可以坐地铁到龙华站或青湖站后给酒店打电话，交通也方便，离地铁站也不远，觉得深圳室内酒店价位高的朋友可以考虑下这个酒店', '短评打分': 5}
{'短评内容': '不错哦 房间很大 挺干净 就是网速不是很快 也还好啦 有蚊子', '短评打分': 5}
{'短评内容': '性价比很高,提朋友订的，她很满意，说下次来还住这里', '短评打分': 5}
