{'短评内容': '不能加床！停车的地方太小！早餐不怎么样！房间内毛巾被套床单旧了，该添本钱了！有些细节上没做好！房间家具有少数民族特色！但总体感觉不值两百多的房间吧！', '短评打分': 2}
{'短评内容': '酒店不错 远离马路 还比较安静！', '短评打分': 5}
{'短评内容': '酒店设施不错，房间较宽敞，位置在小区内，较安静，晚餐直接在酒店内吃，味道不错，价格也适中。', '短评打分': 5}
{'短评内容': '已经第二次住了，不错哦，环境好的，安静', '短评打分': 5}
{'短评内容': '酒店环境不错，非常安静。', '短评打分': 5}
{'短评内容': '酒店设施还不错，位置安静，早餐一般。', '短评打分': 4}
{'短评内容': '什么都好就是难找，开导航才找到。', '短评打分': 5}
{'短评内容': '环境一流！', '短评打分': 4}
{'短评内容': '安静', '短评打分': 4}
{'短评内容': '周边饭店较少，有车有导航挺方便，没有的话是极麻烦的', '短评打分': 4}
{'短评内容': '环境不错！有一个阳台', '短评打分': 5}
{'短评内容': '\r\n酒店房间很有民族风情，通风很好，坐在阳台上很惬意。', '短评打分': 3}
